Friday_SCM1_July2025.002.txt Fri, Aug 1, 2025 7:30:42 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.100000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.1
Set Field 0 T at 0.2 T/min
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0010 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_002	Timestamp_002	Tmc_002	Tcoil_002	B1x1_002	B1y1_002	B1x2_002	B1y2_002	B1x3_002	B1y3_002	T1x1_002	T1y1_002	T1x2_002	T1y2_002	T1x3_002	T1y3_002	T3x1_002	T3y1_002	T3x2_002	T3y2_002	T3x3_002	T3y3_002
7.000000000E-5	4.025041000E-1	1.887360000E+0	1.739090000E+0	2.159333462E-6	6.765038165E-7	1.792528903E-9	-3.938509796E-10	3.065502741E-9	-1.927526472E-10	2.652501791E-7	4.887785821E-8	-1.210404110E-9	-6.426759125E-10	1.431381680E-9	9.299990778E-10	-9.593190953E-7	1.207085489E-7	-1.206258316E-9	1.457471088E-10	-1.068367284E-9	-1.251771353E-9
0.000000000E+0	7.561363999E-1	1.885580000E+0	1.729720000E+0	2.159242967E-6	6.764407772E-7	1.468785760E-9	-4.247625862E-10	3.216970690E-9	-3.049994146E-10	2.654381888E-7	4.895202110E-8	-1.309137798E-9	-4.847133805E-10	1.407933548E-9	7.731314478E-10	-9.593406958E-7	1.207267246E-7	-9.806696566E-10	-3.559951292E-11	-1.316579068E-9	-1.178288578E-9
-7.000000000E-5	1.173272600E+0	1.887930000E+0	1.742970000E+0	2.159120186E-6	6.763517035E-7	1.068555910E-9	-5.513481893E-10	3.332077059E-9	-3.894546907E-10	2.655391427E-7	4.891718675E-8	-1.189605303E-9	-1.886022033E-10	1.393093862E-9	6.544325082E-10	-9.594858739E-7	1.204904834E-7	-5.056604580E-10	-2.240113928E-10	-1.606421662E-9	-1.153485307E-9
-7.000000000E-5	1.573245600E+0	1.889780000E+0	1.736640000E+0	2.159090627E-6	6.762359135E-7	8.189643963E-10	-5.566963002E-10	3.246020786E-9	-5.202713260E-10	2.655475271E-7	4.872941872E-8	-1.069314526E-9	1.985706599E-10	1.222413060E-9	5.604617881E-10	-9.596614063E-7	1.202075168E-7	-8.265624296E-11	-2.806091470E-10	-1.758643786E-9	-1.060307397E-9
0.000000000E+0	1.974276000E+0	1.889500000E+0	1.735480000E+0	2.159133373E-6	6.761359828E-7	6.519281781E-10	-4.946845156E-10	3.019295258E-9	-4.557191013E-10	2.656726110E-7	4.844471491E-8	-1.107445136E-9	4.591940994E-10	1.042503861E-9	4.397647524E-10	-9.598246606E-7	1.200570949E-7	1.310148101E-10	-2.384601128E-10	-1.660170557E-9	-9.725336092E-10
7.000000000E-5	2.373448700E+0	1.887920000E+0	1.738200000E+0	2.159103360E-6	6.759485700E-7	3.944499449E-10	-2.771018692E-10	2.644007680E-9	-1.793000193E-10	2.658678682E-7	4.788281416E-8	-1.172790753E-9	6.167005240E-10	7.468536900E-10	3.180384012E-10	-9.600253179E-7	1.200466073E-7	4.492122785E-10	-1.426432236E-11	-1.282119189E-9	-8.109857230E-10
-7.000000000E-5	2.774300300E+0	1.884050000E+0	1.731400000E+0	2.159116093E-6	6.757261417E-7	1.121309781E-10	-1.217931311E-10	2.150689182E-9	-2.809105162E-12	2.660844984E-7	4.748451232E-8	-1.089124901E-9	7.125418588E-10	5.689868021E-10	5.387636448E-10	-9.604592606E-7	1.200777433E-7	7.877746788E-10	3.358751333E-10	-1.103331093E-9	-6.543925402E-10
0.000000000E+0	3.274232800E+0	1.882360000E+0	1.740270000E+0	2.159144742E-6	6.756211519E-7	-2.633578355E-10	-1.059118418E-10	1.703495900E-9	1.569005897E-10	2.663950909E-7	4.708789802E-8	-9.661639266E-10	8.300206633E-10	6.312875223E-10	9.733451822E-10	-9.609279914E-7	1.200704105E-7	1.036991604E-9	4.846646418E-10	-1.041626674E-9	-5.863953212E-10
0.000000000E+0	3.673272700E+0	1.883570000E+0	1.735360000E+0	2.159145424E-6	6.757093729E-7	-5.326182828E-10	-2.466032101E-10	1.450858100E-9	4.683857191E-10	2.666253636E-7	4.680148180E-8	-1.017748441E-9	1.011155826E-9	6.570778366E-10	1.212742462E-9	-9.613162320E-7	1.200824471E-7	1.194936594E-9	4.582806634E-10	-9.164144998E-10	-5.934469582E-10
-7.000000000E-5	4.074040300E+0	1.879970000E+0	1.731540000E+0	2.159072892E-6	6.759937037E-7	-7.281033554E-10	-6.869543823E-10	1.335509592E-9	6.510389450E-10	2.667667900E-7	4.660472186E-8	-1.278204653E-9	1.204153888E-9	5.783905022E-10	1.219712220E-9	-9.615426961E-7	1.200418893E-7	1.279619077E-9	2.643994745E-10	-8.731632084E-10	-6.957961984E-10
