Friday_SCM1_July2025.003.txt Fri, Aug 1, 2025 8:06:51 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.100000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.1
Set Field 0 T at 0.2 T/min
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0010 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ******** Start of Sequence History ***
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_003	Timestamp_003	Tmc_003	Tcoil_003	B1x1_003	B1y1_003	B1x2_003	B1y2_003	B1x3_003	B1y3_003	T1x1_003	T1y1_003	T1x2_003	T1y2_003	T1x3_003	T1y3_003	T3x1_003	T3y1_003	T3x2_003	T3y2_003	T3x3_003	T3y3_003
3.894000000E-2	3.370995999E-1	1.861450000E+0	1.746860000E+0	2.157715244E-6	6.775848647E-7	-2.551210632E-10	-7.502898858E-10	1.754965062E-9	3.298184503E-10	2.719665986E-7	4.939387210E-8	-1.930609228E-9	1.827721169E-10	4.021556976E-10	-9.090707631E-10	-9.574271189E-7	1.216032359E-7	8.026209142E-10	-1.280188511E-9	2.150034734E-10	-3.685280969E-10
3.894000000E-2	6.795174999E-1	1.860440000E+0	1.745870000E+0	2.157775043E-6	6.777673889E-7	-7.894833398E-11	-7.224192911E-10	1.593148502E-9	2.094217022E-10	2.720860550E-7	4.948719479E-8	-2.286050682E-9	-4.208805179E-11	6.102424122E-11	-8.621493519E-10	-9.573149100E-7	1.210441667E-7	8.522068606E-10	-1.052855470E-9	3.118084402E-10	-4.027067013E-10
3.900000000E-2	1.149998700E+0	1.862090000E+0	1.743560000E+0	2.157874860E-6	6.781153843E-7	2.185793213E-10	-4.869718517E-10	1.463834276E-9	1.324237664E-10	2.720813654E-7	4.933336228E-8	-2.516783226E-9	-3.099901585E-11	-3.582217578E-10	-8.157749476E-10	-9.574212072E-7	1.202302684E-7	9.421149416E-10	-8.022419395E-10	1.299522712E-10	-6.491500115E-10
3.894000000E-2	1.550390400E+0	1.865740000E+0	1.736710000E+0	2.157936933E-6	6.783153026E-7	3.946159510E-10	5.719207746E-11	1.417185369E-9	3.770778134E-11	2.718902579E-7	4.920882191E-8	-2.331693061E-9	6.656547709E-12	-7.001862423E-10	-6.432109290E-10	-9.577630635E-7	1.196196706E-7	9.258078193E-10	-6.244782469E-10	-7.089114712E-11	-7.761972731E-10
3.900000000E-2	1.950523200E+0	1.864000000E+0	1.741980000E+0	2.157974905E-6	6.782466926E-7	5.552504012E-10	6.043568979E-10	1.334723998E-9	-8.435614707E-11	2.715698315E-7	4.910313933E-8	-1.973455843E-9	2.729257931E-10	-9.286696412E-10	-3.611924648E-10	-9.580777487E-7	1.193582619E-7	8.473965973E-10	-5.010808435E-10	-1.872118849E-10	-8.521366945E-10
3.907000000E-2	2.251160200E+0	1.868810000E+0	1.738030000E+0	2.158015377E-6	6.780755371E-7	6.540060160E-10	1.089838331E-9	1.323442134E-9	-2.189280424E-10	2.712214666E-7	4.900370243E-8	-1.565765184E-9	7.869497831E-10	-9.459525385E-10	-7.474394020E-11	-9.586917713E-7	1.193363346E-7	7.702343208E-10	-4.630963668E-10	-3.159429107E-10	-9.779549393E-10
3.900000000E-2	2.850570700E+0	1.877050000E+0	1.736290000E+0	2.157867357E-6	6.780479111E-7	6.871815339E-10	1.355276114E-9	1.399956928E-9	-2.366785101E-10	2.709009266E-7	4.901376371E-8	-1.430215502E-9	1.010732387E-9	-7.088459819E-10	1.711020353E-10	-9.592331480E-7	1.193711370E-7	7.021921933E-10	-5.536281988E-10	-2.689018452E-10	-9.356092567E-10
3.907000000E-2	3.249945000E+0	1.882090000E+0	1.737720000E+0	2.157635663E-6	6.780975923E-7	4.268958520E-10	1.531027860E-9	1.566799579E-9	3.269318843E-11	2.706962334E-7	4.918715746E-8	-1.557908913E-9	9.305960447E-10	-3.363035683E-10	3.390004943E-10	-9.596429891E-7	1.194666908E-7	5.600225283E-10	-6.225103211E-10	-1.917632719E-11	-9.938868617E-10
3.894000000E-2	3.750396900E+0	1.883960000E+0	1.732840000E+0	2.157258450E-6	6.779505384E-7	8.298146892E-11	1.434627306E-9	1.836993779E-9	2.431909119E-10	2.705612872E-7	4.937137277E-8	-1.473681843E-9	8.337620594E-10	2.101599866E-10	4.333722548E-10	-9.598447832E-7	1.196223423E-7	3.554561645E-10	-6.848914769E-10	1.583096432E-10	-1.067548050E-9
3.907000000E-2	4.150209600E+0	1.885290000E+0	1.734570000E+0	2.156899427E-6	6.778127499E-7	-1.888762202E-10	1.261312277E-9	2.028809787E-9	4.154711297E-10	2.704566100E-7	4.947046506E-8	-1.239516378E-9	8.288367770E-10	5.859097651E-10	6.663934959E-10	-9.599503983E-7	1.197582122E-7	2.279809674E-10	-7.562677706E-10	2.213251249E-10	-1.135715966E-9
3.894000000E-2	4.549850400E+0	1.881950000E+0	1.734890000E+0	2.156577011E-6	6.777071917E-7	-5.037152362E-10	1.082960610E-9	2.091432361E-9	6.220974846E-10	2.701326309E-7	4.953248478E-8	-9.066093987E-10	8.197206247E-10	8.500929405E-10	9.571793358E-10	-9.598491033E-7	1.198806245E-7	2.824925849E-10	-7.243455835E-10	2.987971259E-10	-1.117918536E-9
