Friday_SCM1_July2025.004.txt Fri, Aug 1, 2025 11:35:17 PM Conan The Scientist
Magnet: None
Trigger spacing of 1.000000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 5.0 min, Elapsed time : 300 s
Start Trigger 0 at 3
Start Trigger 0 at 2
Start Trigger 0 at 1
Wait for 20.0 min, Elapsed time : 1200 s
***** End of Sequence History ***
Field_004	Timestamp_004	Tmc_004	Tcoil_004	B1x1_004	B1y1_004	B1x2_004	B1y2_004	B1x3_004	B1y3_004	T1x1_004	T1y1_004	T1x2_004	T1y2_004	T1x3_004	T1y3_004	T3x1_004	T3y1_004	T3x2_004	T3y2_004	T3x3_004	T3y3_004
3.900000000E-2	4.045571000E-1	1.567210000E+0	1.569130000E+0	2.216745088E-6	6.767889431E-7	5.349859444E-10	-1.605853339E-9	2.768338225E-9	3.094370593E-10	2.714179175E-7	4.892833516E-8	1.971569574E-9	-2.002852995E-9	-1.801308408E-10	9.578327020E-10	-9.476071341E-7	1.214502561E-7	-6.272084241E-11	5.395486280E-10	2.180650327E-9	-5.468026726E-11
3.894000000E-2	7.942866001E-1	1.569200000E+0	1.574980000E+0	2.216479288E-6	6.766517799E-7	6.245608475E-10	-1.700680818E-9	3.025498074E-9	5.299839456E-10	2.710824560E-7	4.898302208E-8	2.526249432E-9	-1.525707116E-9	-1.965599211E-10	8.323332024E-10	-9.472241800E-7	1.215723131E-7	-6.452641199E-11	3.228819989E-10	2.152197531E-9	6.338530395E-11
3.894000000E-2	1.821794300E+0	1.575260000E+0	1.571720000E+0	2.215893346E-6	6.762464864E-7	3.384366121E-10	-1.469331989E-9	2.872994287E-9	5.648867485E-10	2.701318067E-7	4.934227960E-8	3.182894392E-9	2.429251522E-10	1.216976936E-10	3.994399256E-10	-9.474107401E-7	1.209430565E-7	-5.258058433E-10	-6.963407073E-10	1.110827763E-9	-6.167272248E-11
3.907000000E-2	4.822902200E+0	1.567850000E+0	1.559690000E+0	2.217456768E-6	6.763298757E-7	-6.997187274E-10	4.874438075E-10	2.335927452E-9	2.755840556E-10	2.693150520E-7	4.887859717E-8	8.687523478E-10	2.149512568E-9	1.025048491E-9	4.667589093E-10	-9.479218761E-7	1.210357681E-7	-1.193096733E-9	7.682010028E-10	-2.282592559E-9	3.753196365E-10
3.900000000E-2	7.821839600E+0	1.562670000E+0	1.562930000E+0	2.218504733E-6	6.748985584E-7	4.145705654E-11	4.610509752E-10	2.199038063E-9	1.298303465E-9	2.703269502E-7	4.913419715E-8	8.075133895E-10	2.330597271E-9	-3.472052090E-10	-3.707140705E-10	-9.462530670E-7	1.206241933E-7	1.111779113E-9	1.004882288E-9	-6.533897312E-10	5.609612219E-10
3.894000000E-2	1.082193110E+1	1.569370000E+0	1.569170000E+0	2.218956070E-6	6.743989616E-7	5.391298519E-10	1.036163044E-9	1.550419570E-9	1.265478500E-9	2.691964767E-7	4.920991259E-8	1.329785948E-9	-3.404143911E-10	-4.666748654E-10	-8.043165439E-11	-9.469722499E-7	1.208999123E-7	4.073954507E-10	5.715440343E-10	-1.241739045E-9	5.006450810E-10
3.907000000E-2	1.382184590E+1	1.572100000E+0	1.564590000E+0	2.217605470E-6	6.769278684E-7	1.269640365E-10	5.742750164E-10	8.447594846E-10	1.608050582E-9	2.702103643E-7	4.863312952E-8	-3.508444368E-10	-4.985392654E-10	-1.463366761E-9	1.111171849E-10	-9.484438124E-7	1.196717534E-7	1.845347541E-9	-7.026418336E-10	2.988252701E-10	6.831256116E-10
3.887000000E-2	1.682196850E+1	1.570510000E+0	1.572080000E+0	2.217836027E-6	6.773512382E-7	1.693409968E-9	-7.009892666E-10	1.485252588E-9	2.660125176E-10	2.711563241E-7	4.923001029E-8	-7.562057647E-10	-5.486217591E-10	-1.394803495E-9	8.036538102E-11	-9.484123780E-7	1.187838308E-7	1.410727313E-9	-1.826842899E-9	4.206205106E-10	-8.799480034E-10
3.900000000E-2	1.982255750E+1	1.573380000E+0	1.568010000E+0	2.218582722E-6	6.772720553E-7	2.052352038E-10	-1.121534976E-9	1.488105084E-9	-8.356631359E-12	2.701465007E-7	4.766533834E-8	-3.971549201E-10	-1.099885738E-9	-9.128642286E-10	-6.923425166E-10	-9.487703778E-7	1.192267263E-7	5.329117148E-10	-8.781817634E-11	9.434256709E-10	-9.985358096E-10
3.894000000E-2	2.282148630E+1	1.577340000E+0	1.559380000E+0	2.217535212E-6	6.775114798E-7	7.426818605E-10	-1.748266754E-9	2.065803750E-9	-9.366617482E-10	2.708254101E-7	4.938245724E-8	2.049984210E-10	6.720059509E-10	6.033872846E-10	-7.703357396E-10	-9.472358329E-7	1.211733576E-7	-9.932182854E-11	-8.024902964E-10	1.025090013E-9	-1.472104105E-9
