Friday_SCM1_July2025.005.txt Sat, Aug 2, 2025 1:24:37 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!

Field_005	Timestamp_005	Tmc_005	Tcoil_005	B1x1_005	B1y1_005	B1x2_005	B1y2_005	B1x3_005	B1y3_005	T1x1_005	T1y1_005	T1x2_005	T1y2_005	T1x3_005	T1y3_005	T3x1_005	T3y1_005	T3x2_005	T3y2_005	T3x3_005	T3y3_005
-2.620000000E-3	3.843521001E-1	2.848080000E-2	3.024270000E-2	1.133359547E-6	-1.899384983E-6	1.066710387E-9	-1.255951565E-9	1.551141882E-9	1.058920396E-9	2.799529000E-7	4.815553467E-8	-3.295576312E-10	-5.421759153E-10	1.468608290E-10	1.937730865E-9	1.582463653E-7	-5.887546195E-6	-6.431257304E-9	2.601171056E-9	-6.256735574E-9	2.922599052E-9
-2.880000000E-3	7.569058000E-1	2.980610000E-2	3.047270000E-2	1.122998810E-6	-1.896520644E-6	8.150023434E-10	-1.197244970E-9	1.300659913E-9	1.081557177E-9	2.783800141E-7	4.898901906E-8	-4.374579587E-10	-8.425263265E-10	2.190891218E-10	1.614244183E-9	1.319403964E-7	-5.880918707E-6	-6.417340881E-9	4.502918927E-9	-5.974119421E-9	2.841932467E-9
-2.750000000E-3	1.299152800E+0	3.180410000E-2	3.070790000E-2	1.108365950E-6	-1.892297860E-6	2.096967461E-10	-1.157541729E-9	9.443550386E-10	1.314464537E-9	2.766291232E-7	4.968252654E-8	-5.931791169E-10	-9.964563619E-10	3.166763240E-10	1.129649041E-9	1.094103297E-7	-5.874846465E-6	-5.581532570E-9	5.398656633E-9	-5.455961905E-9	2.383656605E-9
-2.550000000E-3	1.698110900E+0	3.313980000E-2	3.079620000E-2	1.097902214E-6	-1.889049941E-6	-1.777494818E-10	-1.128596772E-9	5.502578393E-10	1.690712459E-9	2.756879098E-7	4.987258251E-8	-7.264645552E-10	-8.855757239E-10	3.454074249E-10	9.661009770E-10	8.968206799E-8	-5.869451343E-6	-4.555255728E-9	6.390683538E-9	-4.891339778E-9	1.811454431E-9
-2.030000000E-3	2.098061800E+0	3.413530000E-2	3.082890000E-2	1.087036367E-6	-1.885592610E-6	-3.648495395E-10	-7.647157352E-10	8.846233468E-11	1.991006027E-9	2.747705707E-7	4.989942681E-8	-7.423748283E-10	-6.780647710E-10	3.599820442E-10	8.905635118E-10	7.494267606E-8	-5.865468665E-6	-4.213810634E-9	5.850398832E-9	-4.351998761E-9	1.406170958E-9
-1.770000000E-3	2.499078300E+0	3.478160000E-2	3.077500000E-2	1.076710532E-6	-1.882053425E-6	-6.111073314E-10	-6.271294040E-10	-4.828649702E-10	2.202103833E-9	2.737663749E-7	4.999983005E-8	-5.683750692E-10	-3.856874820E-10	4.521784058E-10	8.518890593E-10	5.657300051E-8	-5.860243164E-6	-2.903534080E-9	6.159528887E-9	-3.935855197E-9	1.128176663E-9
-1.440000000E-3	2.899070100E+0	3.503470000E-2	3.062960000E-2	1.066997697E-6	-1.878428407E-6	-7.839711658E-10	-7.473069941E-10	-7.403847535E-10	2.367036789E-9	2.730425876E-7	5.014350535E-8	-3.838048768E-10	-1.597384447E-10	8.090849657E-10	8.089456882E-10	4.487149852E-8	-5.856804819E-6	-2.859969372E-9	6.398639840E-9	-3.746392974E-9	9.950376079E-10
-1.110000000E-3	3.298503800E+0	3.496140000E-2	3.032740000E-2	1.055705638E-6	-1.873991096E-6	-1.162488772E-9	-1.004867522E-9	-6.058119562E-10	2.346539851E-9	2.724389674E-7	5.034131334E-8	-2.179086772E-10	4.036987064E-11	1.490861545E-9	6.605150316E-10	2.970623214E-8	-5.852438335E-6	-1.875379407E-9	5.670230951E-9	-3.119637659E-9	5.489644295E-10
-9.800000000E-4	3.899276000E+0	3.425630000E-2	2.994000000E-2	1.044841724E-6	-1.869501375E-6	-1.409943495E-9	-1.187423382E-9	-5.119047547E-12	1.868748711E-9	2.720543080E-7	5.060076447E-8	-1.716501386E-10	1.469038224E-10	1.812253014E-9	6.740499270E-10	1.843670816E-8	-5.849276931E-6	-9.058075401E-10	5.068221842E-9	-2.511851616E-9	5.064322850E-10
-8.500000000E-4	4.297975500E+0	3.348850000E-2	2.948510000E-2	1.037139100E-6	-1.866253683E-6	-1.241633463E-9	-1.267507654E-9	5.567727390E-10	1.352853496E-9	2.718218468E-7	5.051560237E-8	-4.136146703E-10	2.215892886E-10	1.912819902E-9	7.437670480E-10	1.022578999E-8	-5.846716249E-6	-6.528164120E-10	4.592877190E-9	-2.600682114E-9	5.076321030E-10
-3.900000000E-4	4.698667300E+0	3.255050000E-2	2.906240000E-2	1.029994451E-6	-1.863124794E-6	-1.048763632E-9	-1.050481146E-9	7.891015064E-10	1.202740907E-9	2.717015377E-7	5.021198390E-8	-6.946745401E-10	2.230776675E-10	1.869251420E-9	8.557091147E-10	4.450564361E-9	-5.844356110E-6	-3.338293808E-10	3.263199044E-9	-3.026588313E-9	2.586546255E-10
7.900000000E-4	5.298618800E+0	3.127190000E-2	2.858090000E-2	1.022048195E-6	-1.859380518E-6	-6.996093149E-10	-8.042931321E-10	1.009635153E-9	1.236288405E-9	2.715705136E-7	4.978793555E-8	-7.544243008E-10	1.774349140E-10	1.695279916E-9	1.072848921E-9	3.704085927E-10	-5.841548955E-6	2.072467892E-10	2.525007536E-9	-3.561636763E-9	1.783636988E-10
