Friday_SCM1_July2025.006.txt Sat, Aug 2, 2025 4:10:21 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Start Trigger 0 at 0.2
Wait for 3.0 s, Elapsed time : 3 s
----------    sweep slowly at low fields  
Set Field 2.5 T at 0.2 T/min
Wait for Field Stable, Target Field 2.5000 T, Current Field 2.5006 T
----------    Step and hold 1  
Set Parameter localhost, stepNhold.vi, stop dataacq, 0, Boolean
Set Parameter localhost, stepNhold.vi, Initial Target, 2.5, Number
Set Parameter localhost, stepNhold.vi, Final Target, 1.3, Number
Set Parameter localhost, stepNhold.vi, step, 0.02, Number
Set Parameter localhost, stepNhold.vi, stable wait, 20, Number
Running VI : localhost, stepNhold.vi
Wait for 1.0 min, Elapsed time : 60 s
Wait for 10.0 s, Elapsed time : 10 s
Set Parameter localhost, stepNhold.vi, stop dataacq, 0, Boolean
Set Parameter localhost, stepNhold.vi, Initial Target, 1.29, Number
Set Parameter localhost, stepNhold.vi, Final Target, 0, Number
Set Parameter localhost, stepNhold.vi, step, 0.01, Number
Set Parameter localhost, stepNhold.vi, stable wait, 20, Number
Running VI : localhost, stepNhold.vi
Wait for 1.0 min, Elapsed time : 60 s
Wait for 10.0 s, Elapsed time : 10 s
Start Trigger 0 at 0.2
Set Field 0 T at 0.1 T/min
Wait for 10.0 s, Elapsed time : 10 s
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0000 T
***** End of Sequence History ***
Field_006	Timestamp_006	Tmc_006	Tcoil_006	B1x1_006	B1y1_006	B1x2_006	B1y2_006	B1x3_006	B1y3_006	T1x1_006	T1y1_006	T1x2_006	T1y2_006	T1x3_006	T1y3_006	T3x1_006	T3y1_006	T3x2_006	T3y2_006	T3x3_006	T3y3_006
1.331162000E+1	4.175127000E-1	1.980490000E-2	3.015620000E-2	-7.713974526E-8	7.701752338E-7	9.067230300E-10	4.107564844E-10	2.113128977E-10	1.079905276E-9	4.192436904E-7	3.105873336E-9	4.199916526E-10	-1.015799000E-9	-1.237081815E-8	5.462699737E-11	-7.979480756E-7	1.281766515E-7	-6.975127698E-10	-7.877611896E-10	5.753125199E-10	2.175384761E-9
1.331175000E+1	7.759902000E-1	1.980480000E-2	3.016730000E-2	-7.445197525E-8	7.712105798E-7	1.106715608E-9	4.557896005E-10	-3.469230979E-12	1.146965967E-9	4.195936185E-7	2.758197004E-9	6.348631620E-10	-1.164097818E-9	-1.302583197E-8	-1.381741721E-9	-7.974107916E-7	1.281253361E-7	-8.134490859E-10	-5.832406780E-10	3.375696944E-10	2.389693998E-9
1.331162000E+1	1.214925200E+0	1.980460000E-2	3.019760000E-2	-7.182045181E-8	7.712139904E-7	1.254377602E-9	1.045205811E-9	-2.427515437E-12	1.166139518E-9	4.200997523E-7	2.454793258E-9	7.829045190E-10	-1.305163977E-9	-1.356370038E-8	-2.254799236E-9	-7.970553497E-7	1.280804725E-7	-8.534805085E-10	-3.669931581E-10	4.635457573E-10	2.902241780E-9
1.331175000E+1	1.613875300E+0	1.980430000E-2	3.020760000E-2	-6.809920450E-8	7.703653182E-7	1.118544368E-9	1.208421696E-9	2.371884911E-10	1.036819297E-9	4.207470567E-7	2.165599033E-9	9.846845561E-10	-1.235822222E-9	-1.394072502E-8	-2.551601153E-9	-7.966542057E-7	1.281043040E-7	-8.316381472E-10	7.039966526E-11	1.005208028E-9	4.208744464E-9
1.331162000E+1	2.214147500E+0	1.980400000E-2	3.022090000E-2	-6.198546032E-8	7.708540579E-7	1.259311544E-9	1.225807567E-9	5.259673808E-10	8.145821795E-10	4.208896200E-7	2.298789603E-9	9.271142187E-10	-1.119530135E-9	-1.228846358E-8	-3.262811132E-9	-7.974301184E-7	1.279272084E-7	-9.777341159E-10	4.323833236E-10	1.546138328E-9	6.376871475E-9
1.331182000E+1	2.614845400E+0	1.980400000E-2	3.023960000E-2	-5.662903391E-8	7.697326510E-7	1.486837542E-9	1.510564451E-9	6.025958621E-10	7.139382419E-10	4.204971731E-7	2.184845638E-9	6.519159101E-10	-1.022334217E-9	-9.981363291E-9	-4.271985432E-9	-7.987514436E-7	1.272695016E-7	-1.138136696E-9	7.434299842E-10	1.785883330E-9	7.749987319E-9
1.331162000E+1	3.015144800E+0	1.980400000E-2	3.024590000E-2	-5.227571265E-8	7.686452363E-7	1.559676388E-9	1.266485361E-9	5.114956791E-10	6.350256987E-10	4.200814772E-7	2.367383845E-9	2.884013583E-10	-8.318067346E-10	-7.551498094E-9	-5.376949996E-9	-8.002713230E-7	1.266892440E-7	-1.523423832E-9	8.148389186E-10	1.664934191E-9	8.800308038E-9
1.331162000E+1	3.413436600E+0	1.980410000E-2	3.025220000E-2	-4.830836531E-8	7.705297094E-7	1.903454283E-9	1.433126839E-9	3.221100608E-10	6.945954922E-10	4.196330679E-7	3.029950957E-9	1.436297609E-10	-6.302451894E-10	-6.200000957E-9	-6.083185067E-9	-8.014822015E-7	1.261307005E-7	-1.939868266E-9	7.377439770E-10	1.611803579E-9	8.957003139E-9
1.331169000E+1	3.814037000E+0	1.980400000E-2	3.025690000E-2	-4.735661463E-8	7.723970725E-7	1.848208586E-9	1.124004778E-9	9.118129168E-11	8.790048689E-10	4.187297122E-7	3.844180530E-9	6.391845386E-11	-9.527284517E-11	-4.504260964E-9	-6.813688280E-9	-8.042395621E-7	1.253349069E-7	-2.201248739E-9	3.887377642E-10	2.537769328E-9	7.568289995E-9
1.331156000E+1	4.213445800E+0	1.980400000E-2	3.026070000E-2	-4.833720269E-8	7.733173106E-7	2.152751755E-9	9.940455126E-10	-5.378269705E-11	1.027487761E-9	4.176889945E-7	4.483539762E-9	-1.195755855E-10	9.266890033E-10	-4.272415755E-9	-6.720765278E-9	-8.066330110E-7	1.253794153E-7	-2.198496718E-9	6.399299840E-11	4.421440103E-9	5.157849703E-9
