Friday_SCM1_July2025.007.txt Sat, Aug 2, 2025 5:27:25 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 min, Elapsed time : 120 s
----------    T sweep at zero field at different frequencies  
Set Field 0.034 T at 0.3 T/min
Wait for 2.0 min, Elapsed time : 120 s
Wait for Field Stable, Target Field 0.0340 T, Current Field 0.0339 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_007	Timestamp_007	Tmc_007	Tcoil_007	B1x1_007	B1y1_007	B1x2_007	B1y2_007	B1x3_007	B1y3_007	T1x1_007	T1y1_007	T1x2_007	T1y2_007	T1x3_007	T1y3_007	T3x1_007	T3y1_007	T3x2_007	T3y2_007	T3x3_007	T3y3_007
3.396000000E-2	3.569735000E-1	1.999280000E-2	2.271670000E-2	3.447560175E-6	5.698504424E-7	7.966868831E-10	-1.489702806E-10	1.164747410E-9	1.435203179E-9	3.230352377E-7	2.905230012E-8	-7.911604150E-10	4.876742898E-10	1.559223306E-9	7.009605119E-10	-6.640573247E-7	1.070247393E-7	1.306806219E-9	-1.364792168E-10	2.062887639E-9	-6.651055817E-10
3.396000000E-2	7.367002000E-1	1.999280000E-2	2.270810000E-2	3.447551535E-6	5.697377787E-7	7.731215668E-10	-7.967416310E-11	1.145339823E-9	1.842592523E-9	3.227733885E-7	2.901825802E-8	-6.205666536E-10	5.916113155E-10	1.443459574E-9	7.315785200E-10	-6.643384722E-7	1.068167777E-7	1.333476885E-9	-4.113833163E-10	1.945342554E-9	-4.256502650E-10
3.396000000E-2	1.152398800E+0	1.999270000E-2	2.270670000E-2	3.447499694E-6	5.696391554E-7	6.243216499E-10	-5.334597000E-11	1.138197758E-9	2.183395242E-9	3.224192255E-7	2.916112862E-8	-5.281146076E-10	7.018963188E-10	1.197253741E-9	6.011935949E-10	-6.645043413E-7	1.066817106E-7	1.215368251E-9	-7.730103779E-10	1.730330879E-9	-2.314151232E-10
3.390000000E-2	1.552817500E+0	1.999260000E-2	2.270860000E-2	3.447396693E-6	5.694589618E-7	5.359651056E-10	-1.726030291E-10	1.179728315E-9	2.303750968E-9	3.221399254E-7	2.950753064E-8	-5.947732307E-10	6.170100542E-10	9.541594181E-10	3.925702541E-10	-6.645306598E-7	1.067529212E-7	9.819433044E-10	-1.201069355E-9	1.385733639E-9	-7.417895465E-11
3.409000000E-2	1.953364500E+0	1.999260000E-2	2.269710000E-2	3.447102244E-6	5.692763239E-7	6.732510660E-10	-4.435863066E-10	1.165846197E-9	2.111325337E-9	3.219426503E-7	2.993595061E-8	-8.989891054E-10	3.033775731E-10	6.119998952E-10	2.133878907E-10	-6.643516599E-7	1.069286810E-7	6.174968870E-10	-1.508078551E-9	1.162662855E-9	-1.413824891E-10
3.396000000E-2	2.353203800E+0	1.999270000E-2	2.270030000E-2	3.446855544E-6	5.693697744E-7	9.504773635E-10	-6.487308468E-10	1.063409583E-9	1.913809777E-9	3.219243752E-7	3.026807249E-8	-1.194350618E-9	6.585208767E-11	4.672681131E-10	1.673730182E-10	-6.641664640E-7	1.069603428E-7	2.541347688E-10	-1.616964562E-9	1.121952642E-9	-3.878290189E-10
3.403000000E-2	2.752189600E+0	1.999270000E-2	2.268950000E-2	3.446312803E-6	5.696799121E-7	1.672393446E-9	-9.106490007E-10	9.170335602E-10	1.500604641E-9	3.220161489E-7	3.092060652E-8	-1.596402011E-9	-2.782335196E-10	3.572696305E-10	9.779380777E-11	-6.640897823E-7	1.067388453E-7	-1.068485578E-10	-1.626148993E-9	9.913212473E-10	-8.792999662E-10
3.396000000E-2	3.352271500E+0	1.999270000E-2	2.268210000E-2	3.445680932E-6	5.698738619E-7	2.506585384E-9	-9.594675055E-10	1.009789363E-9	1.088510615E-9	3.223138947E-7	3.155120254E-8	-1.842711539E-9	-4.053882508E-10	1.613637834E-10	-9.933320832E-11	-6.642084713E-7	1.068028226E-7	-3.780557256E-10	-1.525611415E-9	8.436554233E-10	-1.249104042E-9
3.390000000E-2	3.752278600E+0	1.999280000E-2	2.270240000E-2	3.445467883E-6	5.699406529E-7	2.801289867E-9	-9.465493944E-10	1.253422588E-9	8.561827358E-10	3.227043237E-7	3.186856645E-8	-2.000695165E-9	-1.865645000E-10	-1.016164028E-10	-4.631714179E-10	-6.645138910E-7	1.068601847E-7	-7.157739401E-10	-1.398890559E-9	6.226257287E-10	-1.129768834E-9
3.396000000E-2	4.152268000E+0	1.999320000E-2	2.269350000E-2	3.445378525E-6	5.700082397E-7	2.806529453E-9	-9.192731021E-10	1.661233484E-9	7.039547834E-10	3.231604921E-7	3.197922638E-8	-2.073714978E-9	5.984801543E-11	-3.573581708E-10	-8.549823072E-10	-6.648035651E-7	1.068462652E-7	-1.027756547E-9	-1.359243940E-9	2.635192342E-10	-8.722275679E-10
