Friday_SCM1_July2025.010.txt Sat, Aug 2, 2025 8:18:46 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_010	Timestamp_010	Tmc_010	Tcoil_010	B1x1_010	B1y1_010	B1x2_010	B1y2_010	B1x3_010	B1y3_010	T1x1_010	T1y1_010	T1x2_010	T1y2_010	T1x3_010	T1y3_010	T3x1_010	T3y1_010	T3x2_010	T3y2_010	T3x3_010	T3y3_010
3.396000000E-2	4.631034400E+0	7.037260000E-1	7.519170000E-1	1.792446937E-7	6.442015366E-9	2.405833310E-10	1.477922007E-9	-1.651258436E-10	4.204460946E-10	9.614664123E-7	3.906836525E-7	8.761230075E-10	1.397526400E-10	-8.199547152E-10	1.105467384E-9	1.600000000E+1	0.000000000E+0	7.023230886E-10	-8.801684936E-10	5.057998909E-9	1.503957514E-10
3.396000000E-2	5.129677000E+0	7.031680000E-1	7.512780000E-1	1.792941902E-7	6.821862186E-9	6.928012608E-10	1.617038503E-9	1.521554063E-11	3.092649747E-10	9.615303043E-7	3.904294772E-7	1.070591060E-9	-1.178415698E-10	-6.881415993E-10	9.520770838E-10	-1.832033149E-6	5.724564289E-7	6.579128908E-10	-6.214031512E-10	4.657091601E-9	6.367662647E-11
3.403000000E-2	5.549228000E+0	7.028490000E-1	7.516770000E-1	1.793269036E-7	7.147947567E-9	1.092163138E-9	1.592747156E-9	1.025126234E-10	-1.086514975E-10	9.614196870E-7	3.899790215E-7	1.348449574E-9	-4.959162525E-10	-4.750650984E-10	6.385497131E-10	-1.832050316E-6	5.729585268E-7	7.892716480E-10	-4.090013051E-10	3.821257533E-9	-2.593874005E-10
3.396000000E-2	5.950165100E+0	7.021410000E-1	7.512350000E-1	1.793554674E-7	7.295235527E-9	1.334866995E-9	1.354558465E-9	-3.348911079E-11	-5.208772857E-10	9.610963616E-7	3.896225849E-7	1.213072309E-9	-7.809211611E-10	-4.104590834E-10	3.019719197E-10	-1.832064640E-6	5.733318744E-7	1.049362042E-9	-1.900495594E-10	2.782411857E-9	-8.090497161E-10
3.377000000E-2	6.548710500E+0	7.020510000E-1	7.505650000E-1	1.789671558E-7	7.169361105E-9	1.609807732E-9	8.572033639E-10	-5.889463361E-10	-7.944292446E-10	9.606139884E-7	3.894990925E-7	8.166726739E-10	-9.285224811E-10	-4.302558587E-10	1.166195612E-10	-1.832145131E-6	5.735389550E-7	1.311890374E-9	-2.087629375E-10	1.933161853E-9	-1.162053009E-9
3.383000000E-2	6.948686000E+0	7.020980000E-1	7.529530000E-1	1.784283086E-7	7.054071105E-9	1.639720360E-9	2.474501437E-10	-8.631300674E-10	-7.260002044E-10	9.600393014E-7	3.896622616E-7	3.134107696E-10	-8.776892546E-10	-4.216817451E-10	1.658959359E-10	-1.832288035E-6	5.736463891E-7	1.489834700E-9	-2.169494723E-10	1.241314274E-9	-1.571420771E-9
3.403000000E-2	7.349727600E+0	7.021320000E-1	7.526300000E-1	1.779578440E-7	6.871394120E-9	1.507193814E-9	-3.322070952E-10	-8.724725387E-10	-6.393672813E-10	9.595761412E-7	3.898173020E-7	-1.160746707E-10	-9.027177339E-10	-3.425577044E-10	2.709484026E-10	-1.832392741E-6	5.737040283E-7	1.503342229E-9	-7.226223786E-11	5.831498617E-10	-1.786727766E-9
3.416000000E-2	7.749098500E+0	7.020730000E-1	7.509030000E-1	1.775733978E-7	6.711833755E-9	1.400827232E-9	-9.157782865E-10	-6.694627630E-10	-7.331566465E-10	9.591385606E-7	3.901307934E-7	-3.645103386E-10	-9.414466984E-10	-1.003378561E-10	3.254873038E-10	-1.832192538E-6	5.736870890E-7	1.440065067E-9	-7.042808004E-11	5.821930438E-11	-1.817802797E-9
3.396000000E-2	8.149033100E+0	7.016240000E-1	7.533860000E-1	1.770901577E-7	6.689886867E-9	1.438430042E-9	-1.375607406E-9	-4.193255743E-10	-7.899375043E-10	9.588717376E-7	3.903801940E-7	-5.202298592E-10	-9.135648904E-10	4.484993973E-11	2.764906637E-10	-1.831881377E-6	5.737090305E-7	1.329997112E-9	-7.312769140E-11	-1.445775305E-10	-1.814318362E-9
3.396000000E-2	8.548394700E+0	7.008800000E-1	7.519820000E-1	1.762136037E-7	6.720769718E-9	1.474302125E-9	-1.542976746E-9	-2.510030239E-10	-6.897151184E-10	9.586406122E-7	3.906274912E-7	-5.547075021E-10	-7.864536800E-10	5.542155970E-11	2.119958237E-10	-1.831563168E-6	5.738555728E-7	1.236964975E-9	2.469293658E-10	-3.183503183E-10	-1.767566538E-9
