Friday_SCM1_July2025.011.txt Sat, Aug 2, 2025 9:31:57 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 719 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 137 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 79 Hz(Frequency)
Wait for Field Stable, Target Field 0.0340 T, Current Field 0.0340 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_011	Timestamp_011	Tmc_011	Tcoil_011	B1x1_011	B1y1_011	B1x2_011	B1y2_011	B1x3_011	B1y3_011	T1x1_011	T1y1_011	T1x2_011	T1y2_011	T1x3_011	T1y3_011	T3x1_011	T3y1_011	T3x2_011	T3y2_011	T3x3_011	T3y3_011
3.403000000E-2	3.999683000E-1	2.371390000E-2	3.561410000E-2	2.694486284E-6	2.864424573E-7	2.555415601E-10	6.310094808E-11	2.194032733E-9	6.216958615E-10	1.333165187E-7	-2.172675595E-9	-1.790866760E-10	-6.267831254E-10	9.528946521E-10	7.879066843E-10	-3.297232070E-7	2.416237521E-8	-2.403339472E-10	-1.082975307E-10	-1.514463555E-9	-1.069367484E-9
3.403000000E-2	7.247013000E-1	2.371100000E-2	3.562330000E-2	2.695162266E-6	2.865771194E-7	2.644226782E-10	-1.326991711E-10	2.004307831E-9	-2.385053266E-10	1.317051357E-7	1.342659761E-9	-1.892671575E-9	1.572177277E-9	4.546118204E-10	1.237473013E-9	-3.314268895E-7	2.101545427E-8	-1.059293875E-9	5.841567230E-10	1.716414566E-9	7.787466227E-10
3.403000000E-2	5.376504600E+0	2.366140000E-2	3.548380000E-2	2.691165946E-6	2.870814342E-7	-2.672105870E-10	-1.177242748E-9	1.755511958E-9	-3.956192318E-10	1.310597071E-7	1.721653042E-9	-1.835120278E-9	1.929620685E-9	4.281527077E-10	1.659643756E-9	-3.309595513E-7	2.123039344E-8	-8.139619534E-10	5.218176447E-10	1.929005844E-9	2.169512625E-10
3.396000000E-2	5.777404500E+0	2.365900000E-2	3.546760000E-2	2.689953362E-6	2.869636546E-7	-1.925732213E-10	-1.230957225E-9	1.402543082E-9	-3.801993997E-10	1.305892994E-7	1.803581950E-9	-1.716317533E-9	2.224860740E-9	5.893069921E-10	1.868556865E-9	-3.308956025E-7	2.207570660E-8	-6.524670804E-10	4.916700380E-10	1.970743568E-9	-4.178938584E-10
3.396000000E-2	6.376222300E+0	2.365470000E-2	3.543990000E-2	2.690715974E-6	2.871578317E-7	1.844335379E-10	-8.627491499E-10	8.222884040E-10	1.012938899E-10	1.304528325E-7	1.782275660E-9	-1.736820798E-9	2.243324637E-9	6.942720843E-10	1.840144481E-9	-3.308614680E-7	2.268216193E-8	-4.315538760E-10	5.555715332E-10	1.925688276E-9	-7.496332999E-10
3.396000000E-2	6.977068300E+0	2.364990000E-2	3.544410000E-2	2.689905159E-6	2.868764000E-7	6.311938749E-10	-5.852229257E-10	4.154749877E-10	5.619470445E-10	1.305964048E-7	1.781868764E-9	-1.563087770E-9	2.073155425E-9	6.805010999E-10	1.389828697E-9	-3.310371710E-7	2.310498815E-8	-1.451428977E-10	4.089024397E-10	1.939703731E-9	-1.103352298E-9
3.403000000E-2	7.377791900E+0	2.364820000E-2	3.540810000E-2	2.690805331E-6	2.867631679E-7	8.874970758E-10	-4.030331069E-10	2.213176170E-10	7.036146665E-10	1.306906796E-7	1.588139065E-9	-1.295654251E-9	1.985059672E-9	6.540045172E-10	9.638299048E-10	-3.313295167E-7	2.325593762E-8	-6.110748713E-11	1.786471526E-10	1.831595209E-9	-1.309298003E-9
3.390000000E-2	7.776113900E+0	2.364650000E-2	3.543050000E-2	2.690313295E-6	2.874770928E-7	1.123385607E-9	-2.693497925E-10	1.094417751E-10	7.403670454E-10	1.307608954E-7	1.053535259E-9	-7.162026527E-10	1.923722959E-9	5.426427641E-10	4.673753051E-10	-3.317638289E-7	2.337221083E-8	-2.441377482E-11	-2.276804960E-11	1.532808325E-9	-1.462784116E-9
3.396000000E-2	8.176916200E+0	2.364610000E-2	3.540390000E-2	2.690325800E-6	2.863580164E-7	1.357947199E-9	-4.186979929E-10	1.399788358E-11	9.089851649E-10	1.311581457E-7	3.928616321E-10	1.937049826E-10	2.300932778E-9	2.847979075E-10	-1.428585167E-10	-3.327153308E-7	2.295263357E-8	4.089102390E-10	-3.013572447E-10	7.141921499E-10	-1.103950709E-9
3.403000000E-2	8.976393100E+0	2.363740000E-2	3.538820000E-2	2.689459279E-6	2.870545472E-7	1.413386186E-9	-9.973054604E-10	-1.930790111E-10	1.134253358E-9	1.318391014E-7	2.120190273E-10	6.741903147E-10	2.538594890E-9	1.107748893E-10	-3.149359939E-10	-3.331018945E-7	2.262922827E-8	5.092151145E-10	-5.125826985E-10	1.376134207E-10	-6.790071283E-10
