Friday_SCM1_July2025.013.txt Sat, Aug 2, 2025 11:34:34 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 991 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 313 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 137 Hz(Frequency)
Wait for 10.0 s, Elapsed time : 10 s
----------    T sweep at different fields  
Set Field 0.08 T at 0.2 T/min
Wait for Field Stable, Target Field 0.0800 T, Current Field 0.0787 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_013	Timestamp_013	Tmc_013	Tcoil_013	B1x1_013	B1y1_013	B1x2_013	B1y2_013	B1x3_013	B1y3_013	T1x1_013	T1y1_013	T1x2_013	T1y2_013	T1x3_013	T1y3_013	T3x1_013	T3y1_013	T3x2_013	T3y2_013	T3x3_013	T3y3_013
7.990000000E-2	3.593662998E-1	2.569530000E-2	3.365750000E-2	3.581701776E-6	5.882334335E-7	3.362475021E-10	-2.527269782E-10	1.272680832E-11	-3.622580014E-10	2.710836213E-7	4.953640342E-8	-3.789987768E-10	-3.035282248E-9	3.281692140E-10	1.585417353E-10	-6.721177215E-7	1.111130885E-7	-3.378599067E-10	8.406290664E-10	1.511882730E-9	9.376932564E-10
8.003000000E-2	7.284967999E-1	2.561570000E-2	3.362840000E-2	3.581679948E-6	5.881732363E-7	1.748003409E-10	3.999355361E-11	-2.213519645E-10	1.514529058E-10	2.711472860E-7	4.955331079E-8	-2.960734990E-10	-3.238890933E-9	3.486428091E-10	2.071715022E-10	-6.721964496E-7	1.110217127E-7	-2.428540424E-10	1.203774636E-9	1.524712023E-9	7.797981705E-10
8.003000000E-2	1.248760900E+0	2.550070000E-2	3.360830000E-2	3.581647888E-6	5.882535561E-7	2.114012576E-10	2.213322997E-10	-4.089083239E-10	5.580597651E-10	2.709216744E-7	4.956732269E-8	-2.673174460E-10	-3.044052788E-9	4.524503272E-10	3.147437033E-10	-6.725355206E-7	1.110315821E-7	-2.465481153E-10	1.572963537E-9	1.386060711E-9	3.368129664E-10
7.990000000E-2	1.849872200E+0	2.542080000E-2	3.359250000E-2	3.581762030E-6	5.882956771E-7	4.005400178E-10	2.916978326E-10	-3.805302740E-10	4.551931609E-10	2.708440832E-7	4.960354616E-8	-1.199276095E-10	-2.656336706E-9	2.860335579E-10	3.054415887E-10	-6.727822779E-7	1.111548684E-7	-3.319402531E-10	1.747796796E-9	1.250870074E-9	1.193827537E-10
7.990000000E-2	2.248255500E+0	2.532950000E-2	3.358290000E-2	3.581867759E-6	5.882782261E-7	4.780107421E-10	4.754654448E-10	-2.059954707E-10	5.247514645E-10	2.709856233E-7	4.958319977E-8	1.970106717E-10	-2.141013811E-9	-8.684312991E-11	1.525373994E-10	-6.728437256E-7	1.111308734E-7	-1.234807395E-10	1.836382935E-9	6.937332375E-10	1.357523954E-10
7.990000000E-2	2.848634800E+0	2.526310000E-2	3.355320000E-2	3.581920964E-6	5.882982919E-7	5.300364037E-10	4.677813692E-10	1.293097157E-10	6.167901745E-10	2.711360878E-7	4.953028210E-8	5.789879132E-10	-1.672828986E-9	-4.249003926E-10	3.792784489E-11	-6.726523338E-7	1.110587533E-7	9.735254963E-11	1.773362679E-9	3.822216155E-10	1.860591403E-10
7.990000000E-2	3.248872000E+0	2.520330000E-2	3.353250000E-2	3.581703595E-6	5.884962775E-7	6.252481866E-10	6.581523659E-10	7.199062457E-10	7.337084274E-10	2.711903733E-7	4.934997833E-8	7.775414757E-10	-1.276957429E-9	-6.808923425E-10	-1.088911600E-10	-6.724807804E-7	1.111467398E-7	2.884929795E-10	1.596155430E-9	5.376708454E-11	9.973252085E-11
8.003000000E-2	3.649868500E+0	2.514120000E-2	3.354390000E-2	3.581327746E-6	5.889306749E-7	5.330051400E-10	9.785381394E-10	1.322421173E-9	7.459574625E-10	2.710094691E-7	4.916056540E-8	8.198231538E-10	-9.946302670E-10	-8.636956705E-10	-3.795193604E-10	-6.725035746E-7	1.112334473E-7	5.095894817E-10	1.461241572E-9	-3.574983712E-11	-4.976505319E-12
7.983000000E-2	4.049816700E+0	2.508060000E-2	3.353160000E-2	3.580994417E-6	5.894978017E-7	6.152692245E-10	1.384069415E-9	1.916677039E-9	7.451246842E-10	2.707500641E-7	4.897582784E-8	6.874927849E-10	-8.562860976E-10	-9.395835221E-10	-6.274055164E-10	-6.729664506E-7	1.111341064E-7	6.869530500E-10	1.273024242E-9	-1.493968560E-10	-1.345331901E-10
8.010000000E-2	4.648744200E+0	2.500190000E-2	3.352640000E-2	3.580764542E-6	5.899188977E-7	5.192508645E-10	1.669687944E-9	2.367700258E-9	8.673332608E-10	2.705784254E-7	4.892934413E-8	3.736623233E-10	-9.173568571E-10	-8.039681143E-10	-7.752646858E-10	-6.735190254E-7	1.108538754E-7	7.910639366E-10	9.353066099E-10	-2.474765670E-10	-3.475265631E-10
