Friday_SCM1_July2025.014.txt Sat, Aug 2, 2025 12:20:08 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!

Field_014	Timestamp_014	Tmc_014	Tcoil_014	B1x1_014	B1y1_014	B1x2_014	B1y2_014	B1x3_014	B1y3_014	T1x1_014	T1y1_014	T1x2_014	T1y2_014	T1x3_014	T1y3_014	T3x1_014	T3y1_014	T3x2_014	T3y2_014	T3x3_014	T3y3_014
8.010000000E-2	3.800752000E-1	7.031010000E-1	7.524670000E-1	2.705112138E-6	6.664612897E-7	3.147100802E-9	-1.160221585E-9	1.625051309E-11	3.758400258E-10	2.696881154E-7	4.814313215E-8	-1.580197362E-10	5.784043799E-10	-3.513944136E-10	-1.931290905E-9	-8.606380675E-7	1.201123610E-7	1.477755585E-9	-8.600258006E-11	-4.139550647E-10	1.067492900E-10
7.990000000E-2	7.823872999E-1	7.030690000E-1	7.516070000E-1	2.704616918E-6	6.665713954E-7	3.230910206E-9	-8.522534345E-10	1.672036815E-10	-1.431517318E-11	2.695364287E-7	4.784022778E-8	2.407142194E-11	6.744950709E-10	-2.139887850E-10	-1.982147557E-9	-8.608840290E-7	1.203132456E-7	1.320716092E-9	-3.722884501E-10	-2.561754142E-10	2.127261978E-10
8.003000000E-2	1.147333600E+0	7.035390000E-1	7.529390000E-1	2.704302005E-6	6.666699619E-7	3.212516031E-9	-3.374073521E-10	2.212070943E-10	-3.855304132E-10	2.693596457E-7	4.747982629E-8	3.005459770E-10	6.111627871E-10	-2.784837638E-11	-1.957205287E-9	-8.609786164E-7	1.205420404E-7	1.061042143E-9	-9.051756566E-10	6.964544219E-11	2.990739045E-10
8.003000000E-2	1.748530600E+0	7.039620000E-1	7.531920000E-1	2.704405915E-6	6.667812045E-7	3.014746452E-9	3.799573711E-10	2.638047558E-10	-4.347916194E-10	2.695368835E-7	4.725837499E-8	5.229927047E-10	5.030221240E-10	2.001258603E-10	-1.849560061E-9	-8.606950246E-7	1.203861615E-7	3.635583779E-10	-1.603336464E-9	4.110138618E-10	3.266985293E-10
7.990000000E-2	2.347311000E+0	7.034660000E-1	7.527190000E-1	2.704861799E-6	6.670140920E-7	2.655610176E-9	1.012283368E-9	3.799118242E-10	-6.214729425E-11	2.693367662E-7	4.718577529E-8	7.575590155E-10	4.620894500E-10	1.902141777E-10	-1.573484676E-9	-8.602716548E-7	1.201915580E-7	-4.275424112E-11	-1.830970042E-9	4.635202500E-10	2.275725303E-10
8.003000000E-2	2.748289200E+0	7.027220000E-1	7.523780000E-1	2.705119414E-6	6.671294273E-7	2.228167206E-9	1.152411500E-9	6.258926155E-10	1.215698930E-10	2.689347127E-7	4.718029345E-8	9.723967187E-10	2.126130660E-10	1.610852424E-10	-1.250028858E-9	-8.598315731E-7	1.199481119E-7	-2.831226642E-10	-1.857861642E-9	3.976745877E-10	-2.734475623E-12
7.997000000E-2	3.147665700E+0	7.019280000E-1	7.526700000E-1	2.705444558E-6	6.670579182E-7	1.891083956E-9	1.020009854E-9	8.230734982E-10	1.934001292E-10	2.684679998E-7	4.738503989E-8	1.230906932E-9	-1.325634047E-10	1.886843598E-10	-9.890852581E-10	-8.595086456E-7	1.197468435E-7	-3.120783076E-10	-1.694692719E-9	2.729781956E-10	-2.205302746E-10
8.003000000E-2	3.548648300E+0	7.020200000E-1	7.518110000E-1	2.705898169E-6	6.669237109E-7	1.466562982E-9	6.066246949E-10	1.085113111E-9	2.784986408E-10	2.679686872E-7	4.765506034E-8	1.550768847E-9	-4.011751209E-10	3.589526731E-10	-8.124463324E-10	-8.592842278E-7	1.195623156E-7	-1.721926074E-10	-1.443448916E-9	4.795968622E-10	-3.562812823E-10
8.003000000E-2	3.947645400E+0	7.022520000E-1	7.527700000E-1	2.706221039E-6	6.669260983E-7	1.126967852E-9	1.947861456E-10	1.283656958E-9	4.455713021E-10	2.676679003E-7	4.788161689E-8	1.708429620E-9	-5.901863997E-10	5.979304829E-10	-7.375779987E-10	-8.592803056E-7	1.194164980E-7	9.831739589E-12	-1.211642120E-9	6.461842173E-10	-4.596772407E-10
8.003000000E-2	4.347633400E+0	7.021140000E-1	7.507490000E-1	2.706638725E-6	6.669793606E-7	8.850716271E-10	-1.849397441E-10	1.463103305E-9	6.165965516E-10	2.674354391E-7	4.808871878E-8	1.756746193E-9	-7.927001278E-10	8.826222531E-10	-7.657983137E-10	-8.593981420E-7	1.193410810E-7	1.585044318E-10	-8.833458964E-10	5.550995774E-10	-5.116869151E-10
7.983000000E-2	4.748122000E+0	7.019570000E-1	7.524220000E-1	2.706908163E-6	6.668485639E-7	8.645675842E-10	-3.005550808E-10	1.584344877E-9	6.575479050E-10	2.674081543E-7	4.813382404E-8	1.693133189E-9	-8.811378849E-10	1.242330905E-9	-7.638756849E-10	-8.594297469E-7	1.192719452E-7	3.662190273E-10	-4.230953643E-10	1.399729360E-10	-4.074627580E-10
7.997000000E-2	5.349023200E+0	7.018000000E-1	7.524700000E-1	2.706992063E-6	6.663139516E-7	1.060430521E-9	-8.376462024E-11	1.591852539E-9	6.567679733E-10	2.679822444E-7	4.792935116E-8	1.427104213E-9	-7.722437134E-10	1.552729612E-9	-6.305437283E-10	-8.594328165E-7	1.190086678E-7	4.441074730E-10	-6.288387172E-11	-1.767353069E-10	-1.754821982E-10
8.003000000E-2	5.748046200E+0	7.022060000E-1	7.520970000E-1	2.706989790E-6	6.658335678E-7	1.162614227E-9	1.198287580E-10	1.471258226E-9	5.627115995E-10	2.685279412E-7	4.773018247E-8	1.355439205E-9	-7.137057056E-10	1.671731531E-9	-6.943641218E-10	-8.593405028E-7	1.186571552E-7	5.468031583E-10	2.209482319E-10	-3.942525750E-10	1.171976127E-10
7.997000000E-2	6.147902600E+0	7.022320000E-1	7.536300000E-1	2.707001158E-6	6.654737490E-7	1.081978174E-9	2.686071851E-11	1.352464474E-9	3.617452449E-10	2.691012355E-7	4.756261873E-8	1.264744420E-9	-5.302965844E-10	1.794537185E-9	-9.297191350E-10	-8.591260325E-7	1.182259339E-7	7.279532532E-10	4.706546264E-10	-5.053763519E-10	4.861943625E-10
7.983000000E-2	6.548206800E+0	7.015180000E-1	7.531170000E-1	2.706996838E-6	6.653251603E-7	8.308000954E-10	-5.056433050E-10	1.154931151E-9	7.409279440E-11	2.695287265E-7	4.767843009E-8	1.160260443E-9	-3.869009280E-10	1.971287134E-9	-1.099834335E-9	-8.590309335E-7	1.179438272E-7	7.545184477E-10	5.586728302E-10	-5.101508660E-10	7.939515712E-10
8.003000000E-2	6.947609300E+0	7.003850000E-1	7.530380000E-1	2.706944315E-6	6.652767297E-7	5.852549556E-10	-1.157906104E-9	8.728731071E-10	-1.489313117E-10	2.698400863E-7	4.792583397E-8	1.010643347E-9	6.267220770E-11	2.125339016E-9	-1.307697506E-9	-8.587915090E-7	1.181003384E-7	6.296296262E-10	5.293400718E-10	-4.362332995E-10	6.631549754E-10
8.003000000E-2	7.547957400E+0	6.995990000E-1	7.539680000E-1	2.706604164E-6	6.654465778E-7	3.384690583E-10	-1.925896553E-9	8.044997446E-10	-3.543148830E-10	2.699039783E-7	4.797831465E-8	6.974718025E-10	8.537130447E-10	2.255367004E-9	-1.287425833E-9	-8.579515338E-7	1.188548424E-7	6.437000932E-10	5.993369134E-10	-2.125456061E-10	9.774057258E-11
7.997000000E-2	8.347227900E+0	6.978520000E-1	7.526520000E-1	2.706444548E-6	6.658357279E-7	1.871208743E-10	-2.344559880E-9	9.359573117E-10	-6.702112754E-10	2.696379795E-7	4.773690065E-8	2.645076658E-10	8.989398115E-10	2.029871826E-9	-9.109290544E-10	-8.576407140E-7	1.195269590E-7	6.272355413E-10	6.393692242E-10	-5.634562608E-11	-1.030197386E-10
7.997000000E-2	8.747344800E+0	6.967730000E-1	7.547520000E-1	2.706329496E-6	6.658880807E-7	1.376869452E-10	-2.544164657E-9	9.401164292E-10	-6.908925654E-10	2.694822001E-7	4.761193040E-8	3.117845218E-11	8.025679565E-10	1.604262612E-9	-6.365498684E-10	-8.575144648E-7	1.202562316E-7	5.883844523E-10	6.299263888E-10	1.237823177E-10	-3.575006957E-10
7.990000000E-2	9.147761900E+0	6.962720000E-1	7.519740000E-1	2.706215355E-6	6.658705729E-7	6.848400319E-11	-2.598723459E-9	9.469410811E-10	-6.861111679E-10	2.694862644E-7	4.751152360E-8	-2.197484972E-10	7.310352323E-10	1.055794119E-9	-6.712773115E-10	-8.576441246E-7	1.209576652E-7	4.286083155E-10	7.489897036E-10	4.712938928E-10	-5.941166448E-10
7.997000000E-2	9.547659300E+0	6.955990000E-1	7.537310000E-1	2.706249234E-6	6.658690381E-7	-7.669422736E-11	-2.442544389E-9	1.022841811E-9	-6.506291617E-10	2.696903039E-7	4.742588899E-8	-6.821579968E-10	5.726267238E-10	5.051165597E-10	-9.460917605E-10	-8.579749533E-7	1.214257708E-7	2.634475138E-10	9.781910837E-10	8.699216902E-10	-7.951357350E-10
7.990000000E-2	9.947736400E+0	6.949480000E-1	7.522860000E-1	2.706295163E-6	6.657597851E-7	-1.824879137E-10	-2.160889911E-9	1.115240789E-9	-5.053978347E-10	2.698204753E-7	4.760380889E-8	-1.178420361E-9	2.737011173E-10	9.258727812E-11	-1.282418505E-9	-8.583387512E-7	1.217423744E-7	2.150463002E-10	1.333395061E-9	1.211774014E-9	-8.967335763E-10
8.003000000E-2	1.034801960E+1	6.937100000E-1	7.526060000E-1	2.706194664E-6	6.657036238E-7	-1.658043425E-10	-1.783699410E-9	1.334996780E-9	-3.783350577E-10	2.697561286E-7	4.785562879E-8	-1.494976587E-9	6.300990979E-11	-7.596120261E-11	-1.603059796E-9	-8.585456612E-7	1.218346313E-7	1.572878355E-10	1.498982383E-9	1.489849355E-9	-9.804280721E-10
