Friday_SCM1_July2025.017.txt Sat, Aug 2, 2025 7:00:27 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 min, Elapsed time : 120 s
----------    T sweep at zero field at different frequencies  
Set Field 0.034 T at 0.3 T/min
Set SR830 ( GPIB0::1::INSTR ) 313 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 47 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 991 Hz(Frequency)
Wait for Field Stable, Target Field 0.0340 T, Current Field 0.0329 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_017	Timestamp_017	Tmc_017	Tcoil_017	B1x1_017	B1y1_017	B1x2_017	B1y2_017	B1x3_017	B1y3_017	T1x1_017	T1y1_017	T1x2_017	T1y2_017	T1x3_017	T1y3_017	T3x1_017	T3y1_017	T3x2_017	T3y2_017	T3x3_017	T3y3_017
3.377000000E-2	3.699077000E-1	1.986360000E-2	2.281970000E-2	9.971990948E-7	5.352759658E-8	-2.631797835E-10	-9.291127589E-11	1.386693205E-9	6.686960985E-10	2.739153793E-8	-1.458009979E-8	-1.697071039E-9	-1.104547911E-10	1.070212807E-9	-3.623948364E-10	-2.283043841E-6	3.848714641E-6	-1.648129522E-9	1.368837377E-9	-6.238234373E-10	1.656265125E-9
3.403000000E-2	7.815791001E-1	1.987070000E-2	2.283220000E-2	9.972420685E-7	5.366380051E-8	-2.204125216E-10	-2.207813654E-10	9.053732208E-10	2.767580332E-10	2.728160631E-8	-1.460482935E-8	-1.349120149E-9	-9.709331117E-10	1.230828328E-9	-3.917723368E-10	-2.284535185E-6	3.848948836E-6	-2.647950748E-9	1.276673878E-9	-7.825152193E-10	1.563245977E-9
3.390000000E-2	1.410056000E+0	1.988110000E-2	2.285610000E-2	9.971658983E-7	5.399515146E-8	-2.497438367E-10	-1.535729044E-10	1.850166687E-10	-3.964430173E-10	2.725724890E-8	-1.497148361E-8	-8.885120417E-10	-1.487253765E-9	1.309737874E-9	-5.303744111E-10	-2.285656365E-6	3.849266250E-6	-3.054206665E-9	1.258550708E-9	-3.061490783E-10	1.135007865E-9
3.396000000E-2	1.810351100E+0	1.988750000E-2	2.285420000E-2	9.969996881E-7	5.414718984E-8	-3.391142089E-10	-1.106826714E-10	-5.915640200E-11	-6.668424701E-10	2.729915671E-8	-1.491594048E-8	-6.874182335E-10	-1.780247394E-9	1.441182396E-9	-7.100238175E-10	-2.286570862E-6	3.849950190E-6	-3.195689713E-9	1.262447369E-9	4.422249789E-10	8.577347860E-11
3.390000000E-2	2.210525300E+0	1.989350000E-2	2.287260000E-2	9.968431414E-7	5.438574036E-8	-4.127026221E-10	-1.621783680E-10	-1.862151128E-10	-8.450852240E-10	2.749145445E-8	-1.442598396E-8	-3.396652126E-10	-2.188794923E-9	1.542707628E-9	-8.977242283E-10	-2.287899633E-6	3.850811481E-6	-3.078054700E-9	9.085568409E-10	9.519142141E-10	-1.204873645E-9
3.396000000E-2	2.609761800E+0	1.989900000E-2	2.287670000E-2	9.966086054E-7	5.476785247E-8	-6.105041472E-10	-2.752194861E-10	-4.135231047E-11	-1.053637511E-9	2.792107878E-8	-1.379495451E-8	1.149962486E-10	-2.679454880E-9	1.609648082E-9	-9.167957504E-10	-2.289194072E-6	3.851425845E-6	-2.444314529E-9	2.403530153E-10	1.127054228E-9	-2.270041044E-9
3.403000000E-2	3.010726500E+0	1.990290000E-2	2.287920000E-2	9.962774357E-7	5.512293200E-8	-8.339984259E-10	-2.950248101E-10	2.041605357E-10	-1.338947286E-9	2.821468748E-8	-1.351519252E-8	4.802370168E-10	-2.963808310E-9	1.671447980E-9	-7.521093193E-10	-2.290501925E-6	3.851891052E-6	-1.326106003E-9	-3.913955271E-10	8.254045780E-10	-3.256358738E-9
3.396000000E-2	3.410414200E+0	1.990780000E-2	2.288690000E-2	9.959051113E-7	5.556203320E-8	-9.869848272E-10	-7.033590377E-11	8.450213307E-10	-1.817698658E-9	2.851485981E-8	-1.333711452E-8	7.157808790E-10	-2.902823093E-9	1.588817633E-9	-4.402687936E-10	-2.291949158E-6	3.852588634E-6	-1.913277314E-10	-1.139153660E-9	3.463370216E-11	-3.950163308E-9
3.396000000E-2	3.810702600E+0	1.991240000E-2	2.288000000E-2	9.955888345E-7	5.596698571E-8	-1.100719182E-9	1.262186189E-10	1.546967665E-9	-2.186989256E-9	2.879984962E-8	-1.345656120E-8	8.194264711E-10	-2.251058451E-9	1.316130871E-9	-2.450543379E-10	-2.293503485E-6	3.853518137E-6	4.986399627E-10	-1.653443826E-9	-9.328267048E-10	-4.368291506E-9
3.396000000E-2	4.409719600E+0	1.991860000E-2	2.288590000E-2	9.949222886E-7	5.637024003E-8	-1.142422601E-9	2.235423652E-10	2.389175524E-9	-2.416970624E-9	2.903788143E-8	-1.403255201E-8	4.669969411E-10	-1.002791294E-9	5.189274566E-10	-1.021391374E-10	-2.294731530E-6	3.854650913E-6	3.382546188E-10	-2.072520377E-9	-1.732310628E-9	-4.285944488E-9
