Friday_SCM1_July2025.018.txt Sat, Aug 2, 2025 7:49:47 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_018	Timestamp_018	Tmc_018	Tcoil_018	B1x1_018	B1y1_018	B1x2_018	B1y2_018	B1x3_018	B1y3_018	T1x1_018	T1y1_018	T1x2_018	T1y2_018	T1x3_018	T1y3_018	T3x1_018	T3y1_018	T3x2_018	T3y2_018	T3x3_018	T3y3_018
3.403000000E-2	3.493243998E-1	7.025560000E-1	7.561720000E-1	7.281674925E-7	8.304380827E-8	-4.517518026E-10	7.747493203E-10	-6.465107894E-10	1.045431408E-9	1.800585991E-8	-1.801210381E-8	-3.797519590E-11	3.254343461E-10	-3.156245820E-10	1.245627490E-10	-3.642145657E-6	4.011337751E-6	3.274395199E-9	1.080073808E-9	2.057426007E-9	-1.313434916E-9
3.396000000E-2	6.973750999E-1	7.028240000E-1	7.528000000E-1	7.281157082E-7	8.278785657E-8	-6.205087000E-10	8.406341734E-10	-9.198420359E-10	6.225964744E-10	1.815491579E-8	-1.831164020E-8	-2.150887524E-10	3.285927086E-11	-4.830188471E-10	2.605848870E-10	-3.642517186E-6	4.011367764E-6	3.153433292E-9	1.064666244E-9	1.796172766E-9	-1.986819154E-9
3.403000000E-2	1.142498200E+0	7.026930000E-1	7.558360000E-1	7.278752605E-7	8.233585902E-8	-6.096173566E-10	8.200912172E-10	-1.206280076E-9	1.747393064E-10	1.828508189E-8	-1.840344765E-8	-5.138253156E-10	-3.026292827E-10	-7.540007507E-10	3.262675408E-10	-3.643013770E-6	4.011101737E-6	2.081418371E-9	7.870639695E-10	1.512541758E-9	-2.209855632E-9
3.396000000E-2	1.541714000E+0	7.021480000E-1	7.529800000E-1	7.275975804E-7	8.181950051E-8	-2.696676216E-10	6.716788792E-10	-1.315446307E-9	-1.239124914E-10	1.827869056E-8	-1.844919417E-8	-6.666111552E-10	-5.456845531E-10	-8.986714151E-10	1.076687350E-10	-3.643348919E-6	4.010897101E-6	1.557939222E-9	8.140957908E-10	1.241677650E-9	-1.892188850E-9
3.396000000E-2	1.941414100E+0	7.018960000E-1	7.552800000E-1	7.274331892E-7	8.140771257E-8	1.166881591E-10	5.895947064E-10	-1.262572047E-9	-1.706904201E-10	1.829909202E-8	-1.846329489E-8	-6.557509535E-10	-8.320378275E-10	-9.992452421E-10	-1.817184320E-10	-3.643563787E-6	4.010695648E-6	8.284262720E-10	1.189675913E-9	8.567914711E-10	-1.394981686E-9
3.390000000E-2	2.341419200E+0	7.018560000E-1	7.539120000E-1	7.271943332E-7	8.107171112E-8	5.299862771E-10	5.475302989E-10	-1.221129642E-9	-2.617433215E-10	1.801306837E-8	-1.814254880E-8	-7.091374155E-10	-9.815189772E-10	-1.202030919E-9	-4.494727923E-10	-3.643515129E-6	4.010334123E-6	4.010518584E-10	2.300487356E-9	4.444667412E-10	-9.482774566E-10
3.390000000E-2	2.941441400E+0	7.022000000E-1	7.537560000E-1	7.269706543E-7	8.089159564E-8	1.049063614E-9	3.926688696E-10	-1.328067545E-9	-3.071685684E-10	1.713491571E-8	-1.718666098E-8	-9.103779397E-10	-5.866194752E-10	-1.394105942E-9	-5.134538350E-10	-3.643643822E-6	4.009916211E-6	2.260975990E-10	2.600806681E-9	4.511366836E-10	-8.098438586E-10
3.390000000E-2	3.341415900E+0	7.025470000E-1	7.566460000E-1	7.266817761E-7	8.092936810E-8	1.061730037E-9	2.272635552E-10	-1.311252329E-9	-1.925616194E-10	1.622053247E-8	-1.605215871E-8	-1.149201179E-9	1.572735171E-11	-1.456588961E-9	-3.617494082E-10	-3.643513537E-6	4.009456006E-6	3.610866328E-10	2.721290748E-9	6.100979166E-10	-9.483982488E-10
3.390000000E-2	3.742353800E+0	7.021250000E-1	7.579250000E-1	7.262349868E-7	8.113902794E-8	6.420108334E-10	-8.100679415E-13	-1.140790573E-9	1.501609531E-10	1.547158490E-8	-1.492668922E-8	-1.447571618E-9	6.304277100E-10	-1.597409982E-9	-3.269708393E-10	-3.643263881E-6	4.009082204E-6	3.273911697E-10	2.316379533E-9	6.367560923E-10	-1.003743755E-9
3.390000000E-2	4.342383700E+0	7.029830000E-1	7.569570000E-1	7.257434049E-7	8.147571862E-8	1.579840148E-10	-2.229944979E-10	-8.543699637E-10	4.905322815E-10	1.515740777E-8	-1.437844244E-8	-1.434473762E-9	1.111234660E-9	-1.682594952E-9	-2.298768675E-10	-3.643128821E-6	4.008468750E-6	2.288373241E-10	1.605075406E-9	1.121763238E-9	-7.163619142E-10
