Friday_SCM1_July2025.019.txt Sat, Aug 2, 2025 9:02:50 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 137 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 79 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 719 Hz(Frequency)
Wait for Field Stable, Target Field 0.0340 T, Current Field 0.0338 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_019	Timestamp_019	Tmc_019	Tcoil_019	B1x1_019	B1y1_019	B1x2_019	B1y2_019	B1x3_019	B1y3_019	T1x1_019	T1y1_019	T1x2_019	T1y2_019	T1x3_019	T1y3_019	T3x1_019	T3y1_019	T3x2_019	T3y2_019	T3x3_019	T3y3_019
3.403000000E-2	3.743419999E-1	2.353500000E-2	3.481100000E-2	5.042721227E-7	-1.353891998E-9	1.627422780E-10	-5.252023261E-10	1.610036549E-9	-2.611542316E-9	6.753830917E-8	-9.023819914E-9	-1.006526751E-9	9.194104367E-10	-1.079544676E-9	1.748240996E-10	-1.965625870E-6	2.287742518E-6	-2.425840861E-9	-3.050021347E-10	3.882638211E-9	6.201958946E-10
3.396000000E-2	7.226779999E-1	2.353080000E-2	3.481830000E-2	5.041059126E-7	-1.205585964E-9	4.524512431E-10	-4.357011696E-10	1.499522617E-9	-2.544699784E-9	6.773928618E-8	-9.061364992E-9	-1.406318506E-9	8.097645332E-10	-1.360844326E-9	-3.008445715E-10	-1.962976967E-6	2.288131782E-6	-2.329434423E-9	-6.416540910E-11	3.766082557E-9	1.435481734E-10
3.403000000E-2	1.125711600E+0	2.353060000E-2	3.479140000E-2	5.039048574E-7	-1.167168917E-9	6.698578914E-10	-3.783239277E-10	1.238401048E-9	-2.382560815E-9	6.798551766E-8	-9.111552401E-9	-1.673785555E-9	6.261393071E-10	-1.608365219E-9	-5.824096760E-10	-1.966808441E-6	2.289312306E-6	-2.096850471E-9	1.457054477E-10	3.311979580E-9	-3.065769860E-10
3.396000000E-2	1.528302300E+0	2.352910000E-2	3.479060000E-2	5.035716413E-7	-1.027148477E-9	7.412154779E-10	-2.191028331E-10	9.756213615E-10	-2.165871260E-9	6.798343577E-8	-9.120242339E-9	-1.606595412E-9	3.355588862E-10	-1.886386824E-9	-6.440861733E-10	-1.964697958E-6	2.287214102E-6	-1.756124246E-9	1.672282868E-10	2.842575730E-9	-6.979302691E-10
3.396000000E-2	1.926204700E+0	2.352720000E-2	3.477060000E-2	5.030864258E-7	-7.524774137E-10	7.391634527E-10	1.373678810E-10	6.025909216E-10	-1.716800036E-9	6.779382744E-8	-9.196600814E-9	-1.101844171E-9	-3.206458432E-10	-2.262068310E-9	-5.219729093E-10	-1.967978960E-6	2.289285248E-6	-1.196830635E-9	5.478390519E-10	2.516758579E-9	-1.155835872E-9
3.390000000E-2	2.526446400E+0	2.352700000E-2	3.472420000E-2	5.026060990E-7	-5.039517137E-10	3.671783155E-10	4.436526424E-10	2.742216176E-10	-9.411122992E-10	6.742038749E-8	-9.594154804E-9	-5.995357544E-10	-7.294636561E-10	-2.606926008E-9	-2.898126461E-10	-1.964915100E-6	2.289625400E-6	-9.519167676E-10	7.907287047E-10	2.120175591E-9	-1.618970513E-9
3.396000000E-2	2.925694700E+0	2.352700000E-2	3.470950000E-2	5.024936058E-7	-4.572431323E-10	-8.227678955E-11	6.563514732E-10	2.753336448E-10	-4.368901907E-10	6.729074187E-8	-1.005393813E-8	-2.576982516E-10	-1.081405965E-9	-2.704123148E-9	6.806942510E-11	-1.968332526E-6	2.291566943E-6	-7.173609484E-10	7.559111670E-10	2.264584520E-9	-2.033232693E-9
3.390000000E-2	3.325644600E+0	2.352600000E-2	3.471540000E-2	5.024510870E-7	-5.652465718E-10	-5.182997920E-10	7.931995061E-10	4.556158506E-10	-1.527959287E-10	6.750277492E-8	-1.048022291E-8	-2.472770079E-11	-1.406122108E-9	-2.715939917E-9	3.987743469E-10	-1.966642458E-6	2.289350505E-6	-5.499591338E-10	6.069370007E-10	2.237875663E-9	-2.278429667E-9
3.396000000E-2	3.725718400E+0	2.352250000E-2	3.468720000E-2	5.024573397E-7	-8.815144170E-10	-8.182289846E-10	7.426395610E-10	6.986297096E-10	7.155278453E-11	6.798346419E-8	-1.076364153E-8	1.926201698E-10	-1.617013967E-9	-2.515252451E-9	5.437998385E-10	-1.967985554E-6	2.293065563E-6	-3.923376624E-10	5.697238237E-10	1.916392378E-9	-2.381615571E-9
3.396000000E-2	4.126850600E+0	2.351410000E-2	3.468270000E-2	5.026266763E-7	-1.099290325E-9	-9.828373671E-10	6.434155986E-10	1.009051287E-9	1.538175143E-10	6.862401136E-8	-1.104946623E-8	1.793105525E-10	-1.518631665E-9	-2.126834930E-9	5.374778955E-10	-1.968812285E-6	2.289795020E-6	-2.258163934E-10	6.487184678E-10	1.188485421E-9	-2.369356489E-9
3.390000000E-2	4.525757400E+0	2.350860000E-2	3.465070000E-2	5.027229690E-7	-1.090881274E-9	-9.501702758E-10	5.870176567E-10	1.140911476E-9	2.134107335E-10	6.913105466E-8	-1.120670934E-8	-9.123951594E-11	-1.218116385E-9	-1.831905294E-9	3.915573976E-10	-1.969104460E-6	2.293882517E-6	-1.660571958E-10	9.769978160E-10	4.708777812E-10	-2.050244641E-9
3.403000000E-2	5.126466000E+0	2.350440000E-2	3.463630000E-2	5.028490477E-7	-1.072537725E-9	-7.777561373E-10	5.719966167E-10	1.183119158E-9	2.026090545E-10	6.978419975E-8	-1.107399949E-8	-3.780254443E-10	-9.627831865E-10	-1.519592452E-9	1.167704822E-10	-1.968549895E-6	2.290725433E-6	-3.355485889E-10	1.328253174E-9	-4.717807395E-11	-1.515849113E-9
3.403000000E-2	5.526500500E+0	2.349810000E-2	3.464910000E-2	5.029407930E-7	-1.076403633E-9	-8.841693489E-10	6.487378967E-10	1.119646598E-9	2.277725231E-10	6.994914514E-8	-1.049890130E-8	-5.574237183E-10	-7.160827487E-10	-1.244274239E-9	8.358824917E-12	-1.968752940E-6	2.294754722E-6	-6.829589672E-10	1.496927027E-9	-2.467834548E-10	-9.886332864E-10
3.390000000E-2	5.926238500E+0	2.349420000E-2	3.463690000E-2	5.031908472E-7	-1.122395621E-9	-1.161306051E-9	6.807383546E-10	9.649701038E-10	4.133347553E-10	7.010259395E-8	-1.001497729E-8	-5.286507898E-10	-4.356935091E-10	-1.052604781E-9	7.052416984E-11	-1.969268169E-6	2.291307737E-6	-9.874708828E-10	1.712249453E-9	-4.329823652E-11	-6.304631262E-10
3.390000000E-2	6.326612900E+0	2.349170000E-2	3.462250000E-2	5.035565209E-7	-1.080435963E-9	-1.386381898E-9	8.155879860E-10	7.564482929E-10	6.676282305E-10	7.016063819E-8	-9.663547296E-9	-3.940623661E-10	-3.686854710E-10	-1.023556684E-9	1.205249650E-10	-1.966677019E-6	2.293784746E-6	-1.101531866E-9	1.952717987E-9	2.336405514E-10	-2.077943095E-10
3.409000000E-2	6.726079300E+0	2.348900000E-2	3.460870000E-2	5.037446726E-7	-1.016399742E-9	-1.529923965E-9	9.600041873E-10	4.592486946E-10	8.554113529E-10	6.999452040E-8	-9.440897841E-9	-1.711311787E-10	-5.355832444E-10	-1.110426751E-9	2.241603847E-10	-1.970570111E-6	2.293323860E-6	-1.321164178E-9	2.198204951E-9	3.239051249E-10	3.717088026E-10
3.396000000E-2	7.127259600E+0	2.348480000E-2	3.459650000E-2	5.036752668E-7	-1.068684807E-9	-1.782096470E-9	9.192627770E-10	2.293514337E-11	1.057196997E-9	6.954540055E-8	-9.397601808E-9	1.782852338E-10	-6.305292954E-10	-1.236418856E-9	3.042835706E-10	-1.966975788E-6	2.292454383E-6	-1.619188006E-9	2.181512970E-9	2.088603318E-10	7.767458898E-10
3.396000000E-2	7.526248000E+0	2.348330000E-2	3.459570000E-2	5.035341246E-7	-1.154491836E-9	-2.021960821E-9	7.279549741E-10	-3.571190843E-10	1.141497008E-9	6.891776394E-8	-9.326927675E-9	4.636616646E-10	-4.816091970E-10	-1.310116460E-9	1.417457957E-10	-1.971041911E-6	2.293762464E-6	-1.815635198E-9	1.849540410E-9	-1.987445798E-11	8.735366319E-10
3.403000000E-2	8.127325600E+0	2.348370000E-2	3.459420000E-2	5.032061381E-7	-1.368360758E-9	-1.981186104E-9	2.712915448E-10	-5.341247999E-10	9.642756593E-10	6.788969387E-8	-9.289077063E-9	5.552191484E-10	7.731992824E-11	-1.207756895E-9	-1.976273034E-10	-1.967964863E-6	2.292620138E-6	-1.697989416E-9	1.492828639E-9	-4.564429112E-10	4.469300763E-10
3.403000000E-2	8.527354200E+0	2.348370000E-2	3.458790000E-2	5.030437933E-7	-1.441985087E-9	-1.846953479E-9	8.568815796E-12	-3.179322083E-10	7.839277560E-10	6.716500423E-8	-9.281380109E-9	5.316994067E-10	3.960697881E-10	-1.235266223E-9	-4.876126725E-10	-1.971805887E-6	2.293772695E-6	-1.435756847E-9	1.177039577E-9	-6.349818449E-10	1.452387602E-11
3.403000000E-2	8.926341200E+0	2.348190000E-2	3.457150000E-2	5.028912824E-7	-1.477251432E-9	-1.677665007E-9	-3.242138780E-10	2.633014640E-10	6.147666820E-10	6.633513294E-8	-9.424582892E-9	5.290586302E-10	6.064362346E-10	-1.244444436E-9	-6.908005834E-10	-1.969247023E-6	2.290558768E-6	-9.585221505E-10	8.381926264E-10	-7.798120483E-10	-4.370896700E-10
3.396000000E-2	9.326236500E+0	2.347810000E-2	3.455260000E-2	5.027658858E-7	-1.394825033E-9	-1.380276671E-9	-6.352273707E-10	8.785193129E-10	4.971907330E-10	6.574602196E-8	-9.651329513E-9	6.849275036E-10	5.820222637E-10	-1.104330072E-9	-5.564588790E-10	-1.971557367E-6	2.294047363E-6	-4.283050581E-10	6.338887748E-10	-9.907742404E-10	-6.163651256E-10
3.390000000E-2	9.726195000E+0	2.347550000E-2	3.453780000E-2	5.025980272E-7	-1.066174371E-9	-1.036327024E-9	-7.724125228E-10	1.254240600E-9	2.271440952E-10	6.555116983E-8	-9.936200307E-9	8.359132830E-10	5.194216723E-10	-9.687559643E-10	-2.730683457E-10	-1.971373649E-6	2.290124257E-6	-3.208351293E-11	6.072440883E-10	-9.021162151E-10	-4.790011165E-10
3.396000000E-2	1.012619880E+1	2.347710000E-2	3.452140000E-2	5.024537018E-7	-7.566605675E-10	-7.233117438E-10	-6.801937347E-10	1.352465473E-9	-2.265452548E-10	6.557503696E-8	-1.036319830E-8	9.326329708E-10	4.595660796E-10	-7.578627170E-10	1.533850269E-10	-1.969725190E-6	2.293284524E-6	2.357195550E-10	3.924380543E-10	-8.253693284E-10	2.021331366E-11
3.403000000E-2	1.052628750E+1	2.347410000E-2	3.451180000E-2	5.024271559E-7	-6.834703914E-10	-3.600191256E-10	-3.540175098E-10	1.228056767E-9	-5.884904786E-10	6.569092648E-8	-1.098628033E-8	8.500130599E-10	4.402109788E-10	-5.934601699E-10	5.777545664E-10	-1.973539156E-6	2.291211558E-6	4.443683754E-10	-6.284817805E-11	-1.013838791E-9	5.676237258E-10
3.403000000E-2	1.092584750E+1	2.346680000E-2	3.449620000E-2	5.025030418E-7	-7.156105708E-10	-1.210051087E-10	-1.851461207E-10	9.466923911E-10	-8.747533808E-10	6.598292401E-8	-1.161641272E-8	5.116005952E-10	3.306343810E-10	-6.143979214E-10	9.963390113E-10	-1.970802714E-6	2.293907301E-6	2.944158250E-10	-5.497076683E-10	-1.037597563E-9	5.970319794E-10
3.396000000E-2	1.152582580E+1	2.345240000E-2	3.447120000E-2	5.025216296E-7	-5.986943163E-10	-6.481784554E-11	-2.213829259E-10	5.340108911E-10	-1.344975242E-9	6.631570670E-8	-1.194249766E-8	1.799370930E-10	2.448412029E-10	-7.177388128E-10	1.210523903E-9	-1.974405677E-6	2.291749297E-6	1.005527744E-10	-9.442310267E-10	-9.487400865E-10	4.238012996E-10
3.396000000E-2	1.192746110E+1	2.344330000E-2	3.449290000E-2	5.025456744E-7	-4.622523753E-10	-2.773721253E-10	-2.693882339E-10	2.200364474E-10	-1.844310593E-9	6.653254303E-8	-1.212808609E-8	-9.161910120E-11	1.023757953E-10	-1.052087639E-9	1.209167988E-9	-1.970453013E-6	2.293414127E-6	-3.039212493E-10	-1.252700277E-9	-1.247059456E-9	1.444769721E-10
3.390000000E-2	1.252651690E+1	2.343250000E-2	3.451480000E-2	5.023994731E-7	-5.346572074E-10	-4.711009916E-10	-5.742107900E-10	1.374969860E-10	-2.159524781E-9	6.652538076E-8	-1.213692258E-8	-3.317902342E-10	8.925137018E-11	-1.333663069E-9	9.360042741E-10	-1.974258794E-6	2.291852525E-6	-5.921581558E-10	-1.477953981E-9	-1.647544212E-9	2.299682389E-10
3.396000000E-2	1.292615630E+1	2.342690000E-2	3.451460000E-2	5.021786364E-7	-6.848626666E-10	-5.340120013E-10	-8.908050408E-10	1.480808115E-10	-2.291718593E-9	6.666235919E-8	-1.189843957E-8	-4.601068970E-10	7.175102179E-11	-1.469158462E-9	6.104802774E-10	-1.970464382E-6	2.293755870E-6	-4.322869285E-10	-1.432078567E-9	-1.572785680E-9	1.908978531E-10
3.396000000E-2	1.332747730E+1	2.342070000E-2	3.452850000E-2	5.019894615E-7	-8.757940484E-10	-6.212445003E-10	-1.259550908E-9	2.268338121E-11	-2.171194335E-9	6.686920528E-8	-1.151522167E-8	-6.283278897E-10	2.566816204E-10	-1.451093134E-9	2.108062475E-10	-1.974796078E-6	2.293084663E-6	-1.125120899E-10	-1.542896477E-9	-1.032056662E-9	3.575264251E-10
3.409000000E-2	1.372648440E+1	2.341800000E-2	3.453540000E-2	5.020381195E-7	-1.186860277E-9	-7.535035373E-10	-1.718237441E-9	-1.465927518E-10	-1.837047514E-9	6.708807376E-8	-1.084563195E-8	-6.843008937E-10	5.603598696E-10	-1.462593935E-9	-1.855097742E-10	-1.970850690E-6	2.291322971E-6	3.900830492E-10	-1.745228739E-9	-3.116041314E-10	3.248684100E-10
3.390000000E-2	1.432551350E+1	2.341670000E-2	3.453080000E-2	5.023678682E-7	-1.991009357E-9	-8.652662475E-10	-1.948724959E-9	-1.607443761E-10	-1.230148094E-9	6.735019298E-8	-9.939021162E-9	-7.603658814E-10	9.564370407E-10	-1.406715411E-9	-5.812080817E-10	-1.975573468E-6	2.291326837E-6	8.604775226E-10	-1.769793312E-9	6.215059023E-10	-2.691576684E-10
3.403000000E-2	1.472661460E+1	2.341740000E-2	3.453290000E-2	5.025700034E-7	-2.381359110E-9	-8.885824854E-10	-1.638282510E-9	-1.633591595E-10	-8.593619150E-10	6.749559134E-8	-9.463036577E-9	-8.871397505E-10	1.133949934E-9	-1.270182959E-9	-7.161296556E-10	-1.971441179E-6	2.290080374E-6	1.111101433E-9	-1.768720059E-9	1.156366114E-9	-4.147249211E-10
3.403000000E-2	1.532644150E+1	2.341440000E-2	3.451500000E-2	5.027753218E-7	-2.707726265E-9	-9.766841780E-10	-1.199027322E-9	-2.759683038E-10	-5.973905814E-10	6.782565265E-8	-9.104042853E-9	-8.295788501E-10	9.446413651E-10	-1.077191669E-9	-5.665296010E-10	-1.976187605E-6	2.291113333E-6	1.207964284E-9	-1.577779019E-9	1.972378927E-9	-2.113464126E-10
3.403000000E-2	1.572638340E+1	2.340940000E-2	3.449990000E-2	5.026175813E-7	-2.802289068E-9	-1.027060437E-9	-1.018153673E-9	-4.177994895E-10	-4.340174609E-10	6.822898513E-8	-9.048452654E-9	-8.093570814E-10	6.217782955E-10	-8.148426933E-10	-3.666922599E-10	-1.972279279E-6	2.289621534E-6	1.382163273E-9	-1.703550079E-9	2.445166070E-9	5.600550579E-11
3.403000000E-2	1.612624480E+1	2.340820000E-2	3.450060000E-2	5.025461292E-7	-2.572162039E-9	-1.024241580E-9	-9.314350402E-10	-6.273591091E-10	-3.658932601E-10	6.859116297E-8	-9.109458965E-9	-7.479676323E-10	4.704242551E-10	-4.912670826E-10	-2.494045526E-10	-1.975207397E-6	2.293486432E-6	1.558573159E-9	-2.026691925E-9	2.528594889E-9	1.922759174E-10
