Friday_SCM1_July2025.021.txt Sat, Aug 2, 2025 11:05:31 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 991 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 313 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 137 Hz(Frequency)
Wait for 10.0 s, Elapsed time : 10 s
----------    T sweep at different fields  
Set Field 0.1 T at 0.2 T/min
Wait for Field Stable, Target Field 0.1000 T, Current Field 0.0982 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_021	Timestamp_021	Tmc_021	Tcoil_021	B1x1_021	B1y1_021	B1x2_021	B1y2_021	B1x3_021	B1y3_021	T1x1_021	T1y1_021	T1x2_021	T1y2_021	T1x3_021	T1y3_021	T3x1_021	T3y1_021	T3x2_021	T3y2_021	T3x3_021	T3y3_021
9.992000000E-2	3.873198999E-1	2.604950000E-2	3.371660000E-2	3.426777312E-6	6.160174166E-7	-1.351513124E-9	-7.965426096E-10	1.394509619E-9	-9.124882516E-10	2.756084996E-7	4.979041179E-8	-3.287055905E-10	-1.306049935E-9	3.017671113E-10	-7.377535804E-10	-7.102365771E-7	1.177743627E-7	-2.521653109E-9	1.157140939E-9	-5.472822195E-10	3.326263154E-10
9.999000000E-2	7.543871000E-1	2.596750000E-2	3.367820000E-2	3.426991725E-6	6.160249200E-7	-1.381440962E-9	-4.813573984E-10	1.200696098E-9	-9.661801359E-10	2.755190565E-7	5.000899961E-8	-8.377384897E-11	-1.198968924E-9	4.318275182E-10	-6.717473244E-10	-7.104194992E-7	1.177295346E-7	-2.467833493E-9	8.263773554E-10	-8.102144511E-10	4.348678917E-10
9.992000000E-2	1.283162700E+0	2.586400000E-2	3.364810000E-2	3.427200909E-6	6.161839678E-7	-1.236760583E-9	1.791118087E-10	7.161364279E-10	-8.763181292E-10	2.755691071E-7	5.023213845E-8	2.639476138E-10	-7.819546122E-10	8.709611921E-10	-4.048239521E-10	-7.104939073E-7	1.175253601E-7	-2.330029281E-9	3.485874089E-11	-1.171640673E-9	5.304619521E-10
9.992000000E-2	1.684935900E+0	2.579290000E-2	3.363160000E-2	3.427425554E-6	6.164584647E-7	-1.009319295E-9	6.158067389E-10	2.188497716E-10	-7.848025563E-10	2.755544983E-7	5.017730587E-8	4.996950076E-10	-4.957633748E-10	1.226345692E-9	-1.223464108E-10	-7.105394957E-7	1.171749986E-7	-2.103682784E-9	-6.255224117E-10	-1.498561053E-9	5.144973891E-10
9.992000000E-2	2.083368800E+0	2.572660000E-2	3.358630000E-2	3.427529919E-6	6.168525601E-7	-6.502983707E-10	8.762887083E-10	6.726515178E-11	-7.858315665E-10	2.754247817E-7	5.012179827E-8	7.415575931E-10	-1.723326759E-10	1.633247537E-9	-1.334167915E-10	-7.102668178E-7	1.164246513E-7	-1.834035368E-9	-1.414497186E-9	-1.986901754E-9	3.956100725E-10
9.999000000E-2	2.884510500E+0	2.560740000E-2	3.354050000E-2	3.427158163E-6	6.173319775E-7	-2.603580684E-10	8.857343192E-10	3.924771619E-10	-6.533716346E-10	2.751463626E-7	5.006875980E-8	9.197959616E-10	4.897018555E-11	1.829916996E-9	-4.719318270E-10	-7.101907613E-7	1.161661274E-7	-1.749415501E-9	-1.919871817E-9	-2.175887470E-9	3.562367068E-10
9.999000000E-2	3.283433000E+0	2.554720000E-2	3.353290000E-2	3.426635203E-6	6.174495297E-7	-2.718636254E-11	7.477024000E-10	7.268526336E-10	-5.526686331E-10	2.749825398E-7	5.000604375E-8	9.472778118E-10	1.986307369E-10	1.926507842E-9	-7.370462574E-10	-7.102394761E-7	1.161245891E-7	-1.474915745E-9	-2.168055291E-9	-2.156137047E-9	3.654554992E-10
1.000500000E-1	3.683488300E+0	2.548970000E-2	3.350000000E-2	3.425956947E-6	6.175083058E-7	1.109685468E-10	5.539694814E-10	1.045657894E-9	-3.622147859E-10	2.748251973E-7	4.990981850E-8	1.094044411E-9	2.546183819E-10	1.960061668E-9	-7.793074519E-10	-7.103435564E-7	1.161176115E-7	-1.035973529E-9	-2.083548001E-9	-1.922217052E-9	3.905302193E-10
9.999000000E-2	4.083620400E+0	2.544170000E-2	3.348470000E-2	3.425303930E-6	6.176589409E-7	3.636025925E-10	6.022360943E-10	1.340927480E-9	-1.805037925E-10	2.745422023E-7	4.963934330E-8	1.397986060E-9	2.356033979E-10	1.831673369E-9	-4.471293336E-10	-7.105204531E-7	1.160917620E-7	-6.956158427E-10	-1.558534191E-9	-1.520364168E-9	2.721008974E-10
9.992000000E-2	4.484038900E+0	2.538960000E-2	3.347840000E-2	3.424944680E-6	6.177093042E-7	6.055135282E-10	6.679859998E-10	1.622735612E-9	-7.470338237E-11	2.742270056E-7	4.936534381E-8	1.606562439E-9	1.479237288E-10	1.716400577E-9	-2.378291140E-11	-7.108171189E-7	1.163062819E-7	-6.079777237E-10	-1.126007731E-9	-1.183749321E-9	1.516115150E-10
