Friday_SCM1_July2025.023.txt Sun, Aug 3, 2025 1:08:02 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Set Field 0.05 T at 0.2 T/min
Wait for Field Stable, Target Field 0.0500 T, Current Field 0.0504 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_023	Timestamp_023	Tmc_023	Tcoil_023	B1x1_023	B1y1_023	B1x2_023	B1y2_023	B1x3_023	B1y3_023	T1x1_023	T1y1_023	T1x2_023	T1y2_023	T1x3_023	T1y3_023	T3x1_023	T3y1_023	T3x2_023	T3y2_023	T3x3_023	T3y3_023
4.986000000E-2	3.863297000E-1	2.333200000E-2	3.555320000E-2	3.855486284E-6	5.180683047E-7	-1.440086273E-9	1.064578092E-9	1.851820697E-9	1.052666398E-9	2.823297507E-7	4.559495892E-8	-1.330786814E-9	1.500989888E-9	-3.453332342E-10	4.435713463E-10	-5.897700248E-7	9.784342581E-8	-6.381879469E-9	-2.624689577E-9	9.896024000E-10	-3.419860783E-10
4.999000000E-2	8.057116999E-1	2.333880000E-2	3.556520000E-2	3.855062460E-6	5.178751508E-7	-1.323124832E-9	1.025588281E-9	1.807719974E-9	9.783517330E-10	2.828060417E-7	4.549024268E-8	-1.293751217E-9	1.051785659E-9	-1.747813977E-10	4.200068349E-10	-5.899531743E-7	9.782047528E-8	-5.563312922E-9	-4.222450389E-9	1.357674639E-9	-2.502136831E-10
4.993000000E-2	1.285301300E+0	2.334280000E-2	3.555130000E-2	3.854712304E-6	5.175014053E-7	-1.332645327E-9	6.495814442E-10	1.807233585E-9	8.470844581E-10	2.832373127E-7	4.546633292E-8	-9.108317989E-10	4.176933799E-10	-8.757800735E-11	2.811485766E-10	-5.903762030E-7	9.750458219E-8	-3.654131664E-9	-4.995239333E-9	1.485894963E-9	-9.787882310E-11
4.993000000E-2	1.684729000E+0	2.334430000E-2	3.552130000E-2	3.854540409E-6	5.174295552E-7	-1.315668574E-9	3.350576761E-10	1.799716598E-9	5.646622614E-10	2.834833879E-7	4.544428833E-8	-5.021708049E-10	-2.334366034E-11	-2.472342331E-10	1.751676443E-10	-5.908091794E-7	9.707224535E-8	-1.124598303E-9	-4.122386876E-9	1.161064578E-9	5.067070374E-11
4.999000000E-2	2.284009600E+0	2.334530000E-2	3.552630000E-2	3.854520401E-6	5.176336231E-7	-1.304197306E-9	2.815126084E-11	1.473184685E-9	3.185475772E-10	2.836275428E-7	4.563824874E-8	-1.199628730E-10	-1.534015276E-10	-3.781849833E-10	3.438379581E-10	-5.908883622E-7	9.695773429E-8	4.616182089E-11	-2.776341823E-9	7.545080116E-10	8.732435608E-11
4.993000000E-2	2.683802800E+0	2.334560000E-2	3.552460000E-2	3.854418083E-6	5.177284947E-7	-1.306997621E-9	-2.503257324E-10	1.084358381E-9	3.971692974E-10	2.837563784E-7	4.596071434E-8	1.998728440E-11	-2.689748424E-10	-5.855674834E-10	5.067743447E-10	-5.907879768E-7	9.716355010E-8	-1.005997161E-10	-1.926061310E-9	4.481332527E-10	4.593284433E-11
5.006000000E-2	3.084336300E+0	2.334560000E-2	3.551900000E-2	3.854259376E-6	5.177541311E-7	-1.115562753E-9	-5.419386051E-10	8.045518141E-10	3.830069872E-10	2.838147566E-7	4.637070816E-8	2.512484942E-10	-3.391671943E-10	-8.929674777E-10	5.858167840E-10	-5.907025411E-7	9.752259444E-8	-6.161249289E-10	-1.000809768E-9	2.158602741E-10	3.484631680E-11
5.006000000E-2	3.485282500E+0	2.334470000E-2	3.552830000E-2	3.853956514E-6	5.179690561E-7	-8.689186592E-10	-7.749970110E-10	8.096572302E-10	1.950381384E-10	2.838085607E-7	4.679549548E-8	3.331734333E-10	-4.147927002E-10	-1.103924840E-9	5.663836067E-10	-5.907000400E-7	9.801625822E-8	-1.280602180E-9	-1.515375048E-10	1.374429876E-10	1.016193033E-11
4.999000000E-2	3.883568700E+0	2.334660000E-2	3.549340000E-2	3.853509043E-6	5.183684948E-7	-7.350111075E-10	-9.461640360E-10	8.572124122E-10	1.257375107E-11	2.838989417E-7	4.718190638E-8	2.449178638E-10	-7.023517323E-10	-1.179779274E-9	5.891241384E-10	-5.908056551E-7	9.849812699E-8	-1.636850322E-9	4.653509522E-10	1.963323393E-10	-1.550029272E-10
4.999000000E-2	4.284017500E+0	2.334600000E-2	3.551260000E-2	3.853059752E-6	5.185735290E-7	-7.062960772E-10	-1.084939139E-9	8.549008723E-10	-7.189061846E-11	2.840340016E-7	4.725440661E-8	6.710070000E-11	-1.004157424E-9	-1.126265636E-9	6.375822648E-10	-5.909856782E-7	9.887450858E-8	-1.519993798E-9	1.079081491E-9	3.262307369E-10	-4.070630222E-10
5.006000000E-2	4.684168200E+0	2.334570000E-2	3.547820000E-2	3.852495411E-6	5.186461749E-7	-7.249611467E-10	-1.176096442E-9	8.041147748E-10	-1.369353797E-10	2.843202083E-7	4.729061942E-8	-3.969712337E-10	-1.369910629E-9	-8.674991836E-10	7.048954753E-10	-5.913826158E-7	9.919173749E-8	-1.040737496E-9	1.331766697E-9	5.571562101E-10	-4.385580232E-10
4.993000000E-2	5.285233800E+0	2.334210000E-2	3.547330000E-2	3.851405381E-6	5.185707437E-7	-7.614335273E-10	-1.166514885E-9	8.646919847E-10	-2.748122563E-10	2.846933000E-7	4.733638193E-8	-9.687707303E-10	-1.659588800E-9	-6.317856238E-10	6.418668930E-10	-5.919385444E-7	9.924632849E-8	-6.064225788E-10	1.089921264E-9	7.740773023E-10	-4.689801880E-10
4.993000000E-2	5.684551000E+0	2.334060000E-2	3.546940000E-2	3.850865141E-6	5.186540761E-7	-9.452731930E-10	-1.075037170E-9	1.090844859E-9	-3.784825509E-10	2.850584337E-7	4.735287362E-8	-1.189545573E-9	-1.622185608E-9	-5.590590768E-10	4.277013743E-10	-5.923174058E-7	9.915760302E-8	-5.322374208E-10	6.498090954E-10	7.603351837E-10	-5.121705282E-10
