Friday_SCM1_July2025.026.txt Sun, Aug 3, 2025 4:03:32 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_026	Timestamp_026	Tmc_026	Tcoil_026	B1x1_026	B1y1_026	B1x2_026	B1y2_026	B1x3_026	B1y3_026	T1x1_026	T1y1_026	T1x2_026	T1y2_026	T1x3_026	T1y3_026	T3x1_026	T3y1_026	T3x2_026	T3y2_026	T3x3_026	T3y3_026
4.998200000E-1	3.274215001E-1	7.016430000E-1	7.603880000E-1	2.203419854E-6	6.778183206E-7	4.153248023E-10	2.105022823E-10	1.353094747E-9	1.283147033E-9	2.721362762E-7	4.736326886E-8	-2.612825511E-10	1.299492403E-9	-9.337829399E-10	6.776598172E-10	-9.421227674E-7	1.199997683E-7	-1.813231449E-7	-1.541658179E-8	-8.092830295E-10	1.392312377E-9
4.999500000E-1	7.455156001E-1	7.016910000E-1	7.576760000E-1	2.202961923E-6	6.778439570E-7	4.233419171E-10	6.050423357E-11	1.212996037E-9	1.404880101E-9	2.719878296E-7	4.701522371E-8	-2.557550560E-10	1.243466441E-9	-7.723528483E-10	7.035498850E-10	-9.423915799E-7	1.201093340E-7	-1.632586049E-7	-1.465686061E-8	-7.156412130E-10	1.491418322E-9
5.000100000E-1	1.143724500E+0	7.012110000E-1	7.609210000E-1	2.202569249E-6	6.779620776E-7	3.848418528E-10	-8.395559942E-11	1.079484724E-9	1.380861647E-9	2.717646339E-7	4.661773900E-8	-1.394684507E-10	1.195811894E-9	-5.333923858E-10	7.940841873E-10	-9.425011740E-7	1.201032802E-7	-1.327997552E-7	-1.447065578E-8	-7.245944955E-10	1.335007549E-9
4.999500000E-1	1.544604500E+0	7.008020000E-1	7.585990000E-1	2.202190444E-6	6.782217383E-7	2.522059228E-10	-1.584654075E-10	1.001958405E-9	1.283934514E-9	2.714754714E-7	4.639850104E-8	1.483938081E-12	1.135373795E-9	-2.640113128E-10	8.371597859E-10	-9.427247392E-7	1.200892683E-7	-9.545998836E-8	-1.418133344E-8	-8.310991340E-10	1.104684566E-9
4.999500000E-1	1.943630600E+0	7.006560000E-1	7.594420000E-1	2.201718417E-6	6.787461757E-7	1.651334763E-10	-6.663542634E-11	9.763619913E-10	1.082969936E-9	2.711863374E-7	4.633459128E-8	7.691516868E-11	1.089446422E-9	-4.936650741E-11	7.092907928E-10	-9.430332852E-7	1.201406405E-7	-3.724901276E-8	-8.100522031E-9	-7.729454854E-10	9.994559624E-10
5.000100000E-1	2.344088900E+0	7.010780000E-1	7.604760000E-1	2.201112920E-6	6.797283731E-7	1.235294367E-10	2.912993458E-10	1.151371776E-9	6.578199652E-10	2.710363276E-7	4.642290818E-8	-2.163255963E-10	8.977751320E-10	2.836564872E-10	4.628546435E-10	-9.432526440E-7	1.202055415E-7	4.914396712E-8	-1.030461272E-9	-3.839722707E-10	8.184908307E-10
4.999500000E-1	2.945527500E+0	7.022840000E-1	7.593150000E-1	2.200756398E-6	6.807707109E-7	1.996077054E-10	4.449119684E-10	1.455843002E-9	2.052233800E-10	2.711044829E-7	4.675301923E-8	-4.869973869E-10	6.115543072E-10	6.073156422E-10	4.137374887E-10	-9.432887396E-7	1.202401876E-7	7.003587399E-8	-2.905288232E-9	-1.360452306E-10	6.668851582E-10
5.000100000E-1	3.345439500E+0	7.023790000E-1	7.597830000E-1	2.200816653E-6	6.812097695E-7	4.149030008E-10	3.740571741E-10	1.625303003E-9	-6.193098812E-11	2.710696663E-7	4.703039735E-8	-6.139261321E-10	3.430996598E-10	8.268390972E-10	3.709133556E-10	-9.431872172E-7	1.203948301E-7	7.537367708E-8	1.110765813E-9	4.852320282E-11	4.788898722E-10
5.000100000E-1	3.744225000E+0	7.023980000E-1	7.609070000E-1	2.201181815E-6	6.812695119E-7	7.371830924E-10	3.580483410E-10	1.669120398E-9	-1.513914272E-10	2.710819444E-7	4.719422009E-8	-7.285902992E-10	1.030689076E-10	7.963629756E-10	4.535468667E-10	-9.430760883E-7	1.207524605E-7	6.867909263E-8	5.046047136E-9	2.120717629E-10	2.106138736E-10
5.000100000E-1	4.144404800E+0	7.022100000E-1	7.602080000E-1	2.201989673E-6	6.809121373E-7	9.938680989E-10	4.777288010E-10	1.592720511E-9	-2.502848796E-11	2.711900606E-7	4.711698765E-8	-8.925506445E-10	6.540590292E-11	7.210703701E-10	4.817935495E-10	-9.431182662E-7	1.211385694E-7	4.754462779E-8	2.845073288E-9	2.133817983E-10	-1.506146319E-10
4.998800000E-1	4.745457000E+0	7.028270000E-1	7.606240000E-1	2.202520818E-6	6.803840051E-7	1.032297026E-9	4.463926451E-10	1.647931902E-9	3.342558175E-10	2.713687479E-7	4.678161503E-8	-1.374248271E-9	1.753128337E-10	6.855260803E-10	3.066075727E-10	-9.434029380E-7	1.214408485E-7	2.277112543E-8	9.248439237E-10	2.711102454E-10	-3.092323064E-10
4.999500000E-1	5.144462600E+0	7.028960000E-1	7.598260000E-1	2.203006716E-6	6.800117944E-7	6.639270245E-10	1.831135798E-10	1.844157271E-9	6.969534949E-10	2.717436303E-7	4.638376083E-8	-1.877558331E-9	5.125312674E-11	5.301984962E-10	1.609949951E-10	-9.439646647E-7	1.219089114E-7	-1.200237509E-8	-1.354258572E-8	2.096887525E-10	-6.348466752E-10
4.999500000E-1	5.944616700E+0	7.020650000E-1	7.598160000E-1	2.203690883E-6	6.789582017E-7	-1.649327203E-10	-1.132629476E-10	2.173828007E-9	1.151044704E-9	2.719081920E-7	4.622553718E-8	-1.783390435E-9	-1.284688605E-10	4.022382427E-10	-7.995229478E-11	-9.441460520E-7	1.220911656E-7	-2.635851892E-8	-2.975210300E-8	-2.000098177E-11	-1.043781284E-9
4.999500000E-1	6.343819000E+0	7.018290000E-1	7.600120000E-1	2.203968961E-6	6.782865967E-7	-6.156836152E-10	-3.572697971E-10	2.191151704E-9	1.260434757E-9	2.719048098E-7	4.617291793E-8	-1.488983270E-9	-2.114280834E-10	4.517129448E-10	-2.315702075E-10	-9.440772715E-7	1.221127093E-7	-2.849824199E-8	-5.242070600E-8	-2.476242544E-10	-1.506411440E-9
5.000100000E-1	6.743828500E+0	7.020700000E-1	7.603200000E-1	2.204004659E-6	6.777503359E-7	-8.778549554E-10	-4.762622519E-10	2.035220215E-9	1.250104908E-9	2.715898404E-7	4.615593951E-8	-1.271693972E-9	-2.858803194E-10	4.886550609E-10	-4.363678585E-10	-9.438201687E-7	1.219654706E-7	-2.842761759E-8	-7.618150022E-8	-3.261118875E-10	-1.896258040E-9
