Friday_SCM1_July2025.027.txt Sun, Aug 3, 2025 5:29:38 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 min, Elapsed time : 120 s
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 1 mA Final: 1 mA Period: 1 min linear
Wait for 15.0 min, Elapsed time : 900 s
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0001 T
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Set Field 0.75 T at 0.1 T/min
Wait for Field Stable, Target Field 0.7500 T, Current Field 0.7483 T
Set Field 3 T at 0.2 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9982 T
Set Field 18 T at 0.3 T/min
Wait for Field Stable, Target Field 18.0000 T, Current Field 17.9987 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_027	Timestamp_027	Tmc_027	Tcoil_027	B1x1_027	B1y1_027	B1x2_027	B1y2_027	B1x3_027	B1y3_027	T1x1_027	T1y1_027	T1x2_027	T1y2_027	T1x3_027	T1y3_027	T3x1_027	T3y1_027	T3x2_027	T3y2_027	T3x3_027	T3y3_027
0.000000000E+0	2.864401999E-1	6.420130000E-2	5.735280000E-2	3.727836429E-6	6.035425031E-7	3.382093494E-10	6.009074904E-10	3.066753074E-9	-4.067806508E-11	2.794821512E-7	4.626312133E-8	7.482347207E-12	-1.311208253E-9	-1.553241091E-9	-1.263508853E-9	-6.474809311E-7	1.167479411E-7	-9.275992197E-10	1.922508680E-10	-8.160323528E-10	-1.749013823E-9
0.000000000E+0	6.742638000E-1	6.421210000E-2	5.735520000E-2	3.728333013E-6	6.037539038E-7	6.887871939E-10	6.736945446E-10	3.064475340E-9	-1.432010344E-10	2.795885337E-7	4.635278827E-8	3.496557488E-10	-9.913496690E-10	-1.269127359E-9	-9.191626349E-10	-6.475969485E-7	1.168953858E-7	-8.928766060E-10	1.502138136E-10	-6.187205748E-10	-1.601622945E-9
3.300000000E-4	1.124862100E+0	6.422190000E-2	5.734530000E-2	3.728973070E-6	6.039963978E-7	7.686433157E-10	8.436251142E-10	2.914773090E-9	-4.148575372E-10	2.795075034E-7	4.631680639E-8	7.080590003E-10	-6.800919272E-10	-6.842437728E-10	-4.582225988E-10	-6.477743568E-7	1.172002086E-7	-7.150893211E-10	2.503129648E-10	-4.636588613E-10	-1.676796813E-9
1.110000000E-3	1.726172000E+0	6.421740000E-2	5.734590000E-2	3.729267064E-6	6.040695553E-7	6.302344757E-10	8.276845875E-10	2.795495169E-9	-5.085308841E-10	2.795060823E-7	4.593402636E-8	7.604090135E-10	-5.936195424E-10	-8.007374624E-11	-5.613162018E-11	-6.476968792E-7	1.174122986E-7	-6.476720271E-10	2.294313212E-10	-6.658826268E-11	-1.605716227E-9
1.700000000E-3	2.124595800E+0	6.420670000E-2	5.740190000E-2	3.729378704E-6	6.040715448E-7	3.913425972E-10	5.884862042E-10	2.897189821E-9	-2.968724155E-10	2.796690808E-7	4.565490031E-8	4.886490101E-10	-3.165156470E-10	3.346989907E-10	2.042101488E-10	-6.476482213E-7	1.175903748E-7	-5.812338388E-10	1.984375858E-10	2.917089348E-10	-1.570661601E-9
2.030000000E-3	2.526660600E+0	6.419070000E-2	5.736060000E-2	3.729683158E-6	6.040098128E-7	-1.184486953E-10	4.902728223E-10	3.068042931E-9	2.490483098E-10	2.800278196E-7	4.528457254E-8	-9.751616875E-11	4.394830055E-10	7.809878855E-10	6.250214235E-10	-6.475854093E-7	1.180863833E-7	-1.273055134E-10	-1.911011349E-10	7.390671963E-10	-1.287485785E-9
3.860000000E-3	3.324770600E+0	6.416750000E-2	5.732900000E-2	3.730795242E-6	6.035834872E-7	-4.825789213E-10	5.488972610E-10	2.744641403E-9	8.148198782E-10	2.803348593E-7	4.500280681E-8	-4.827613309E-10	1.214856771E-9	1.118622750E-9	1.152706708E-9	-6.476377621E-7	1.180596314E-7	5.033466977E-10	-6.545013975E-10	9.885815500E-10	-8.671015017E-10
4.910000000E-3	3.926274900E+0	6.410570000E-2	5.728160000E-2	3.733438234E-6	6.030726354E-7	-4.256180963E-10	6.282672715E-10	2.117857223E-9	9.626054398E-10	2.804692940E-7	4.507725038E-8	-6.044705292E-10	1.816747974E-9	1.452932441E-9	1.574782638E-9	-6.477393413E-7	1.175825801E-7	1.060850518E-9	-9.890231967E-10	1.393963278E-9	-6.752076120E-10
5.760000000E-3	4.326528800E+0	6.407080000E-2	5.728030000E-2	3.735782911E-6	6.026637038E-7	-5.385962232E-10	6.959849919E-10	1.573476127E-9	9.128923173E-10	2.803415953E-7	4.540875764E-8	-5.352678856E-10	2.086823381E-9	1.660243387E-9	1.671210614E-9	-6.475100918E-7	1.169621626E-7	1.243189884E-9	-1.012041451E-9	1.644138825E-9	-6.405052044E-10
6.540000000E-3	4.726512400E+0	6.402590000E-2	5.721970000E-2	3.738405212E-6	6.021908803E-7	-4.604056580E-10	7.257610624E-10	1.196186594E-9	9.546223811E-10	2.803134294E-7	4.585407964E-8	-2.096202378E-10	2.374213270E-9	1.873232458E-9	1.497281410E-9	-6.470491485E-7	1.163235481E-7	1.346692091E-9	-8.254355532E-10	1.725678156E-9	-6.714888645E-10
