Friday_SCM1_July2025.028.txt Sun, Aug 3, 2025 6:59:59 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 1.7 mA Final: 1.7 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 1.7 mA Final: 1.7 mA Period: 1 min linear
Wait for 20.0 min, Elapsed time : 1200 s
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0001 T
Wait for 10.0 s, Elapsed time : 10 s
Start Trigger 0 at 0.2
Set Field 3 T at 0.3 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9992 T
Set Field 1 T at 0.2 T/min
Wait for Field Stable, Target Field 1.0000 T, Current Field 1.0006 T
Set Field 0 T at 0.1 T/min
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0015 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_028	Timestamp_028	Tmc_028	Tcoil_028	B1x1_028	B1y1_028	B1x2_028	B1y2_028	B1x3_028	B1y3_028	T1x1_028	T1y1_028	T1x2_028	T1y2_028	T1x3_028	T1y3_028	T3x1_028	T3y1_028	T3x2_028	T3y2_028	T3x3_028	T3y3_028
1.891000000E-2	4.547749500E+0	1.098670000E-1	1.065400000E-1	3.827997261E-6	6.408934041E-7	1.028838792E-9	6.287432241E-10	1.109760395E-9	4.285302391E-10	2.810420767E-7	4.826667066E-8	-9.584323335E-10	7.838070193E-10	4.032424394E-10	9.676343060E-10	-6.287222050E-7	1.188262146E-7	-1.726360055E-9	-8.837561794E-10	1.356859625E-9	-3.804624948E-10
1.891000000E-2	4.781035600E+0	1.098440000E-1	1.064700000E-1	3.837385066E-6	6.404500255E-7	1.113964254E-9	4.468126424E-10	1.331828314E-9	1.747793438E-10	2.811420643E-7	4.811487742E-8	-8.921213213E-10	9.227862363E-10	2.152599626E-10	7.985000994E-10	-6.259324437E-7	1.197486910E-7	-1.475168654E-9	-5.467183373E-10	1.773815428E-9	1.290141188E-10
2.317000000E-2	5.268908700E+0	1.098100000E-1	1.065210000E-1	3.862273388E-6	6.394028560E-7	1.066150945E-9	4.482580973E-10	1.669058225E-9	-2.142141325E-10	2.810843114E-7	4.777099605E-8	-8.305027777E-10	1.211484579E-9	-1.903448649E-10	5.431672334E-10	-6.217645705E-7	1.205600455E-7	-1.594767873E-9	9.199154632E-11	1.968506025E-9	7.936852842E-10
2.644000000E-2	5.869774400E+0	1.097570000E-1	1.064970000E-1	3.898848718E-6	6.380495847E-7	8.600773427E-10	3.456137598E-10	1.669884342E-9	-2.972772306E-10	2.810120918E-7	4.739199255E-8	-9.569163240E-10	1.474257716E-9	-2.048425179E-10	4.736787629E-10	-6.145633051E-7	1.210112828E-7	-1.900288371E-9	8.680349217E-10	1.833368013E-9	1.098791724E-9
2.847000000E-2	6.268349000E+0	1.097240000E-1	1.064180000E-1	3.927809303E-6	6.372293910E-7	7.159356996E-10	1.551589412E-10	1.455233600E-9	-1.955862278E-10	2.810187709E-7	4.703814227E-8	-1.139763062E-9	1.625323542E-9	-1.224981228E-10	3.504917467E-10	-6.087654469E-7	1.210632235E-7	-2.052368053E-9	1.373033687E-9	1.641582648E-9	1.108001912E-9
3.076000000E-2	6.668080200E+0	1.097320000E-1	1.064840000E-1	3.962388291E-6	6.362876093E-7	4.118979879E-10	5.859045887E-11	1.114355497E-9	-1.256070942E-10	2.811729303E-7	4.649047014E-8	-1.182041354E-9	1.758050150E-9	8.127792189E-11	1.443073022E-10	-6.010892548E-7	1.210060674E-7	-2.016731671E-9	1.813667438E-9	1.198486088E-9	1.155562535E-9
3.259000000E-2	7.067938100E+0	1.097690000E-1	1.064020000E-1	4.004106813E-6	6.350839499E-7	1.238101982E-10	-3.086202405E-10	7.740423857E-10	-6.841601591E-11	2.814951756E-7	4.593173486E-8	-9.010307500E-10	1.901016455E-9	3.130491144E-10	-8.906961280E-11	-5.922403830E-7	1.206538656E-7	-1.736994992E-9	2.036124380E-9	4.567708711E-10	1.061527533E-9
3.573000000E-2	7.669115900E+0	1.097560000E-1	1.064390000E-1	4.074182925E-6	6.330593010E-7	1.829482815E-10	-5.112030799E-10	5.169552564E-10	1.190285370E-10	2.821610394E-7	4.544432741E-8	-3.679335725E-10	1.879061351E-9	9.031725368E-11	-6.559552901E-10	-5.766937647E-7	1.199215092E-7	-1.356785351E-9	2.156715917E-9	-4.306147106E-10	9.072790852E-10
3.880000000E-2	8.268813700E+0	1.097320000E-1	1.064800000E-1	4.160540357E-6	6.307030276E-7	4.638721907E-10	-5.959948646E-10	3.757631428E-10	5.594219532E-10	2.830772701E-7	4.493731609E-8	-3.341259561E-11	1.496803792E-9	-4.439618118E-10	-1.087813950E-9	-5.584552127E-7	1.190899752E-7	-1.222524304E-9	2.110520425E-9	-9.290510028E-10	8.799431739E-10
4.181000000E-2	8.869090700E+0	1.097270000E-1	1.065370000E-1	4.270650152E-6	6.270134349E-7	6.722138957E-10	-3.555594430E-10	1.248668530E-11	1.095654123E-9	2.842241713E-7	4.428256872E-8	-1.442631431E-10	1.064368149E-9	-8.905356452E-10	-1.202576594E-9	-5.375790693E-7	1.184068950E-7	-1.046028819E-9	1.717732401E-9	-1.080484147E-9	6.643421369E-10
