Friday_SCM1_July2025.029.txt Sun, Aug 3, 2025 8:34:11 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 3.6 mA Final: 3.6 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 3.6 mA Final: 3.6 mA Period: 1 min linear
Wait for 25.0 min, Elapsed time : 1500 s
Wait for Field Stable, Target Field 0.0000 T, Current Field -0.0001 T
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Set Field 0.75 T at 0.1 T/min
Wait for Field Stable, Target Field 0.7500 T, Current Field 0.7486 T
Set Field 3 T at 0.2 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9981 T
Set Field 18 T at 0.3 T/min
Wait for Field Stable, Target Field 18.0000 T, Current Field 17.9986 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_029	Timestamp_029	Tmc_029	Tcoil_029	B1x1_029	B1y1_029	B1x2_029	B1y2_029	B1x3_029	B1y3_029	T1x1_029	T1y1_029	T1x2_029	T1y2_029	T1x3_029	T1y3_029	T3x1_029	T3y1_029	T3x2_029	T3y2_029	T3x3_029	T3y3_029
0.000000000E+0	2.474678000E-1	2.893100000E-1	2.752530000E-1	3.572436526E-6	6.486823167E-7	2.089155071E-9	5.578086881E-10	1.148325671E-10	3.352141342E-10	2.789143423E-7	4.657650621E-8	-8.084589664E-10	-1.838428520E-9	5.107260725E-10	-5.624673990E-11	-6.943007520E-7	1.184157128E-7	3.142628657E-10	-2.548604661E-10	2.854833037E-10	-1.020163176E-9
-7.000000000E-5	6.325271002E-1	2.892510000E-1	2.755460000E-1	3.572403784E-6	6.488957638E-7	2.369711094E-9	5.255917923E-10	5.316321341E-11	5.835512629E-10	2.790782503E-7	4.663663233E-8	-9.417502333E-10	-1.572421859E-9	6.395010077E-10	-1.063149985E-10	-6.947572047E-7	1.183443743E-7	5.410905057E-11	-4.130416009E-10	2.493580897E-10	-1.024974994E-9
2.000000000E-4	1.047578100E+0	2.891720000E-1	2.755710000E-1	3.572135256E-6	6.493378351E-7	2.580861080E-9	2.221101775E-10	1.075481718E-10	6.321007606E-10	2.793433680E-7	4.668898512E-8	-1.091344348E-9	-1.230710644E-9	9.906169218E-10	-1.452464954E-10	-6.952056424E-7	1.182776614E-7	-3.831477080E-10	-5.483909438E-10	1.274901018E-10	-8.212994729E-10
2.600000000E-4	1.447659200E+0	2.891420000E-1	2.757900000E-1	3.571796242E-6	6.497471645E-7	3.051191744E-9	-1.540256256E-10	1.020071111E-10	5.731463082E-10	2.796947740E-7	4.657916009E-8	-1.338950284E-9	-8.079503178E-10	1.431404439E-9	-1.723178822E-10	-6.954109608E-7	1.183215588E-7	-6.707148725E-10	-6.289080368E-10	4.934111930E-13	-4.857051983E-10
1.240000000E-3	2.047623900E+0	2.891420000E-1	2.758450000E-1	3.571461321E-6	6.498327707E-7	3.025572459E-9	-6.203308423E-10	1.088689694E-10	6.341038805E-10	2.800894663E-7	4.658243569E-8	-1.599127608E-9	-3.759540457E-10	1.663531424E-9	-8.405693502E-11	-6.955156664E-7	1.185270975E-7	-7.260061996E-10	-6.695556887E-10	-7.871854557E-11	-1.561370824E-11
1.900000000E-3	2.448240900E+0	2.891010000E-1	2.755130000E-1	3.571559091E-6	6.496899232E-7	2.792198694E-9	-8.735580592E-10	1.975642844E-10	6.305176381E-10	2.802771917E-7	4.653284691E-8	-1.652308845E-9	-1.592879995E-10	1.419459994E-9	5.349989202E-11	-6.953231946E-7	1.186440954E-7	-7.385884127E-10	-5.720469653E-10	-1.295386437E-10	3.719870245E-10
3.080000000E-3	3.047707000E+0	2.892150000E-1	2.757110000E-1	3.572410833E-6	6.493220894E-7	2.462077431E-9	-6.147874432E-10	5.846111928E-10	5.453745788E-10	2.805142572E-7	4.629844952E-8	-1.440285447E-9	1.284802542E-10	9.910112730E-10	2.849143699E-10	-6.950264151E-7	1.187397984E-7	-7.039697714E-10	-6.040826173E-10	-7.405821095E-11	4.613490146E-10
4.380000000E-3	3.648201200E+0	2.893390000E-1	2.758900000E-1	3.573793947E-6	6.486465054E-7	2.101078200E-9	-2.208001559E-10	1.062323563E-9	4.925955199E-10	2.811699744E-7	4.615069216E-8	-1.018605311E-9	4.865220449E-10	5.440628503E-10	4.199803838E-10	-6.946688131E-7	1.189874226E-7	-5.956761195E-10	-8.598318724E-10	4.494815978E-11	6.006862230E-10
5.040000000E-3	4.047608100E+0	2.893750000E-1	2.758310000E-1	3.575137498E-6	6.482096069E-7	2.034310276E-9	-2.532853649E-10	1.300979657E-9	6.318727763E-10	2.816491076E-7	4.610182458E-8	-6.805044861E-10	6.504698446E-10	4.037248313E-10	5.234525591E-10	-6.944604820E-7	1.191930465E-7	-5.054912600E-10	-1.018436668E-9	2.647149444E-10	6.953729259E-10
5.760000000E-3	4.448737300E+0	2.894540000E-1	2.756750000E-1	3.576996278E-6	6.479379522E-7	2.063868854E-9	-1.583290027E-10	1.270977989E-9	8.548327601E-10	2.819941756E-7	4.609221449E-8	-5.938849412E-10	8.311734634E-10	5.705992345E-10	7.973232075E-10	-6.942822210E-7	1.193929222E-7	-4.747598981E-10	-1.206560740E-9	7.074108521E-10	4.943813692E-10
6.940000000E-3	5.048057200E+0	2.895690000E-1	2.760770000E-1	3.579937811E-6	6.477259831E-7	1.973894825E-9	3.501007817E-11	9.882786811E-10	9.075102891E-10	2.821118414E-7	4.641883677E-8	-9.167681614E-10	6.143242581E-10	9.467753248E-10	1.454776188E-9	-6.937465287E-7	1.195332970E-7	-4.665389186E-10	-1.254422122E-9	1.009742290E-9	-2.490641582E-10
7.920000000E-3	5.647674200E+0	2.898410000E-1	2.760390000E-1	3.583392754E-6	6.478195473E-7	2.021675938E-9	5.549750659E-10	8.423343689E-10	9.145431079E-10	2.819327847E-7	4.693855260E-8	-8.694210352E-10	4.497199835E-11	1.227612900E-9	2.013066158E-9	-6.930656582E-7	1.198005464E-7	-7.110838585E-10	-1.328782417E-9	1.131164384E-9	-8.594582268E-10
9.160000000E-3	6.249018500E+0	2.897170000E-1	2.761860000E-1	3.588094387E-6	6.479010040E-7	2.133008215E-9	1.121350457E-9	8.929538775E-10	1.130423755E-9	2.814238940E-7	4.745749393E-8	-6.992473267E-10	-2.426823464E-10	9.955254399E-10	2.192992454E-9	-6.924370837E-7	1.203391093E-7	-8.291666242E-10	-1.518187354E-9	1.169988328E-9	-1.104431990E-9
1.014000000E-2	6.848052600E+0	2.894460000E-1	2.755410000E-1	3.592611165E-6	6.478448995E-7	1.756485179E-9	1.350725531E-9	9.599915307E-10	1.383690718E-9	2.811950992E-7	4.767408512E-8	-4.471524262E-10	-1.538533745E-10	3.040994123E-10	2.000143162E-9	-6.918249937E-7	1.206966118E-7	-9.523279942E-10	-1.763874047E-9	1.101351566E-9	-8.762048309E-10
1.093000000E-2	7.248871700E+0	2.894300000E-1	2.751980000E-1	3.596118631E-6	6.477370107E-7	1.472743483E-9	1.211743372E-9	1.140772698E-9	1.547409978E-9	2.813100934E-7	4.750038229E-8	-1.774583952E-10	-2.467678006E-10	-3.065873389E-10	1.683681195E-9	-6.914657433E-7	1.208400420E-7	-8.609838953E-10	-1.857230148E-9	1.046122966E-9	-6.291723253E-10
1.158000000E-2	7.648798200E+0	2.892740000E-1	2.754190000E-1	3.600198625E-6	6.478497312E-7	1.207687172E-9	1.301249442E-9	1.446361364E-9	1.727357479E-9	2.814875017E-7	4.700020995E-8	3.867544340E-10	-2.266444671E-10	-9.826283120E-10	1.376273540E-9	-6.909521630E-7	1.209533593E-7	-6.823798193E-10	-1.793666882E-9	9.564804504E-10	-5.803044156E-10
1.211000000E-2	8.047614600E+0	2.891620000E-1	2.748910000E-1	3.604218364E-6	6.479315857E-7	8.607829449E-10	1.160162633E-9	1.632565971E-9	1.998847754E-9	2.814923903E-7	4.645028540E-8	7.757336440E-10	-1.117204107E-10	-1.445829345E-9	1.108492076E-9	-6.904391512E-7	1.210935210E-7	-3.848491248E-10	-1.526839655E-9	6.803873576E-10	-5.284778171E-10
1.322000000E-2	8.648394800E+0	2.889420000E-1	2.750070000E-1	3.610156682E-6	6.476358294E-7	6.768839378E-10	1.130903593E-9	1.615666601E-9	2.115656317E-9	2.814231266E-7	4.582310353E-8	7.833895754E-10	-2.065231493E-11	-1.441497810E-9	9.254999545E-10	-6.897568596E-7	1.213015395E-7	-8.146971813E-12	-9.080373675E-10	1.582882297E-10	-3.613285227E-10
1.394000000E-2	9.048081400E+0	2.890100000E-1	2.749070000E-1	3.614395155E-6	6.473562735E-7	4.271922260E-10	1.094021318E-9	1.463236976E-9	2.043644587E-9	2.813161473E-7	4.529218245E-8	4.525926578E-10	-2.988347764E-11	-1.177811293E-9	8.434157261E-10	-6.891752378E-7	1.212651313E-7	2.148809603E-10	-6.214365689E-10	-1.594592236E-10	-5.081061127E-10
1.446000000E-2	9.451909900E+0	2.890650000E-1	2.747790000E-1	3.619831205E-6	6.470955896E-7	3.516865410E-10	7.589394668E-10	1.273368300E-9	1.977640052E-9	2.811954403E-7	4.475986870E-8	-5.287910040E-11	-1.002204708E-10	-7.745683539E-10	7.344396757E-10	-6.883907417E-7	1.210589318E-7	3.953533612E-10	-3.346041222E-10	-5.362115751E-10	-8.670913432E-10
1.551000000E-2	1.004896490E+1	2.891820000E-1	2.750510000E-1	3.626375928E-6	6.468709444E-7	1.469177419E-10	7.507325872E-10	1.163643404E-9	1.935474225E-9	2.812040520E-7	4.415658239E-8	-5.509842027E-10	9.142926694E-11	-4.314774094E-10	4.851083979E-10	-6.877983196E-7	1.209423033E-7	5.224661814E-10	-3.055135311E-10	-9.422284064E-10	-1.304927055E-9
1.629000000E-2	1.044751230E+1	2.891590000E-1	2.756380000E-1	3.630879974E-6	6.468350193E-7	-7.351411146E-11	5.581461959E-10	1.157197671E-9	2.084122874E-9	2.811146942E-7	4.387996455E-8	-6.986333179E-10	1.478983186E-10	-2.492617779E-10	2.458756532E-10	-6.874199698E-7	1.209300109E-7	4.325300673E-10	-9.586025723E-11	-1.077864686E-9	-1.505941261E-9
1.721000000E-2	1.104760110E+1	2.892280000E-1	2.755580000E-1	3.637790087E-6	6.470202720E-7	3.921597075E-11	3.177079988E-10	1.179417564E-9	2.070118521E-9	2.807928183E-7	4.368217787E-8	-5.195817110E-10	1.402601507E-10	-2.114677600E-10	7.750307340E-11	-6.867243201E-7	1.212066678E-7	-1.398618461E-11	2.552764389E-10	-1.081222112E-9	-1.351257328E-9
