Friday_SCM1_July2025.031.txt Sun, Aug 3, 2025 11:48:48 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 5.3 mA Final: 5.3 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 5.3 mA Final: 5.3 mA Period: 1 min linear
Wait for 35.0 min, Elapsed time : 2100 s
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0000 T
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Set Field 0.75 T at 0.1 T/min
Wait for Field Stable, Target Field 0.7500 T, Current Field 0.7481 T
Set Field 3 T at 0.2 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9982 T
Set Field 18 T at 0.3 T/min
Wait for Field Stable, Target Field 18.0000 T, Current Field 17.9997 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_031	Timestamp_031	Tmc_031	Tcoil_031	B1x1_031	B1y1_031	B1x2_031	B1y2_031	B1x3_031	B1y3_031	T1x1_031	T1y1_031	T1x2_031	T1y2_031	T1x3_031	T1y3_031	T3x1_031	T3y1_031	T3x2_031	T3y2_031	T3x3_031	T3y3_031
0.000000000E+0	3.412850001E-1	8.515050000E-1	9.225050000E-1	2.553046215E-6	6.682925573E-7	-6.674829578E-10	-3.118199476E-9	1.450563447E-9	-1.344340639E-9	2.750269061E-7	4.735278836E-8	1.552950990E-9	5.545867099E-10	-1.071999711E-9	2.514777719E-9	-8.862897403E-7	1.205767717E-7	1.077586242E-9	-7.884064512E-10	-1.582250664E-9	-8.902989457E-10
7.000000000E-5	7.214388999E-1	8.514950000E-1	9.215290000E-1	2.553339527E-6	6.683993092E-7	-7.462964691E-10	-3.017389227E-9	1.494844137E-9	-1.328514521E-9	2.750923329E-7	4.745685089E-8	1.566735741E-9	6.700399124E-10	-1.104384917E-9	2.703978374E-9	-8.861030665E-7	1.209235307E-7	8.129456552E-10	-3.748411859E-10	-1.779568270E-9	-7.519321832E-10
6.500000000E-4	1.310965500E+0	8.513470000E-1	9.222490000E-1	2.553912282E-6	6.682575986E-7	-8.891000713E-10	-2.425774914E-9	1.654920645E-9	-1.160011420E-9	2.753265278E-7	4.777735185E-8	1.478043465E-9	7.171147565E-10	-1.326557531E-9	2.712372771E-9	-8.864156484E-7	1.215272647E-7	5.211975296E-10	-2.507425378E-10	-2.230059693E-9	-6.284875953E-10
1.110000000E-3	1.711469900E+0	8.516290000E-1	9.181870000E-1	2.554307002E-6	6.680285196E-7	-8.596167112E-10	-1.969143737E-9	1.790868787E-9	-1.004769601E-9	2.756048900E-7	4.789544406E-8	1.337061240E-9	7.178921346E-10	-1.613101874E-9	2.477736016E-9	-8.868672126E-7	1.218952974E-7	2.569411073E-10	-2.798841992E-10	-2.452163361E-9	-3.572066809E-10
1.770000000E-3	2.110684000E+0	8.509580000E-1	9.203670000E-1	2.554527782E-6	6.678653222E-7	-7.570934435E-10	-1.375121239E-9	2.010174915E-9	-8.034276022E-10	2.758238225E-7	4.797074382E-8	1.143366291E-9	7.593643492E-10	-1.709132724E-9	2.208538685E-9	-8.870831039E-7	1.222988857E-7	-2.963544687E-11	-1.637196767E-10	-2.454246362E-9	-3.118590108E-11
2.620000000E-3	2.511568600E+0	8.510380000E-1	9.200500000E-1	2.554569846E-6	6.679100579E-7	-7.657229295E-10	-9.749024921E-10	2.209574967E-9	-6.543152686E-10	2.759958875E-7	4.781894347E-8	9.817963109E-10	8.030405230E-10	-1.710112829E-9	1.864972177E-9	-8.870679267E-7	1.226461563E-7	-2.756517792E-10	5.889346649E-11	-2.204038285E-9	2.413861055E-10
3.140000000E-3	2.910846000E+0	8.513970000E-1	9.203970000E-1	2.554508683E-6	6.681419791E-7	-7.333069707E-10	-4.872750536E-10	2.378208519E-9	-5.138487413E-10	2.762702707E-7	4.742347670E-8	9.619622876E-10	9.337713935E-10	-1.688765239E-9	1.341190381E-9	-8.871939485E-7	1.226929385E-7	-4.433456102E-10	8.252537542E-11	-1.895946511E-9	4.363383821E-10
4.060000000E-3	3.310785000E+0	8.519070000E-1	9.225410000E-1	2.554265393E-6	6.685640415E-7	-6.623463444E-10	-1.873183830E-10	2.302158686E-9	-3.754983546E-10	2.764830924E-7	4.728308412E-8	8.512391347E-10	9.253591782E-10	-1.518618009E-9	7.059826057E-10	-8.875668414E-7	1.224432538E-7	-6.258521479E-10	-6.048648388E-11	-1.543822070E-9	4.572449364E-10
5.170000000E-3	3.912388600E+0	8.520010000E-1	9.232110000E-1	2.553762442E-6	6.691092835E-7	-5.562280081E-10	-1.829424806E-10	2.105496222E-9	-1.302020575E-10	2.766865350E-7	4.751594673E-8	5.207909104E-10	7.817044789E-10	-1.341504796E-9	-1.417105409E-11	-8.881430063E-7	1.217031240E-7	-7.535649327E-10	-4.550116950E-10	-1.082081536E-9	7.617934755E-11
6.350000000E-3	4.511952700E+0	8.520550000E-1	9.208300000E-1	2.553591685E-6	6.696729997E-7	-3.140183946E-10	-6.542816844E-10	1.881224954E-9	8.267432572E-11	2.767949354E-7	4.785243135E-8	3.348882560E-10	9.590301886E-10	-1.265636040E-9	-9.369495180E-10	-8.886835872E-7	1.206548888E-7	-8.678190944E-10	-7.821627790E-10	-6.025064891E-10	-3.533812687E-10
