Friday_SCM1_July2025.032.txt Sun, Aug 3, 2025 1:19:09 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 4.6 mA Final: 4.6 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 4.6 mA Final: 4.6 mA Period: 1 min linear
Wait for 30.0 min, Elapsed time : 1800 s
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0013 T
Wait for 10.0 s, Elapsed time : 10 s
Set Field 18 T at 0.3 T/min
Start Trigger 0 at 0.2
Set Field 3 T at 0.3 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9998 T
Set Field 1 T at 0.2 T/min
Wait for Field Stable, Target Field 1.0000 T, Current Field 1.0015 T
Set Field 0 T at 0.1 T/min
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0018 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_032	Timestamp_032	Tmc_032	Tcoil_032	B1x1_032	B1y1_032	B1x2_032	B1y2_032	B1x3_032	B1y3_032	T1x1_032	T1y1_032	T1x2_032	T1y2_032	T1x3_032	T1y3_032	T3x1_032	T3y1_032	T3x2_032	T3y2_032	T3x3_032	T3y3_032
1.145000000E-2	3.763901000E-1	6.492290000E-1	6.946420000E-1	2.770916808E-6	6.641757864E-7	-1.968227664E-10	-6.883253412E-10	1.692398333E-9	8.338586488E-10	2.724661101E-7	4.732153158E-8	-1.264604310E-9	-8.936493906E-11	5.135404879E-10	-1.024851537E-9	-8.544252523E-7	1.211743239E-7	-6.986240475E-10	3.653461145E-10	-2.431257640E-9	-9.696610181E-10
1.433000000E-2	7.366934000E-1	6.498420000E-1	6.955660000E-1	2.770854735E-6	6.638193781E-7	-1.516811954E-10	-7.082934239E-10	1.616603296E-9	7.738419905E-10	2.717746099E-7	4.754747707E-8	-1.200962885E-9	-7.189329132E-10	3.824892902E-10	-1.058206856E-9	-8.540253589E-7	1.210769085E-7	-5.649170021E-10	5.913501355E-10	-1.887578094E-9	-9.083142016E-10
1.688000000E-2	1.195675000E+0	6.501480000E-1	6.952810000E-1	2.771286063E-6	6.633616749E-7	1.007737557E-11	-6.440814548E-10	1.372538749E-9	1.011294048E-9	2.708527518E-7	4.802108222E-8	-7.169699834E-10	-1.892124901E-9	1.563139722E-11	-1.068824362E-9	-8.539639111E-7	1.210521532E-7	-1.652637749E-10	6.055201340E-10	-1.308703923E-9	-1.245049730E-9
2.035000000E-2	1.796265200E+0	6.503420000E-1	6.930150000E-1	2.772051857E-6	6.629609288E-7	3.643776669E-10	-4.802988562E-10	1.055842191E-9	1.249277681E-9	2.704499593E-7	4.823213473E-8	-2.577285885E-10	-2.450331271E-9	-2.124254383E-10	-8.550831154E-10	-8.538494285E-7	1.211068224E-7	2.250184344E-10	4.798189623E-10	-1.184536025E-9	-1.665452443E-9
2.212000000E-2	2.196283900E+0	6.503700000E-1	6.945990000E-1	2.773095275E-6	6.622898923E-7	3.405410953E-10	-3.391502912E-10	5.303218975E-10	1.336941446E-9	2.702779796E-7	4.815248289E-8	2.938926602E-10	-2.912681207E-9	-5.686685012E-10	-5.511156531E-10	-8.534341305E-7	1.211566456E-7	7.534881608E-10	1.575503894E-10	-1.230898272E-9	-2.191384185E-9
2.565000000E-2	2.796359600E+0	6.500910000E-1	6.939440000E-1	2.773838332E-6	6.617748340E-7	-1.145715398E-10	-1.297643520E-10	-5.941194065E-11	1.305684893E-9	2.704009034E-7	4.802524955E-8	6.040407618E-10	-2.955832468E-9	-8.147846842E-10	-2.514569941E-10	-8.527341038E-7	1.210518690E-7	9.562649561E-10	-2.016768974E-10	-1.117289816E-9	-2.641294738E-9
2.735000000E-2	3.194849500E+0	6.501720000E-1	6.925970000E-1	2.774426775E-6	6.615604775E-7	-4.042776114E-10	9.837902021E-11	-4.710921653E-10	1.264479965E-9	2.705537270E-7	4.788294206E-8	6.644639838E-10	-2.741194605E-9	-8.710236976E-10	-7.081623482E-11	-8.521694212E-7	1.208456268E-7	8.970735821E-10	-6.632580596E-10	-7.308357253E-10	-2.887898587E-9
2.991000000E-2	3.594523000E+0	6.498720000E-1	6.938020000E-1	2.774925861E-6	6.616717201E-7	-5.192755115E-10	3.757630041E-10	-4.954355259E-10	1.293138596E-9	2.707739100E-7	4.795746733E-8	5.399474756E-10	-2.536008514E-9	-9.161567060E-10	1.369511032E-10	-8.514809338E-7	1.205640103E-7	6.752881587E-10	-1.095422086E-9	-3.602714516E-10	-2.933717047E-9
3.220000000E-2	3.995906800E+0	6.492670000E-1	6.924470000E-1	2.775361736E-6	6.619935107E-7	-5.468056008E-10	5.475384035E-10	-2.294665985E-10	1.396365468E-9	2.708414115E-7	4.806529219E-8	3.047844199E-10	-2.328247595E-9	-9.327960626E-10	3.545506388E-10	-8.509046552E-7	1.202549527E-7	4.984391788E-10	-1.345460077E-9	-1.961300150E-10	-2.825436551E-9
3.370000000E-2	4.395241700E+0	6.487440000E-1	6.919260000E-1	2.775834446E-6	6.625330116E-7	-2.704338975E-10	8.399511087E-10	2.732406801E-10	1.571774377E-9	2.708538034E-7	4.803143128E-8	1.568827984E-10	-2.253384590E-9	-7.949186309E-10	5.481293752E-10	-8.502979085E-7	1.200791502E-7	4.643165019E-10	-1.498143276E-9	-9.817752167E-11	-2.391042697E-9
