Friday_SCM1_July2025.033.txt Sun, Aug 3, 2025 2:53:21 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 2.8 mA Final: 2.8 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 2.8 mA Final: 2.8 mA Period: 1 min linear
Wait for 25.0 min, Elapsed time : 1500 s
Wait for Field Stable, Target Field 0.0000 T, Current Field -0.0001 T
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Set Field 0.75 T at 0.1 T/min
Wait for Field Stable, Target Field 0.7500 T, Current Field 0.7485 T
Set Field 3 T at 0.2 T/min
Wait for Field Stable, Target Field 3.0000 T, Current Field 2.9986 T
Set Field 18 T at 0.3 T/min
Wait for Field Stable, Target Field 18.0000 T, Current Field 18.0003 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_033	Timestamp_033	Tmc_033	Tcoil_033	B1x1_033	B1y1_033	B1x2_033	B1y2_033	B1x3_033	B1y3_033	T1x1_033	T1y1_033	T1x2_033	T1y2_033	T1x3_033	T1y3_033	T3x1_033	T3y1_033	T3x2_033	T3y2_033	T3x3_033	T3y3_033
0.000000000E+0	2.452079998E-1	2.500220000E-1	2.414160000E-1	3.660093398E-6	6.477126817E-7	1.012156248E-9	3.812212490E-10	1.437210462E-9	6.267143471E-10	2.740572427E-7	4.743004922E-8	1.819090434E-10	-1.402501670E-9	-1.731820243E-11	-2.242766389E-10	-6.743704830E-7	1.204147537E-7	1.039414332E-9	-1.002418259E-9	8.144508401E-10	6.641411310E-10
7.000000000E-5	6.945177999E-1	2.499870000E-1	2.414960000E-1	3.660052244E-6	6.475629562E-7	8.175830013E-10	9.839290494E-11	1.379734549E-9	2.910436614E-10	2.741497269E-7	4.739195347E-8	7.148335309E-12	-1.498937530E-9	-1.951676321E-10	-4.472437143E-10	-6.742467917E-7	1.205830529E-7	1.101693292E-9	-9.441195603E-10	8.296925924E-10	5.482601595E-10
2.000000000E-4	1.235360000E+0	2.498530000E-1	2.414120000E-1	3.659747108E-6	6.474253382E-7	3.027063877E-10	-2.880904682E-10	1.314725995E-9	-1.834082330E-10	2.743882988E-7	4.735298731E-8	-4.105117080E-10	-1.345340506E-9	-4.343521376E-10	-9.147475555E-10	-6.737431022E-7	1.206965123E-7	1.027219088E-9	-1.213438017E-9	7.240891220E-10	5.670844350E-10
6.500000000E-4	1.636066100E+0	2.498200000E-1	2.413100000E-1	3.659504046E-6	6.472533300E-7	6.120861457E-11	-6.296193566E-10	1.262805305E-9	-4.704225898E-10	2.743865366E-7	4.723832347E-8	-8.801112061E-10	-1.072332001E-9	-4.542894394E-10	-1.048174325E-9	-6.732653901E-7	1.209185569E-7	1.017589901E-9	-1.530023330E-9	7.871973073E-10	6.078297865E-10
1.510000000E-3	2.234860300E+0	2.498150000E-1	2.412080000E-1	3.659479717E-6	6.468242759E-7	3.873835280E-11	-1.146329698E-9	1.267701277E-9	-8.021424081E-10	2.744466485E-7	4.692988753E-8	-1.318115728E-9	-8.137052143E-10	-3.379712343E-10	-6.632743799E-10	-6.731059443E-7	1.213080907E-7	9.685691138E-10	-1.707377795E-9	6.918808859E-10	5.002014358E-10
2.550000000E-3	2.835505500E+0	2.497980000E-1	2.410020000E-1	3.659785307E-6	6.462213946E-7	1.463232868E-10	-1.761655155E-9	1.082134160E-9	-8.654481576E-10	2.744500307E-7	4.668060782E-8	-1.442956532E-9	-6.798696051E-10	7.920206851E-11	-3.147093142E-10	-6.735014040E-7	1.211073055E-7	1.037766317E-9	-1.853489362E-9	5.008462534E-10	3.628894962E-10
3.600000000E-3	3.434712200E+0	2.498140000E-1	2.411960000E-1	3.660694347E-6	6.457671589E-7	4.206220927E-10	-2.062785498E-9	6.584570111E-10	-8.292254106E-10	2.742763456E-7	4.673658793E-8	-1.078098388E-9	-6.381937201E-10	6.104621253E-10	-5.586921203E-11	-6.739967944E-7	1.206939828E-7	8.852221178E-10	-2.221879569E-9	6.391277091E-11	2.639789776E-10
4.450000000E-3	3.834813800E+0	2.498000000E-1	2.410560000E-1	3.661872370E-6	6.453917081E-7	6.547564157E-10	-1.982382702E-9	3.638465085E-10	-7.740197927E-10	2.742757488E-7	4.698606304E-8	-6.010241749E-10	-6.646365125E-10	8.609112312E-10	1.693380020E-10	-6.741519769E-7	1.205286253E-7	7.415362768E-10	-2.589798376E-9	-5.094920596E-10	2.421215450E-10
5.240000000E-3	4.235981200E+0	2.498680000E-1	2.409950000E-1	3.663608823E-6	6.449548664E-7	7.658007561E-10	-1.762869184E-9	5.266320019E-11	-6.363755078E-10	2.743644245E-7	4.727072422E-8	-2.150643413E-10	-6.738650748E-10	9.537874934E-10	3.184793818E-10	-6.742467917E-7	1.204684139E-7	6.586312606E-10	-2.891229256E-9	-9.934992828E-10	2.719763026E-10
6.020000000E-3	4.634815800E+0	2.499650000E-1	2.410250000E-1	3.666063776E-6	6.445736176E-7	7.452216066E-10	-1.416959994E-9	-3.209583988E-10	-4.963177647E-10	2.744673964E-7	4.778077312E-8	-1.174862430E-10	-6.413128362E-10	1.014934026E-9	4.849062818E-10	-6.744754160E-7	1.205740858E-7	8.274808616E-10	-3.229987833E-9	-1.582534437E-9	3.713807317E-10
