Friday_SCM1_July2025.035.txt Sun, Aug 3, 2025 6:17:17 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
----------    T sweep at zero field at different frequencies  
Set Field 0.08 T at 0.3 T/min
Wait for 5.0 min, Elapsed time : 300 s
Set SR830 ( GPIB0::1::INSTR ) 313 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 47 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 991 Hz(Frequency)
Wait for Field Stable, Target Field 0.0800 T, Current Field 0.0800 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_035	Timestamp_035	Tmc_035	Tcoil_035	B1x1_035	B1y1_035	B1x2_035	B1y2_035	B1x3_035	B1y3_035	T1x1_035	T1y1_035	T1x2_035	T1y2_035	T1x3_035	T1y3_035	T3x1_035	T3y1_035	T3x2_035	T3y2_035	T3x3_035	T3y3_035
7.997000000E-2	4.382414999E-1	1.991090000E-2	2.312340000E-2	9.390265063E-7	6.285638676E-8	-7.617206310E-10	2.776563146E-10	4.229959716E-10	6.085872917E-10	2.157382184E-8	-8.442773591E-9	3.082585076E-9	7.873619534E-10	-2.561809931E-10	8.300827803E-10	-2.855206048E-6	3.909288353E-6	4.637893625E-9	-1.441226249E-9	-8.917567795E-10	1.220308521E-9
7.997000000E-2	1.050736600E+0	1.991080000E-2	2.313360000E-2	9.390229252E-7	6.337027258E-8	-9.673106760E-10	4.755209768E-11	8.299251286E-10	7.422976678E-10	2.167280755E-8	-8.697463194E-9	2.305697411E-9	8.351165315E-10	-4.385105057E-10	-1.199586819E-10	-2.855663752E-6	3.909475709E-6	4.539459475E-9	-1.220120560E-9	-9.162807180E-10	1.545680695E-9
7.997000000E-2	1.565670100E+0	1.991090000E-2	2.311920000E-2	9.390774380E-7	6.398174435E-8	-9.708438498E-10	-2.242201980E-10	1.212003942E-9	7.024796300E-10	2.196392934E-8	-8.769387883E-9	1.510285008E-9	8.088909542E-10	-5.481521348E-10	-7.775952660E-10	-2.856377932E-6	3.909432507E-6	4.426353062E-9	-1.810928185E-9	-1.121114868E-9	1.602931343E-9
8.003000000E-2	1.966128900E+0	1.991070000E-2	2.310970000E-2	9.390604419E-7	6.436355449E-8	-9.581774263E-10	-5.189274010E-10	1.167489105E-9	5.227411837E-10	2.230941121E-8	-8.947460550E-9	9.393164024E-10	5.886579002E-10	-5.698134742E-10	-1.149293549E-9	-2.856595529E-6	3.909381121E-6	3.686186689E-9	-1.402779004E-9	-1.339801714E-9	1.530532256E-9
7.997000000E-2	2.367260300E+0	1.991080000E-2	2.310720000E-2	9.390979017E-7	6.453462475E-8	-8.070219493E-10	-7.357208176E-10	9.509766308E-10	2.160372159E-10	2.268902755E-8	-9.180774363E-9	7.989937045E-10	2.629713392E-10	-4.298068845E-10	-1.228793622E-9	-2.856206265E-6	3.909443421E-6	2.688153922E-9	-2.093019313E-9	-1.445454201E-9	1.319143239E-9
8.003000000E-2	2.766139200E+0	1.991100000E-2	2.308780000E-2	9.391707181E-7	6.455749002E-8	-4.772413575E-10	-7.766428056E-10	6.864280255E-10	-4.105879248E-10	2.319024084E-8	-9.418089419E-9	7.898245391E-10	-1.147463166E-10	-1.762055502E-10	-1.059099586E-9	-2.855373623E-6	3.909825864E-6	1.809460359E-9	-1.316852849E-9	-1.467359234E-9	8.741480872E-10
7.990000000E-2	3.166236900E+0	1.991120000E-2	2.307930000E-2	9.393276059E-7	6.432853894E-8	-1.392355120E-10	-7.664749391E-10	6.411222664E-10	-1.047711584E-9	2.344270911E-8	-9.240238796E-9	9.586151872E-10	-3.356495359E-10	2.934684162E-10	-6.520640139E-10	-2.854564627E-6	3.910578471E-6	6.901514360E-10	-1.631934032E-9	-1.549547490E-9	3.346140587E-10
7.997000000E-2	3.567175600E+0	1.991120000E-2	2.305510000E-2	9.393355640E-7	6.418487430E-8	5.507962142E-11	-7.746751574E-10	7.560764792E-10	-1.329906851E-9	2.360662066E-8	-8.860616241E-9	1.069442757E-9	-4.773901274E-10	8.041535216E-10	-1.822381829E-10	-2.854019385E-6	3.911673502E-6	6.711917133E-10	-1.628183366E-9	-2.034013402E-9	1.160988458E-10
8.003000000E-2	4.166285900E+0	1.991140000E-2	2.303780000E-2	9.391661706E-7	6.413632292E-8	3.044694774E-10	-9.078649499E-10	1.204220057E-9	-1.625947932E-9	2.364039631E-8	-8.662891737E-9	1.177524411E-9	-7.040129035E-10	1.182322351E-9	5.233471434E-10	-2.854316790E-6	3.912454758E-6	1.482629297E-10	-1.207912881E-9	-2.489645823E-9	1.066574329E-10
8.003000000E-2	4.567260700E+0	1.991140000E-2	2.302670000E-2	9.391729918E-7	6.405630160E-8	2.346604855E-10	-1.078173550E-9	1.396343041E-9	-1.793597715E-9	2.355471196E-8	-8.842094168E-9	1.153582341E-9	-9.627084685E-10	1.110604053E-9	9.750162899E-10	-2.854790864E-6	3.912793090E-6	6.576252876E-10	-1.309757858E-9	-2.696364465E-9	-1.357626234E-10
