Friday_SCM1_July2025.037.txt Sun, Aug 3, 2025 8:19:31 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 719 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 200 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 137 Hz(Frequency)
Wait for Field Stable, Target Field 0.0800 T, Current Field 0.0800 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_037	Timestamp_037	Tmc_037	Tcoil_037	B1x1_037	B1y1_037	B1x2_037	B1y2_037	B1x3_037	B1y3_037	T1x1_037	T1y1_037	T1x2_037	T1y2_037	T1x3_037	T1y3_037	T3x1_037	T3y1_037	T3x2_037	T3y2_037	T3x3_037	T3y3_037
7.997000000E-2	4.194179999E-1	2.348830000E-2	3.469600000E-2	2.449379053E-6	3.508988584E-7	1.195591071E-9	-1.478593359E-9	1.487181600E-9	2.502811958E-9	1.678297821E-7	1.914344239E-8	1.900143098E-10	-2.201463144E-11	-3.444655117E-10	-1.897418445E-9	-6.737529930E-7	1.110010572E-7	-8.909492033E-10	1.989680420E-9	-8.570302801E-10	-1.700851904E-9
7.990000000E-2	8.239980999E-1	2.348310000E-2	3.467430000E-2	2.449638032E-6	3.500929893E-7	1.179129350E-9	-1.524503856E-9	1.350381473E-9	2.229941565E-9	1.677349530E-7	1.860135690E-8	-5.902379974E-11	-4.691935729E-10	-4.584631286E-10	-1.620698908E-9	-6.737597005E-7	1.106170728E-7	-8.250952144E-10	1.928476268E-9	-7.145395386E-10	-1.739325683E-9
7.997000000E-2	1.162191700E+0	2.348270000E-2	3.467140000E-2	2.449491376E-6	3.506850419E-7	1.134850658E-9	-1.289113372E-9	1.320727749E-9	2.019632905E-9	1.677192216E-7	1.811958583E-8	-1.902388386E-10	-8.288779663E-10	-4.985472035E-10	-1.270298644E-9	-6.736154887E-7	1.101646916E-7	-6.727635671E-10	1.730986132E-9	-6.700667243E-10	-1.722013199E-9
7.990000000E-2	1.562198300E+0	2.348160000E-2	3.466750000E-2	2.448728310E-6	3.503355401E-7	1.004299754E-9	-1.124000670E-9	1.284420459E-9	1.785776971E-9	1.676735622E-7	1.762277080E-8	-3.253797232E-10	-1.287543627E-9	-4.562887013E-10	-8.410747654E-10	-6.732458360E-7	1.095577176E-7	-5.133792835E-10	1.376545988E-9	-6.330057589E-10	-1.636277891E-9
7.990000000E-2	1.963472500E+0	2.348060000E-2	3.466100000E-2	2.449535714E-6	3.496313354E-7	8.348863823E-10	-9.610573448E-10	1.214591094E-9	1.526020199E-9	1.675334573E-7	1.721684129E-8	-5.063754971E-10	-1.844152497E-9	-3.179544683E-10	-3.591314746E-10	-6.730848554E-7	1.092603128E-7	-4.949805565E-10	1.112910319E-9	-5.105042500E-10	-1.603079114E-9
8.003000000E-2	2.363891800E+0	2.347940000E-2	3.462870000E-2	2.450170996E-6	3.504331971E-7	7.683997327E-10	-7.935727075E-10	9.934992828E-10	1.362890356E-9	1.673929972E-7	1.714097664E-8	-7.834970450E-10	-2.222153794E-9	-1.481656742E-10	7.326715623E-11	-6.731206668E-7	1.092109230E-7	-7.264905899E-10	9.889707942E-10	-3.057486764E-10	-1.503162816E-9
7.997000000E-2	2.762952900E+0	2.347140000E-2	3.465200000E-2	2.449931799E-6	3.501622246E-7	5.411538440E-10	-6.704951039E-10	6.052725543E-10	1.232169811E-9	1.672128036E-7	1.740191991E-8	-1.066757571E-9	-2.643158803E-9	5.487065663E-11	4.279944454E-10	-6.732414022E-7	1.092683846E-7	-8.726038225E-10	8.725852818E-10	-2.169943114E-10	-1.195271993E-9
7.997000000E-2	3.162801300E+0	2.346110000E-2	3.461200000E-2	2.451312639E-6	3.495345879E-7	8.734644952E-11	-4.808324294E-10	7.893107001E-11	9.602295625E-10	1.671322423E-7	1.773156555E-8	-1.194816579E-9	-2.717847947E-9	3.149605854E-10	4.885078453E-10	-6.734263707E-7	1.093179520E-7	-8.078064884E-10	9.357888908E-10	-2.464826676E-10	-9.233370180E-10
7.997000000E-2	3.563767000E+0	2.345470000E-2	3.462440000E-2	2.452087756E-6	3.505806774E-7	-1.479656120E-10	-2.719905690E-10	-3.799537074E-10	6.356901117E-10	1.673029430E-7	1.809638661E-8	-1.225802015E-9	-2.569679136E-9	5.735145137E-10	4.632459971E-10	-6.737006970E-7	1.092354083E-7	-6.349740733E-10	1.135556094E-9	-2.066868760E-10	-6.876446634E-10
8.003000000E-2	3.963011200E+0	2.344990000E-2	3.459860000E-2	2.451645741E-6	3.504225390E-7	-2.695505763E-10	-2.457173631E-10	-6.842627576E-10	3.477827193E-10	1.676685457E-7	1.862095900E-8	-1.194543353E-9	-2.366015606E-9	6.022731758E-10	3.364586387E-10	-6.739421678E-7	1.091031265E-7	-6.448913625E-10	1.281276862E-9	-1.976457192E-11	-5.788284296E-10
