Friday_SCM1_July2025.038.txt Sun, Aug 3, 2025 9:08:52 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_038	Timestamp_038	Tmc_038	Tcoil_038	B1x1_038	B1y1_038	B1x2_038	B1y2_038	B1x3_038	B1y3_038	T1x1_038	T1y1_038	T1x2_038	T1y2_038	T1x3_038	T1y3_038	T3x1_038	T3y1_038	T3x2_038	T3y2_038	T3x3_038	T3y3_038
7.997000000E-2	3.830804001E-1	7.037750000E-1	7.526830000E-1	1.799446636E-6	4.008198005E-7	-6.683375520E-10	-7.709062277E-10	7.347588649E-10	3.309216512E-10	1.689581524E-7	1.637238967E-8	-1.440473296E-10	1.372308267E-9	3.488295763E-10	-3.325283160E-9	-8.581727684E-7	1.210256357E-7	-4.008438026E-10	8.998477519E-10	-6.225315818E-10	9.343963103E-11
7.997000000E-2	7.927993000E-1	7.036640000E-1	7.533400000E-1	1.798596372E-6	4.015294337E-7	-1.045571407E-9	-4.642742024E-10	9.848538651E-10	3.155384565E-10	1.692830978E-7	1.634591840E-8	-3.171914398E-10	1.076399192E-9	1.650372200E-11	-3.583727537E-9	-8.583210729E-7	1.213140592E-7	-6.280034826E-10	8.846745558E-10	-4.814569854E-10	-2.534371046E-10
8.010000000E-2	1.272672100E+0	7.042570000E-1	7.522260000E-1	1.798782250E-6	4.006676591E-7	-1.265356597E-9	-2.594486570E-10	1.290370255E-9	1.713489489E-10	1.694484553E-7	1.662719562E-8	-3.364233336E-10	6.000315800E-10	-3.628112255E-10	-3.594520903E-9	-8.584113971E-7	1.215470462E-7	-5.674136716E-10	9.064164419E-10	-2.155763762E-10	-4.581716395E-10
8.003000000E-2	1.671179800E+0	7.041200000E-1	7.544710000E-1	1.799140819E-6	4.015370791E-7	-1.282580597E-9	-3.337923549E-10	1.385977999E-9	-1.076134806E-10	1.695577225E-7	1.687940454E-8	-1.970508756E-10	4.369115070E-10	-8.378189254E-10	-3.207681454E-9	-8.586139870E-7	1.216073571E-7	-3.709337559E-10	9.308441795E-10	-1.255825582E-10	-3.344648725E-10
7.997000000E-2	2.271268600E+0	7.031220000E-1	7.553820000E-1	1.797830578E-6	4.012869681E-7	-1.068949706E-9	-4.427168632E-10	1.414347528E-9	-3.019602901E-10	1.693719582E-7	1.741137723E-8	-1.006294423E-10	-9.493544839E-11	-1.352784440E-9	-2.294914703E-9	-8.590355378E-7	1.214763188E-7	-1.082960804E-11	5.952067173E-10	-3.266765747E-10	-7.140057295E-11
7.990000000E-2	2.672470400E+0	7.029890000E-1	7.528450000E-1	1.798501444E-6	4.013368482E-7	-8.177807875E-10	-4.249282870E-10	1.445477404E-9	-3.884969846E-10	1.690731040E-7	1.796679605E-8	-2.521065301E-10	-5.350709875E-10	-1.694492324E-9	-1.634482771E-9	-8.593502230E-7	1.214158516E-7	1.943651212E-10	3.935454185E-10	-4.576909407E-10	5.445417728E-11
7.997000000E-2	3.071933500E+0	7.033020000E-1	7.565190000E-1	1.797826144E-6	4.022475935E-7	-6.285708065E-10	-2.362021134E-10	1.641248693E-9	-4.821083532E-10	1.688309226E-7	1.859153187E-8	-4.841599899E-10	-8.568158405E-10	-2.033143431E-9	-1.075245004E-9	-8.595133636E-7	1.213846446E-7	3.249573111E-10	2.116634368E-10	-5.896960697E-10	1.163242211E-10
8.003000000E-2	3.471752000E+0	7.036970000E-1	7.532390000E-1	1.796955416E-6	4.016390847E-7	-3.016648320E-10	-5.191946526E-11	1.878980749E-9	-5.658180591E-10	1.685847479E-7	1.916536263E-8	-6.222057314E-10	-8.068872237E-10	-2.215203132E-9	-5.710325546E-10	-8.595304166E-7	1.212351322E-7	5.931395375E-10	-4.437706452E-11	-5.416243565E-10	5.738659114E-12
7.990000000E-2	3.872843300E+0	7.038620000E-1	7.552200000E-1	1.797585696E-6	4.012424881E-7	2.171498918E-11	1.092209032E-10	2.079387107E-9	-7.503052624E-10	1.681742674E-7	1.954554030E-8	-9.193944495E-10	-6.268097708E-10	-2.209797234E-9	-9.550335522E-11	-8.595765735E-7	1.210210598E-7	7.607978691E-10	-3.199303877E-10	-3.424798223E-10	-1.451073012E-10
7.990000000E-2	4.273086500E+0	7.038920000E-1	7.562310000E-1	1.797017148E-6	4.020184861E-7	3.516281433E-10	2.736573190E-10	2.151683498E-9	-8.525438133E-10	1.677476575E-7	1.972122021E-8	-1.459878773E-9	-5.367096212E-10	-2.069479255E-9	3.646938585E-10	-8.597451142E-7	1.208371856E-7	6.918222106E-10	-4.007711663E-10	6.268077723E-11	-2.639439500E-10
7.997000000E-2	4.873024200E+0	7.036890000E-1	7.548260000E-1	1.796733386E-6	4.004585605E-7	7.837476224E-10	5.252225876E-10	2.081412598E-9	-7.939325863E-10	1.674175110E-7	1.996312093E-8	-2.013686773E-9	-4.614134908E-10	-1.474216860E-9	8.103412941E-10	-8.602085586E-7	1.206918512E-7	5.008429227E-10	-6.823615978E-11	6.609314207E-10	-2.026971369E-10
7.997000000E-2	5.272014800E+0	7.039500000E-1	7.574600000E-1	1.797395157E-6	4.008421968E-7	1.042522180E-9	7.847895111E-10	2.069489691E-9	-6.138075603E-10	1.674692101E-7	2.014635925E-8	-2.184124881E-9	-2.351605577E-10	-8.188686396E-10	8.690948516E-10	-8.606454571E-7	1.207499594E-7	5.616453969E-10	2.357661288E-10	8.887375835E-10	-1.048642492E-10
7.997000000E-2	5.671999800E+0	7.039670000E-1	7.567660000E-1	1.796392894E-6	4.005832750E-7	1.197501764E-9	9.747664897E-10	1.963472718E-9	-4.882946270E-10	1.675153811E-7	2.014723322E-8	-2.309749281E-9	1.247527498E-10	-2.187045267E-10	6.629872762E-10	-8.609960673E-7	1.205956153E-7	6.505855299E-10	6.929614105E-10	9.326738271E-10	-4.811320439E-11
8.003000000E-2	6.073077600E+0	7.034090000E-1	7.551920000E-1	1.796838319E-6	3.995339455E-7	1.115511572E-9	9.819852709E-10	1.775937619E-9	-3.971005747E-10	1.675738872E-7	1.991747922E-8	-2.353178097E-9	3.851330643E-10	3.804433990E-10	3.295025641E-10	-8.613810678E-7	1.202885187E-7	4.588203428E-10	1.068408917E-9	8.967203091E-10	6.457317320E-11
7.997000000E-2	6.471812500E+0	7.023850000E-1	7.568210000E-1	1.797653795E-6	4.002760932E-7	1.041744135E-9	8.717518374E-10	1.547139750E-9	-2.266857119E-10	1.676260553E-7	1.965178065E-8	-2.361768559E-9	5.782697099E-10	1.080626588E-9	-2.609543415E-10	-8.618430343E-7	1.199261277E-7	2.180577524E-10	1.390691007E-9	8.352329384E-10	1.327573468E-10
8.003000000E-2	6.872366400E+0	7.016590000E-1	7.540420000E-1	1.796756806E-6	4.004650975E-7	9.863913020E-10	7.181965578E-10	1.422760243E-9	-5.447338414E-11	1.675359016E-7	1.949594264E-8	-2.445341707E-9	6.143023312E-10	1.557989071E-9	-7.909565225E-10	-8.620921790E-7	1.196399779E-7	8.506748778E-11	1.688975959E-9	6.542852371E-10	1.218986162E-10
7.983000000E-2	7.271381200E+0	7.012380000E-1	7.559010000E-1	1.797299774E-6	3.995589850E-7	9.445884075E-10	5.065235453E-10	1.502640345E-9	-8.338565255E-11	1.673606391E-7	1.929574722E-8	-2.601425075E-9	6.041183109E-10	1.776240377E-9	-1.236002079E-9	-8.621489087E-7	1.195611077E-7	4.221800687E-11	1.808627248E-9	4.487932248E-10	1.139694034E-10
8.003000000E-2	7.672266600E+0	7.013870000E-1	7.534420000E-1	1.797915957E-6	4.004413938E-7	9.537368673E-10	1.105117595E-10	1.562621588E-9	-1.575571201E-10	1.670893397E-7	1.903066327E-8	-2.614117145E-9	4.982149138E-10	1.826888529E-9	-1.672112560E-9	-8.619986147E-7	1.198197168E-7	-2.109635904E-11	1.769667968E-9	1.939520766E-10	1.090016549E-10
7.977000000E-2	8.072276900E+0	7.013850000E-1	7.549920000E-1	1.797195296E-6	4.005001699E-7	9.060109329E-10	-3.017484040E-10	1.441028408E-9	-2.746692873E-10	1.667632290E-7	1.876205147E-8	-2.403007793E-9	5.506217149E-10	1.741457756E-9	-2.091161466E-9	-8.615807019E-7	1.200960611E-7	-1.552258599E-10	1.721753073E-9	-8.051615624E-11	6.236923478E-11
7.997000000E-2	8.471190900E+0	7.008290000E-1	7.531930000E-1	1.797823870E-6	3.996781288E-7	7.429920568E-10	-7.236273802E-10	1.329074073E-9	-3.838747653E-10	1.664160010E-7	1.868232680E-8	-1.706185193E-9	8.182021172E-10	1.489872226E-9	-2.398896415E-9	-8.609993642E-7	1.201843105E-7	-3.561492767E-10	1.654441473E-9	-2.785242315E-10	2.469539295E-10
8.010000000E-2	8.873165400E+0	7.004220000E-1	7.535570000E-1	1.797964956E-6	4.004579637E-7	6.162435562E-10	-1.146349682E-9	1.184064291E-9	-4.688868183E-10	1.661568234E-7	1.879992340E-8	-9.000942769E-10	1.151928997E-9	9.797760381E-10	-2.480951222E-9	-8.603733477E-7	1.202235609E-7	-5.057776420E-10	1.413349882E-9	-3.598821796E-10	5.576255013E-10
7.983000000E-2	9.271907100E+0	7.004020000E-1	7.541780000E-1	1.796677566E-6	4.000277727E-7	4.885182259E-10	-1.473073108E-9	1.064161204E-9	-5.076585263E-10	1.660574043E-7	1.874004951E-8	-3.901028112E-10	1.349261480E-9	4.365295903E-10	-2.379046959E-9	-8.600836168E-7	1.203544429E-7	-6.698661625E-10	1.080205148E-9	-3.370486667E-10	9.514565802E-10
8.003000000E-2	9.672144700E+0	7.004400000E-1	7.533030000E-1	1.796883907E-6	3.989368622E-7	3.877936583E-10	-1.551501594E-9	9.575592541E-10	-4.595496761E-10	1.658980011E-7	1.855586618E-8	1.350211470E-10	1.386095683E-9	-2.793432985E-10	-2.114980635E-9	-8.600129036E-7	1.205738158E-7	-9.385076050E-10	7.942624336E-10	-1.743993144E-10	1.247140502E-9
7.990000000E-2	1.007231000E+1	7.000790000E-1	7.530990000E-1	1.796908805E-6	3.996457849E-7	3.414015459E-10	-1.415020989E-9	5.831822802E-10	-3.339525601E-10	1.657388537E-7	1.826873763E-8	7.123616697E-10	1.270331618E-9	-9.223335984E-10	-1.690682927E-9	-8.601413697E-7	1.207616407E-7	-1.219422008E-9	5.858022401E-10	2.141580142E-11	1.456949006E-9
7.997000000E-2	1.047131590E+1	6.981840000E-1	7.525400000E-1	1.795597086E-6	3.993023938E-7	4.075669524E-10	-1.264359839E-9	5.332864012E-11	-1.605134081E-10	1.657183475E-7	1.787182491E-8	1.466738619E-9	9.291499237E-10	-1.329513277E-9	-1.077861134E-9	-8.606567121E-7	1.206721123E-7	-1.521337389E-9	1.850273129E-10	3.045471098E-10	1.510732650E-9
7.990000000E-2	1.107122910E+1	6.957150000E-1	7.513050000E-1	1.796411993E-6	3.994084068E-7	5.414041992E-10	-1.345249911E-9	-7.250462453E-10	8.277006164E-11	1.659061155E-7	1.753885215E-8	2.155534196E-9	1.836958502E-10	-1.417904794E-9	-3.828786455E-10	-8.610545024E-7	1.205459626E-7	-1.419152351E-9	-1.587225351E-10	4.131077702E-10	1.426885166E-9
7.997000000E-2	1.147151430E+1	6.934420000E-1	7.549770000E-1	1.795483058E-6	4.006834331E-7	5.965328786E-10	-1.525546467E-9	-1.082152590E-9	2.655115572E-10	1.659258260E-7	1.744238709E-8	2.338694127E-9	-4.935475917E-10	-1.155742280E-9	3.260136735E-12	-8.612523743E-7	1.202798359E-7	-1.126215121E-9	-3.542661997E-10	4.081701921E-10	1.496438196E-9
8.010000000E-2	1.187213040E+1	6.909730000E-1	7.536070000E-1	1.795041385E-6	4.000675631E-7	5.844896234E-10	-1.599885446E-9	-1.153427243E-9	4.610753723E-10	1.653622235E-7	1.742140121E-8	2.249224806E-9	-1.465976340E-9	-5.072213760E-10	5.141362336E-10	-8.613425280E-7	1.199109505E-7	-6.784909301E-10	-5.163199868E-10	3.503468626E-10	1.536669569E-9
7.997000000E-2	1.227203080E+1	6.885430000E-1	7.536820000E-1	1.796187462E-6	4.008188057E-7	4.684801436E-10	-1.623660872E-9	-1.147721917E-9	6.168566769E-10	1.646782408E-7	1.740102640E-8	2.003801347E-9	-2.082823025E-9	1.651009468E-10	8.729471035E-10	-8.611356748E-7	1.197540485E-7	-3.360847989E-10	-5.956238280E-10	3.141028271E-10	1.479603773E-9
8.010000000E-2	1.267216960E+1	6.854690000E-1	7.528540000E-1	1.795812068E-6	4.014323451E-7	2.569098545E-10	-1.588318033E-9	-1.150038287E-9	7.130943613E-10	1.641329703E-7	1.725899956E-8	1.820418927E-9	-2.547798639E-9	8.350093395E-10	1.182461351E-9	-8.607384530E-7	1.197136044E-7	9.439405507E-11	-5.207335119E-10	-4.142739483E-13	1.345395684E-9
8.003000000E-2	1.307162440E+1	6.830550000E-1	7.523870000E-1	1.795862317E-6	4.005328833E-7	1.370014519E-10	-1.401616267E-9	-1.091948087E-9	7.577934391E-10	1.637619817E-7	1.705033448E-8	1.418602458E-9	-2.760244255E-9	1.368676394E-9	1.329588328E-9	-8.603740866E-7	1.196917623E-7	5.566468397E-10	-3.946693805E-10	-4.349775817E-10	1.163954377E-9
7.997000000E-2	1.347188630E+1	6.799750000E-1	7.529190000E-1	1.797328423E-6	4.010508974E-7	1.134697891E-10	-1.188326104E-9	-9.069516804E-10	7.486486431E-10	1.636809230E-7	1.700041707E-8	6.661188268E-10	-2.603382176E-9	1.937736638E-9	1.435048413E-9	-8.598033787E-7	1.200448452E-7	1.183959930E-9	-1.377346015E-10	-7.711566941E-10	1.107532954E-9
7.990000000E-2	1.407158990E+1	6.751490000E-1	7.510550000E-1	1.796561150E-6	4.019296398E-7	1.784344617E-10	-9.580147786E-10	-7.567069749E-10	6.115106754E-10	1.638194078E-7	1.716980336E-8	-2.954018974E-10	-2.194258331E-9	2.483430350E-9	1.262481009E-9	-8.596151702E-7	1.207531994E-7	1.291388552E-9	1.355479878E-11	-9.026860925E-10	1.024771379E-9
7.997000000E-2	1.447147620E+1	6.717120000E-1	7.495380000E-1	1.797153800E-6	4.015055879E-7	1.669154259E-10	-9.213761976E-10	-7.835104787E-10	3.499688317E-10	1.641460301E-7	1.754754386E-8	-9.108968579E-10	-1.757415769E-9	2.762559736E-9	9.914594701E-10	-8.596088037E-7	1.214444154E-7	1.120065041E-9	1.756817192E-10	-8.668157858E-10	8.197923451E-10
7.997000000E-2	1.487145160E+1	6.683810000E-1	7.505250000E-1	1.797113100E-6	4.026171325E-7	1.603810695E-10	-7.466202101E-10	-7.538085711E-10	-3.652696548E-11	1.645235841E-7	1.786811410E-8	-1.334922728E-9	-1.417076567E-9	2.825966350E-9	6.715119572E-10	-8.595563372E-7	1.220297321E-7	8.086953329E-10	3.690241723E-10	-8.538143526E-10	5.709982487E-10
7.990000000E-2	1.527217930E+1	6.650450000E-1	7.463990000E-1	1.796093216E-6	4.023273163E-7	2.489035922E-10	-5.560117922E-10	-6.046905754E-10	-3.527464154E-10	1.648142955E-7	1.813561568E-8	-1.874093325E-9	-1.142430483E-9	2.637273733E-9	2.045040803E-10	-8.594730048E-7	1.225671866E-7	6.376948414E-10	5.432380656E-10	-9.463888562E-10	3.662988801E-10
7.990000000E-2	1.567189710E+1	6.623400000E-1	7.481840000E-1	1.796963488E-6	4.016328035E-7	2.238844110E-10	-2.397924082E-10	-2.375926955E-10	-6.312507739E-10	1.649940060E-7	1.832861152E-8	-2.558906642E-9	-1.013455875E-9	1.945840378E-9	-5.498631550E-10	-8.593688676E-7	1.228783191E-7	6.030519972E-10	7.724864082E-10	-1.164855989E-9	3.761007339E-10
7.997000000E-2	1.607202640E+1	6.585110000E-1	7.453720000E-1	1.800922064E-6	4.013417652E-7	-6.982514567E-10	2.107788166E-9	-4.525524955E-10	1.617561501E-10	1.673242025E-7	1.831325847E-8	-1.003041053E-10	-1.797286653E-9	5.448759222E-10	1.623370549E-9	-8.596199450E-7	1.202349012E-7	-7.536680169E-10	1.239175013E-10	-3.471565396E-11	3.056312148E-10
7.997000000E-2	2.087225490E+1	6.273500000E-1	7.356950000E-1	1.802132715E-6	4.021945017E-7	-3.761439493E-10	2.327112059E-9	-4.136209708E-10	4.900831962E-10	1.675145000E-7	1.829355689E-8	-2.184938203E-10	-2.111991471E-9	1.694152818E-9	1.660198534E-9	-8.595202416E-7	1.194706556E-7	-6.297503075E-10	4.030357437E-10	-1.240423458E-10	9.492399228E-11
7.997000000E-2	2.127271320E+1	6.256680000E-1	7.367930000E-1	1.802078145E-6	4.014473234E-7	6.456944007E-11	2.449487946E-9	-4.358595707E-10	4.081640026E-10	1.676476131E-7	1.828329665E-8	-3.696472850E-10	-2.090045026E-9	2.414752398E-9	1.532712734E-9	-8.596510384E-7	1.192252768E-7	-2.561553747E-10	8.547422215E-10	-4.011890542E-10	-3.431908924E-10
