Friday_SCM1_July2025.039.txt Sun, Aug 3, 2025 10:22:26 PM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 10.0 s, Elapsed time : 10 s
Set SR830 ( GPIB0::1::INSTR ) 991 Hz(Frequency)
Set SR830 ( GPIB0::4::INSTR ) 313 Hz(Frequency)
Set SR830 ( GPIB0::7::INSTR ) 137 Hz(Frequency)
Wait for 10.0 s, Elapsed time : 10 s
----------    T sweep at different fields  
Set Field 0.2 T at 0.2 T/min
Wait for Field Stable, Target Field 0.2000 T, Current Field 0.1994 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_039	Timestamp_039	Tmc_039	Tcoil_039	B1x1_039	B1y1_039	B1x2_039	B1y2_039	B1x3_039	B1y3_039	T1x1_039	T1y1_039	T1x2_039	T1y2_039	T1x3_039	T1y3_039	T3x1_039	T3y1_039	T3x2_039	T3y2_039	T3x3_039	T3y3_039
1.999100000E-1	3.427609999E-1	2.388690000E-2	3.556870000E-2	2.884166179E-6	6.592229624E-7	-2.477475447E-10	-2.974045732E-10	1.129990879E-9	5.336387998E-10	2.689620828E-7	4.898900130E-8	5.861016672E-10	-7.838100169E-10	-7.634059496E-10	1.233485203E-9	-8.224549788E-7	1.198897621E-7	6.400786567E-10	2.063989778E-11	1.678664568E-10	1.954859469E-10
1.999100000E-1	7.292460999E-1	2.388020000E-2	3.557430000E-2	2.884248715E-6	6.589477834E-7	-2.730882187E-10	-4.215018334E-10	6.603287917E-10	5.823130311E-10	2.689735084E-7	4.911088069E-8	6.323195856E-10	-8.620275049E-10	-6.784280360E-10	1.410164652E-9	-8.223269674E-7	1.201073445E-7	5.220531785E-10	9.214236318E-11	3.668972903E-10	1.664202803E-10
1.999800000E-1	1.237775700E+0	2.386860000E-2	3.553920000E-2	2.884230298E-6	6.584228345E-7	-3.458814901E-10	-8.243513094E-10	-7.654789129E-12	6.370683980E-10	2.688771872E-7	4.916082830E-8	5.296263983E-10	-8.047015276E-10	-3.098803436E-10	1.202017153E-9	-8.221541066E-7	1.205273463E-7	9.186476579E-10	-1.959545720E-11	5.354077182E-10	-1.077604395E-10
1.999800000E-1	1.837836900E+0	2.385710000E-2	3.552860000E-2	2.884263949E-6	6.576557325E-7	-1.883224410E-10	-1.210843870E-9	-2.795469967E-10	7.389658330E-10	2.686816174E-7	4.915436946E-8	3.871599985E-10	-5.720891538E-10	1.767825816E-11	6.182682144E-10	-8.220656014E-7	1.206382621E-7	1.260182403E-9	-2.522563755E-12	5.245892609E-10	-3.543323413E-10
2.001800000E-1	2.237807400E+0	2.384800000E-2	3.552620000E-2	2.884481091E-6	6.574051667E-7	9.988279648E-11	-1.442248432E-9	-1.569039898E-10	8.458229117E-10	2.684369065E-7	4.918943120E-8	2.172976798E-10	-3.458580922E-10	9.400673989E-11	8.220964187E-11	-8.219004712E-7	1.208572940E-7	1.452513998E-9	-4.938982209E-11	4.202305726E-10	-4.462930581E-10
1.999800000E-1	2.638883900E+0	2.383820000E-2	3.549710000E-2	2.884507921E-6	6.573044970E-7	3.413103134E-10	-1.681651929E-9	7.349573727E-11	9.118633626E-10	2.681284457E-7	4.918518926E-8	2.474001039E-11	-1.863033200E-10	2.173166369E-10	-3.622160072E-10	-8.218274274E-7	1.210858898E-7	1.562962093E-9	-1.522432874E-10	4.176270163E-10	-4.444885293E-10
1.997800000E-1	3.037943800E+0	2.382910000E-2	3.549240000E-2	2.884305332E-6	6.573348514E-7	4.637230044E-10	-1.759485668E-9	2.235919505E-10	1.020357354E-9	2.677724922E-7	4.907531803E-8	-2.100084412E-10	-1.387949755E-10	4.248592311E-10	-8.034561905E-10	-8.218884204E-7	1.212568179E-7	1.677922023E-9	-3.524609493E-10	4.610922477E-10	-3.813804550E-10
1.999800000E-1	3.437138500E+0	2.382300000E-2	3.546950000E-2	2.884229161E-6	6.575598377E-7	3.149721317E-10	-1.670349636E-9	4.609134741E-10	1.172285269E-9	2.675002122E-7	4.884938676E-8	-4.407729737E-10	-1.852733522E-10	6.990024115E-10	-9.612866059E-10	-8.219578831E-7	1.212714267E-7	1.798111993E-9	-5.191642116E-10	5.749681287E-10	-3.451944841E-10
2.000400000E-1	3.837328500E+0	2.381760000E-2	3.544700000E-2	2.884305104E-6	6.578733860E-7	-5.959068655E-11	-1.551258011E-9	7.783702571E-10	1.279470974E-9	2.674141513E-7	4.871834136E-8	-7.091573995E-10	-3.808660332E-10	1.092485324E-9	-8.440532717E-10	-8.219946608E-7	1.212600154E-7	1.826952922E-9	-5.167517525E-10	5.916840906E-10	-3.380156988E-10
1.999100000E-1	4.439017700E+0	2.380600000E-2	3.542540000E-2	2.884522246E-6	6.582640140E-7	-5.129239256E-10	-1.122725912E-9	1.307277508E-9	1.386225579E-9	2.675037649E-7	4.870445025E-8	-1.056142507E-9	-5.826170102E-10	1.478189904E-9	-6.295572397E-10	-8.218662515E-7	1.212335405E-7	1.799354665E-9	-2.170378460E-10	5.893312505E-10	-2.244663899E-10
