Friday_SCM1_July2025.041.txt Mon, Aug 4, 2025 12:25:39 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Set Field 0.3 T at 0.2 T/min
Wait for Field Stable, Target Field 0.3000 T, Current Field 0.2995 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_041	Timestamp_041	Tmc_041	Tcoil_041	B1x1_041	B1y1_041	B1x2_041	B1y2_041	B1x3_041	B1y3_041	T1x1_041	T1y1_041	T1x2_041	T1y2_041	T1x3_041	T1y3_041	T3x1_041	T3y1_041	T3x2_041	T3y2_041	T3x3_041	T3y3_041
2.999700000E-1	3.899284999E-1	2.383850000E-2	3.466730000E-2	2.542478114E-6	6.705295732E-7	-1.274434114E-9	-1.684222428E-9	2.892591056E-9	8.250695682E-10	2.656529432E-7	4.809748688E-8	-4.793080932E-10	-1.815345096E-9	9.631857534E-10	5.219258359E-10	-8.788503010E-7	1.194809869E-7	-3.562259099E-10	3.036872975E-10	-6.077487125E-11	-6.899146809E-10
3.000300000E-1	7.400022999E-1	2.383490000E-2	3.468200000E-2	2.542812808E-6	6.705860756E-7	-9.909073562E-10	-1.815022466E-9	2.926710430E-9	5.718028828E-10	2.655583842E-7	4.805978904E-8	-5.827661131E-10	-1.323324228E-9	1.006276618E-9	3.409596217E-10	-8.791772643E-7	1.196493287E-7	-1.547348083E-10	2.526934772E-10	4.666252454E-11	-8.122738593E-10
2.999700000E-1	1.247096300E+0	2.383020000E-2	3.465770000E-2	2.543322125E-6	6.705687952E-7	-5.280278992E-10	-1.813450279E-9	2.844720903E-9	2.065202037E-10	2.655559115E-7	4.813540855E-8	-6.586673429E-10	-8.579510435E-10	1.123324878E-9	1.844734088E-10	-8.794859809E-7	1.201501618E-7	7.313305517E-11	2.106352731E-10	1.702327862E-10	-8.668022411E-10
2.999700000E-1	1.646869400E+0	2.382840000E-2	3.468090000E-2	2.543655683E-6	6.704413522E-7	-3.070349530E-11	-1.652264436E-9	2.940159449E-9	8.410276815E-12	2.655760625E-7	4.829892930E-8	-7.819266901E-10	-7.181457651E-10	1.194620069E-9	1.512433234E-10	-8.796973816E-7	1.206152831E-7	5.064796152E-11	-2.249640405E-11	1.830529894E-10	-1.045541986E-9
2.999700000E-1	2.047510900E+0	2.382510000E-2	3.466310000E-2	2.543898745E-6	6.701903885E-7	3.016543404E-10	-1.291169061E-9	3.002366355E-9	-1.146318804E-10	2.655009723E-7	4.851538904E-8	-8.092653214E-10	-8.184064537E-10	1.263420257E-9	8.213078828E-11	-8.799164561E-7	1.210700020E-7	-9.177160420E-11	-5.509597778E-10	9.484307784E-11	-1.251157955E-9
2.999700000E-1	2.447501300E+0	2.382060000E-2	3.466730000E-2	2.543945584E-6	6.700935273E-7	6.554157772E-10	-9.935036127E-10	3.017093020E-9	-4.151847477E-10	2.654041395E-7	4.863888492E-8	-7.711980499E-10	-1.105665448E-9	1.216525991E-9	-6.745822650E-11	-8.800764135E-7	1.212991521E-7	-4.199862125E-10	-1.012712691E-9	2.243864816E-12	-1.409131256E-9
2.999000000E-1	3.047476900E+0	2.382000000E-2	3.468340000E-2	2.543918754E-6	6.701098982E-7	9.897609399E-10	-3.691817130E-10	2.821931799E-9	-5.232473899E-10	2.655360731E-7	4.849232127E-8	-6.633597005E-10	-1.486005319E-9	9.248140587E-10	-5.177459503E-11	-8.801951594E-7	1.211804204E-7	-8.445416588E-10	-1.328273824E-9	-1.779129205E-10	-1.269455763E-9
2.999700000E-1	3.447279000E+0	2.381770000E-2	3.468450000E-2	2.543950586E-6	6.701223469E-7	1.196354904E-9	8.378748390E-11	2.550917255E-9	-4.663474606E-10	2.656343270E-7	4.835000667E-8	-6.289962995E-10	-1.686002449E-9	7.354952758E-10	1.077958001E-10	-8.801538343E-7	1.207932030E-7	-1.135711747E-9	-1.571927699E-9	-1.922829118E-10	-1.083049872E-9
2.999700000E-1	3.847552400E+0	2.381620000E-2	3.467810000E-2	2.544129074E-6	6.699891060E-7	1.406163075E-9	7.004654495E-11	2.193135007E-9	-3.029666518E-10	2.657036475E-7	4.804837417E-8	-5.602908693E-10	-1.888899925E-9	6.171467781E-10	3.821816752E-10	-8.798801900E-7	1.203508759E-7	-1.234606417E-9	-1.638919445E-9	-1.494732532E-10	-8.094902526E-10
2.999700000E-1	4.248708200E+0	2.381240000E-2	3.470390000E-2	2.544210247E-6	6.696840842E-7	1.612842859E-9	1.977268523E-11	1.762171853E-9	-1.702433056E-10	2.659824077E-7	4.781400875E-8	-3.697031847E-10	-1.992340737E-9	6.603946279E-10	6.028068600E-10	-8.797481996E-7	1.201414221E-7	-1.239317649E-9	-1.481548661E-9	3.860795364E-12	-4.890264305E-10
2.999700000E-1	4.648395300E+0	2.380770000E-2	3.468340000E-2	2.544310291E-6	6.692807801E-7	1.784495662E-9	-1.842357933E-10	1.356968649E-9	-3.749938207E-11	2.664108934E-7	4.781211160E-8	-1.578817077E-10	-2.196281157E-9	8.727544243E-10	6.680875853E-10	-8.796910720E-7	1.199586990E-7	-1.274351957E-9	-1.230204050E-9	3.065708243E-10	-3.022559425E-10
2.999700000E-1	5.048389500E+0	2.379880000E-2	3.472510000E-2	2.544378276E-6	6.689159591E-7	2.109860731E-9	-3.838833973E-10	9.564824488E-10	1.136327282E-10	2.667503338E-7	4.801390574E-8	1.689699353E-10	-2.265048371E-9	1.108858783E-9	7.560861937E-10	-8.796200746E-7	1.198495312E-7	-1.178408593E-9	-1.064076050E-9	5.184669916E-10	-3.355818679E-10
3.000300000E-1	5.448377900E+0	2.379430000E-2	3.470990000E-2	2.544401241E-6	6.685759217E-7	2.116209430E-9	-5.693875371E-10	6.921337947E-10	3.255441194E-10	2.669198977E-7	4.836097745E-8	6.374928363E-10	-2.174698643E-9	1.129234262E-9	8.814510788E-10	-8.793874144E-7	1.199574626E-7	-1.079511147E-9	-8.871882118E-10	2.722936598E-10	-3.381182001E-10
