Friday_SCM1_July2025.044.txt Mon, Aug 4, 2025 3:21:56 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.1 mA Final: 0.01 mA Period: 1 min linear
Wait for 5.0 min, Elapsed time : 300 s
***** End of Sequence History ***
Field_044	Timestamp_044	Tmc_044	Tcoil_044	B1x1_044	B1y1_044	B1x2_044	B1y2_044	B1x3_044	B1y3_044	T1x1_044	T1y1_044	T1x2_044	T1y2_044	T1x3_044	T1y3_044	T3x1_044	T3y1_044	T3x2_044	T3y2_044	T3x3_044	T3y3_044
6.999300000E-1	3.284259001E-1	7.058800000E-1	7.662940000E-1	2.024765763E-6	6.803388146E-7	-4.311294932E-10	1.686367296E-10	2.151717971E-10	1.670810934E-9	2.633682072E-7	4.738510029E-8	-4.862467096E-10	1.028108043E-9	-4.501242712E-10	6.685968446E-10	-9.756483905E-7	1.184109948E-7	-6.220508553E-10	-1.059106247E-9	-2.838202451E-10	1.059981658E-9
6.999300000E-1	6.981331001E-1	7.058630000E-1	7.652980000E-1	2.025037247E-6	6.801057566E-7	-6.764432348E-10	1.475852634E-10	2.425959988E-10	1.567514563E-9	2.634008922E-7	4.738431514E-8	-6.262100283E-10	1.246648784E-9	-5.016406179E-10	7.615368336E-10	-9.753531458E-7	1.188688756E-7	-6.636857175E-10	-1.347689182E-9	-4.317843305E-10	1.069354827E-9
6.999300000E-1	1.084402800E+0	7.061190000E-1	7.661260000E-1	2.025015647E-6	6.799357379E-7	-9.867821005E-10	1.188159293E-10	2.904518292E-10	1.474887656E-9	2.634239138E-7	4.757312766E-8	-6.811736730E-10	1.442544972E-9	-6.094825755E-10	9.099153653E-10	-9.750303889E-7	1.192646835E-7	-7.403003210E-10	-1.509364411E-9	-4.290675593E-10	8.875170598E-10
6.999900000E-1	1.483678000E+0	7.056830000E-1	7.659140000E-1	2.024802143E-6	6.799272114E-7	-1.566217045E-9	1.782463066E-10	2.936248467E-10	1.229526037E-9	2.632653491E-7	4.787487740E-8	-7.263720736E-10	1.868831090E-9	-8.246370808E-10	1.342415734E-9	-9.748691809E-7	1.199810953E-7	-9.100433185E-10	-1.307487896E-9	-1.323195997E-10	2.599401805E-10
6.999300000E-1	2.283251000E+0	7.047430000E-1	7.671390000E-1	2.024824653E-6	6.804870054E-7	-2.067863658E-9	5.674591908E-10	1.053629475E-10	7.591299811E-10	2.629039670E-7	4.768990180E-8	-8.083271275E-10	2.316846715E-9	-9.054196837E-10	1.507324043E-9	-9.752986898E-7	1.203516433E-7	-1.159400464E-9	-8.790689288E-10	-3.195665954E-11	-1.697077478E-10
6.999300000E-1	2.683210800E+0	7.042200000E-1	7.645860000E-1	2.025083177E-6	6.805713042E-7	-2.120712716E-9	9.970112513E-10	1.290431095E-10	6.174680767E-10	2.627638480E-7	4.768348916E-8	-7.490807974E-10	2.381108200E-9	-9.348635199E-10	1.471921807E-9	-9.756261079E-7	1.205719684E-7	-1.401029848E-9	-5.644579804E-10	-1.199172567E-10	-4.571742429E-10
6.999300000E-1	3.083214900E+0	7.035660000E-1	7.677620000E-1	2.025333060E-6	6.805145745E-7	-2.034546309E-9	1.463776988E-9	2.543810440E-10	5.087140154E-10	2.625621676E-7	4.791183272E-8	-7.324116869E-10	2.199560534E-9	-9.022120828E-10	1.404248273E-9	-9.757678754E-7	1.208109523E-7	-1.536360150E-9	-3.882912603E-10	-3.252983993E-10	-7.822231196E-10
6.999300000E-1	3.485127900E+0	7.033470000E-1	7.659320000E-1	2.025511776E-6	6.804941677E-7	-1.792187398E-9	1.779663639E-9	4.475090021E-10	3.637276036E-10	2.621592046E-7	4.842009460E-8	-6.602668967E-10	1.803687311E-9	-8.533909135E-10	1.363706481E-9	-9.757660564E-7	1.210411114E-7	-1.501161417E-9	-2.736844362E-10	-3.699413276E-10	-1.174300879E-9
6.999900000E-1	3.884092300E+0	7.035190000E-1	7.657120000E-1	2.025603862E-6	6.806687338E-7	-1.570276797E-9	1.881926171E-9	5.258842806E-10	1.828285440E-10	2.616091308E-7	4.884586957E-8	-3.804890292E-10	1.292047913E-9	-7.387762624E-10	1.199787825E-9	-9.754634220E-7	1.209840121E-7	-1.381149417E-9	-1.887989903E-10	-2.296907248E-10	-1.732326171E-9
6.999900000E-1	4.284104400E+0	7.035140000E-1	7.667720000E-1	2.025431286E-6	6.808251101E-7	-1.449436682E-9	2.011110167E-9	5.230563205E-10	6.929593704E-11	2.612265746E-7	4.903587936E-8	-1.024996615E-10	8.899446180E-10	-7.364751586E-10	9.811685908E-10	-9.750606296E-7	1.206454527E-7	-1.277330019E-9	3.668486088E-12	-4.829769223E-11	-2.191048010E-9
7.001200000E-1	4.684328100E+0	7.046790000E-1	7.649080000E-1	2.024998366E-6	6.810291211E-7	-1.392090887E-9	2.171163471E-9	5.367493672E-10	9.913043997E-11	2.610109959E-7	4.919142782E-8	1.628565199E-10	5.005529880E-10	-9.062485762E-10	6.986769496E-10	-9.746012211E-7	1.202174502E-7	-1.146684525E-9	1.952860512E-10	5.630964098E-11	-2.582529302E-9
6.999900000E-1	5.283560900E+0	7.055360000E-1	7.659930000E-1	2.024508149E-6	6.810188324E-7	-1.307475794E-9	2.303291779E-9	6.463961033E-10	3.369568236E-10	2.610755985E-7	4.920389785E-8	3.799814075E-10	9.038976512E-11	-1.076271072E-9	2.613393668E-10	-9.741610256E-7	1.199299504E-7	-1.011563278E-9	2.945476918E-10	2.258836312E-10	-2.725940584E-9
6.999300000E-1	5.683875100E+0	7.051100000E-1	7.667770000E-1	2.024531113E-6	6.809911497E-7	-1.193753318E-9	2.169090463E-9	6.801490482E-10	3.697401829E-10	2.611173215E-7	4.923247943E-8	4.858442537E-10	-1.217812518E-10	-1.024888396E-9	1.070430689E-10	-9.738128028E-7	1.198990844E-7	-8.294176457E-10	5.608915554E-10	3.205458954E-10	-2.494481510E-9
7.000600000E-1	6.083908600E+0	7.047860000E-1	7.656430000E-1	2.024684591E-6	6.809024171E-7	-9.300836767E-10	1.916953041E-9	6.276235087E-10	2.433887258E-10	2.611341472E-7	4.931328945E-8	3.824079386E-10	-3.044267616E-10	-8.640766991E-10	8.302400434E-11	-9.735425692E-7	1.202430155E-7	-4.853070168E-10	9.063454431E-10	2.679605426E-10	-1.985529519E-9
