Friday_SCM1_July2025.045.txt Mon, Aug 4, 2025 4:36:35 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Set Field 1 T at 0.2 T/min
Wait for Field Stable, Target Field 1.0000 T, Current Field 0.9985 T
Wait for 15.0 s, Elapsed time : 15 s
Start Trigger 0 at 0.2
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
Wait for 10.0 s, Elapsed time : 10 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 0.2 mA Final: 5.8 mA Period: 70 min linear
***** End of Sequence History ***
Field_045	Timestamp_045	Tmc_045	Tcoil_045	B1x1_045	B1y1_045	B1x2_045	B1y2_045	B1x3_045	B1y3_045	T1x1_045	T1y1_045	T1x2_045	T1y2_045	T1x3_045	T1y3_045	T3x1_045	T3y1_045	T3x2_045	T3y2_045	T3x3_045	T3y3_045
9.999600000E-1	3.337467001E-1	2.324830000E-2	3.524940000E-2	1.786488497E-6	6.858728057E-7	8.194775414E-10	7.559626813E-10	4.713446300E-11	2.778296926E-9	2.602252778E-7	4.603520765E-8	5.218805388E-10	-1.491974877E-9	-9.742466833E-10	-1.529885885E-9	-1.018031185E-6	1.221291228E-7	7.694964110E-11	2.703719843E-12	-3.259609249E-10	-2.469351168E-9
9.999600000E-1	7.379043000E-1	2.324510000E-2	3.524690000E-2	1.786866733E-6	6.862193800E-7	1.217168144E-9	7.171457317E-10	4.316564328E-10	2.916555442E-9	2.600285427E-7	4.589234592E-8	6.536712838E-10	-1.258530724E-9	-8.773406446E-10	-1.435158992E-9	-1.017161594E-6	1.225425450E-7	-2.859932846E-10	1.490645801E-10	-6.663188890E-10	-2.376562946E-9
9.998900000E-1	1.384652900E+0	2.324420000E-2	3.522810000E-2	1.787126053E-6	6.868325500E-7	1.595944932E-9	6.647397077E-10	1.171541419E-9	2.882400096E-9	2.598490312E-7	4.594343395E-8	8.453172606E-10	-9.058628847E-10	-5.359658273E-10	-1.155265661E-9	-1.016734814E-6	1.227214881E-7	-6.119817431E-10	4.622402183E-10	-8.144706576E-10	-1.846205411E-9
9.999600000E-1	1.985018000E+0	2.323950000E-2	3.521320000E-2	1.787415158E-6	6.871696883E-7	1.474224298E-9	6.141573361E-10	1.573208785E-9	2.552115852E-9	2.595856188E-7	4.583726110E-8	8.253803752E-10	-5.084563881E-10	-2.593053827E-10	-8.567712095E-10	-1.016302122E-6	1.228245310E-7	-9.093422681E-10	8.485037672E-10	-9.023254366E-10	-1.121557180E-9
1.000030000E+0	2.386640800E+0	2.323660000E-2	3.521370000E-2	1.787667657E-6	6.871809433E-7	1.396103566E-9	4.681802723E-10	1.814535744E-9	2.396986387E-9	2.592078943E-7	4.579374036E-8	8.010901942E-10	-2.624103434E-10	-2.013468836E-10	-6.034083788E-10	-1.016109081E-6	1.226417652E-7	-1.057224197E-9	9.929166378E-10	-1.018753193E-9	-5.999200581E-10
1.000030000E+0	2.785695300E+0	2.323400000E-2	3.519030000E-2	1.788012241E-6	6.870856168E-7	1.441732622E-9	1.034616490E-10	1.992501719E-9	2.268325972E-9	2.590569466E-7	4.584258662E-8	8.095101256E-10	-1.474796847E-11	-2.769277585E-10	-4.396661368E-10	-1.016226975E-6	1.222563952E-7	-1.083489409E-9	1.037998687E-9	-1.256366455E-9	-2.339470839E-10
9.998900000E-1	3.185622700E+0	2.323190000E-2	3.516800000E-2	1.788257123E-6	6.870166089E-7	1.565049756E-9	-3.214661592E-10	2.070521310E-9	2.207409589E-9	2.591428654E-7	4.600171266E-8	7.049395512E-10	2.219529005E-10	-4.774164397E-10	-3.825900985E-10	-1.016444458E-6	1.219435859E-7	-8.858601630E-10	1.063451216E-9	-1.421217366E-9	-7.130441376E-11
9.999600000E-1	3.586527100E+0	2.323010000E-2	3.516250000E-2	1.788291911E-6	6.868596074E-7	1.625116597E-9	-7.226426124E-10	2.117732878E-9	2.271745458E-9	2.594199771E-7	4.624824967E-8	6.384446305E-10	4.044134749E-10	-9.991171224E-10	-4.508370899E-10	-1.016896704E-6	1.215262273E-7	-4.219871397E-10	1.118255266E-9	-1.415129791E-9	-1.481674644E-10
9.999600000E-1	4.185823500E+0	2.322420000E-2	3.512590000E-2	1.788156283E-6	6.863818953E-7	1.377039593E-9	-1.049708875E-9	2.163023538E-9	2.219350259E-9	2.597652156E-7	4.618684102E-8	7.948733893E-10	5.068685471E-10	-1.427319041E-9	-6.472883340E-10	-1.017436602E-6	1.212686129E-7	1.943017275E-11	1.071410738E-9	-1.078568679E-9	-2.167769020E-10
9.999600000E-1	4.585589700E+0	2.321840000E-2	3.511480000E-2	1.787778729E-6	6.856078585E-7	1.055102783E-9	-9.756485619E-10	2.034102220E-9	2.231442808E-9	2.601059350E-7	4.612625304E-8	7.454138973E-10	5.510699119E-10	-1.423843265E-9	-9.855468663E-10	-1.017804607E-6	1.213809071E-7	2.648963826E-10	9.028021108E-10	-6.243660588E-10	-2.615238581E-10
1.000030000E+0	4.985317600E+0	2.321150000E-2	3.510940000E-2	1.787297833E-6	6.848856060E-7	8.071411317E-10	-8.085938585E-10	1.948529338E-9	2.286694389E-9	2.603261180E-7	4.609009352E-8	5.915527512E-10	6.008181175E-10	-1.134806138E-9	-1.243212422E-9	-1.018054604E-6	1.217235450E-7	5.951907856E-10	5.225305744E-10	-3.319056488E-11	-2.954441136E-10
9.999600000E-1	5.386371600E+0	2.320680000E-2	3.509740000E-2	1.786809321E-6	6.844442737E-7	6.524958907E-10	-6.628265159E-10	1.957888740E-9	2.383343967E-9	2.603836720E-7	4.615200311E-8	4.232597051E-10	5.466838093E-10	-8.094684367E-10	-1.428691832E-9	-1.018137255E-6	1.221901158E-7	8.336503154E-10	1.329347882E-10	4.905490458E-10	-2.904297081E-10
1.000030000E+0	5.785363700E+0	2.320680000E-2	3.509520000E-2	1.786470079E-6	6.844554719E-7	4.552832000E-10	-6.565454847E-10	2.013526013E-9	2.498985241E-9	2.604529925E-7	4.641405482E-8	2.805487231E-10	3.176494623E-10	-3.832699991E-10	-1.429174223E-9	-1.018119747E-6	1.223473731E-7	1.011425277E-9	-8.126097018E-11	7.829671356E-10	-1.454527887E-10
1.000030000E+0	6.184931000E+0	2.320310000E-2	3.508350000E-2	1.786184384E-6	6.846344149E-7	-3.326817294E-11	-6.861928248E-10	2.008787359E-9	2.602502214E-9	2.606333567E-7	4.667801434E-8	2.316749431E-10	7.886766934E-11	-7.245277295E-11	-1.304644393E-9	-1.018131684E-6	1.222642965E-7	1.147678508E-9	1.559905330E-11	9.233167009E-10	1.504197739E-10
9.999600000E-1	6.584951100E+0	2.319930000E-2	3.508340000E-2	1.785953941E-6	6.846763085E-7	-8.049125810E-10	-5.326331043E-10	1.868442512E-9	2.427175128E-9	2.606950034E-7	4.698878797E-8	2.397179122E-10	-5.613053911E-10	3.263047610E-10	-6.798582808E-10	-1.018505941E-6	1.222370258E-7	1.281068363E-9	5.240108902E-10	8.427611942E-10	4.465134651E-10
9.999600000E-1	7.385365000E+0	2.319210000E-2	3.506750000E-2	1.785655286E-6	6.848162002E-7	-1.336302402E-9	-3.923819603E-11	1.663377436E-9	1.922407122E-9	2.605405882E-7	4.714124202E-8	-5.963641386E-11	-7.659199941E-10	3.037654572E-10	1.593706972E-10	-1.018636340E-6	1.223079380E-7	1.506132663E-9	8.188082434E-10	3.061018106E-10	3.642386393E-10
9.999600000E-1	7.785233600E+0	2.318830000E-2	3.508060000E-2	1.785441555E-6	6.849144825E-7	-1.355950685E-9	2.374720420E-10	1.683838291E-9	1.723296839E-9	2.606281555E-7	4.728463310E-8	-1.675465183E-10	-8.178822619E-10	2.701018853E-10	4.796715802E-10	-1.018724333E-6	1.224156421E-7	1.880839706E-9	1.034314967E-9	-1.885235995E-10	3.610545474E-10
9.999600000E-1	8.185219100E+0	2.318440000E-2	3.504750000E-2	1.785180643E-6	6.850474392E-7	-1.289491847E-9	4.444285218E-10	1.793514004E-9	1.527823090E-9	2.607572753E-7	4.734657111E-8	-2.350628303E-10	-6.520958218E-10	3.093426903E-10	4.698082479E-10	-1.018787884E-6	1.225116364E-7	2.271704824E-9	1.291846741E-9	-6.469084157E-10	4.871793524E-10
9.999600000E-1	8.586081400E+0	2.318030000E-2	3.507830000E-2	1.784915753E-6	6.849448369E-7	-1.229024882E-9	4.816747556E-10	2.049496794E-9	1.332348121E-9	2.609801584E-7	4.728264003E-8	-4.050461633E-10	3.778336324E-11	4.614052751E-10	4.174376122E-10	-1.018807779E-6	1.225274531E-7	2.496972851E-9	1.573987496E-9	-1.056758237E-9	7.733754193E-10
1.000030000E+0	8.986069600E+0	2.317380000E-2	3.505210000E-2	1.784850610E-6	6.844605878E-7	-1.084881962E-9	3.818965699E-10	2.371284502E-9	1.102420266E-9	2.612889034E-7	4.715204227E-8	-3.286757255E-10	7.908317334E-10	6.999784086E-10	3.462579667E-10	-1.018871217E-6	1.224435522E-7	2.497993812E-9	1.886848899E-9	-1.306006969E-9	1.050997289E-9
9.998300000E-1	9.385247000E+0	2.316920000E-2	3.506700000E-2	1.784950200E-6	6.838187119E-7	-9.575222837E-10	3.356466216E-10	2.594040538E-9	7.323379125E-10	2.615887240E-7	4.719770530E-8	8.783262312E-11	1.432011176E-9	8.180341404E-10	1.816084089E-10	-1.019097112E-6	1.224106825E-7	2.200476912E-9	2.287787071E-9	-1.357834067E-9	1.137952399E-9
1.000090000E+0	9.984912700E+0	2.315960000E-2	3.508560000E-2	1.785198606E-6	6.830446182E-7	-1.235677338E-9	5.495268129E-10	2.397904097E-9	2.615307415E-10	2.615075516E-7	4.746085480E-8	6.733943403E-10	1.547279860E-9	6.023246901E-10	-1.776783304E-10	-1.019353817E-6	1.221893058E-7	1.646267789E-9	2.463492521E-9	-1.249313764E-9	1.152406837E-9
9.998900000E-1	1.038513130E+1	2.315970000E-2	3.509100000E-2	1.785168706E-6	6.828338997E-7	-1.547258877E-9	7.227295429E-10	2.057775728E-9	6.016323550E-11	2.610846934E-7	4.757195526E-8	9.435752180E-10	1.440457087E-9	4.715963731E-10	-4.041785240E-10	-1.019352567E-6	1.220408592E-7	1.255068161E-9	2.414797695E-9	-1.322218446E-9	9.700263925E-10
9.999600000E-1	1.078573610E+1	2.315990000E-2	3.509630000E-2	1.784907226E-6	6.829446306E-7	-1.832340169E-9	8.812514607E-10	1.793017179E-9	-1.580922754E-10	2.605081875E-7	4.741011139E-8	1.122877902E-9	1.216587053E-9	4.408229892E-10	-5.593271957E-10	-1.019116780E-6	1.219904675E-7	8.115132455E-10	2.325745374E-9	-1.454975806E-9	5.508985490E-10
9.999600000E-1	1.118533670E+1	2.316340000E-2	3.511300000E-2	1.784634378E-6	6.832683539E-7	-2.020726475E-9	9.513957400E-10	1.577900699E-9	-3.277322302E-10	2.600268090E-7	4.699661815E-8	1.215236689E-9	9.345691998E-10	4.425990963E-10	-6.416926435E-10	-1.018758212E-6	1.219187595E-7	4.730246195E-10	2.332608551E-9	-1.491130885E-9	1.916177772E-10
9.999600000E-1	1.158601510E+1	2.316390000E-2	3.510450000E-2	1.784263077E-6	6.837158253E-7	-2.072882532E-9	1.039710318E-9	1.417629569E-9	-5.310958895E-10	2.597396644E-7	4.637541551E-8	1.347498113E-9	6.877288738E-10	4.286644373E-10	-7.331731888E-10	-1.018225703E-6	1.218132155E-7	-6.148367926E-11	2.307182445E-9	-1.359004687E-9	2.520265247E-11
