Friday_SCM1_July2025.047.txt Mon, Aug 4, 2025 7:24:32 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.200000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 2.0 min, Elapsed time : 120 s
----------    F sweep at different temps  
Set Field 0 T at 0.3 T/min
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 4.6 mA Final: 4.6 mA Period: 1 min linear
Wait for 5.0 s, Elapsed time : 5 s
Sweep Keithley6221 ( GPIB0::20::INSTR ) Initial: 4.6 mA Final: 4.6 mA Period: 1 min linear
Wait for 25.0 min, Elapsed time : 1500 s
Wait for Field Stable, Target Field 0.0000 T, Current Field -0.0002 T
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.2
Set Field 18 T at 0.2 T/min
Wait for Field Stable, Target Field 18.0000 T, Current Field 17.9980 T
***** End of Sequence History ***
Field_047	Timestamp_047	Tmc_047	Tcoil_047	B1x1_047	B1y1_047	B1x2_047	B1y2_047	B1x3_047	B1y3_047	T1x1_047	T1y1_047	T1x2_047	T1y2_047	T1x3_047	T1y3_047	T3x1_047	T3y1_047	T3x2_047	T3y2_047	T3x3_047	T3y3_047
7.000000000E-5	2.827113001E-1	4.628350000E-1	4.681140000E-1	3.098231673E-6	6.545179758E-7	1.902901392E-9	-2.381199404E-10	2.311831421E-10	1.012303796E-9	2.714796494E-7	4.786986807E-8	-5.984980844E-10	-1.259359728E-9	-1.313717191E-10	-2.489819462E-10	-7.879295936E-7	1.214626906E-7	4.043902713E-10	-9.709525406E-10	-5.384860891E-10	-4.499951522E-10
7.000000000E-5	6.296811001E-1	4.629270000E-1	4.682760000E-1	3.098371280E-6	6.544227063E-7	1.409315553E-9	-4.182181545E-10	1.417915924E-10	1.479224188E-9	2.717586369E-7	4.802337727E-8	-7.536561930E-10	-1.242032366E-9	-1.669628463E-10	-1.317109477E-10	-7.873686059E-7	1.214938550E-7	7.847443251E-10	-9.437460813E-10	-9.301846099E-11	-7.209536301E-10
3.900000000E-4	1.074011300E+0	4.631780000E-1	4.673240000E-1	3.098702336E-6	6.546148370E-7	8.999077039E-10	-5.077419596E-10	3.709209051E-10	1.670962813E-9	2.719305314E-7	4.832643796E-8	-1.187116738E-9	-1.202582589E-9	-4.663422426E-11	8.495928266E-11	-7.871505545E-7	1.214220191E-7	8.141249341E-10	-1.121034043E-9	4.399043907E-10	-1.029196728E-9
1.770000000E-3	1.674758000E+0	4.635880000E-1	4.670350000E-1	3.099099331E-6	6.556600170E-7	6.805204178E-10	-7.157943682E-10	9.638086995E-10	1.228574464E-9	2.718318512E-7	4.852282132E-8	-2.031286250E-9	-9.821806701E-10	1.754061202E-10	9.731371264E-11	-7.869939509E-7	1.216325813E-7	4.171752665E-10	-1.656476623E-9	3.735318999E-10	-9.316809546E-10
3.270000000E-3	2.274518600E+0	4.638310000E-1	4.674210000E-1	3.099482683E-6	6.563489592E-7	6.584386369E-10	-1.091005619E-9	1.251977522E-9	5.132236303E-10	2.716255096E-7	4.855763436E-8	-2.522244191E-9	-6.774992789E-10	3.628643219E-10	-1.830008367E-11	-7.869825822E-7	1.218630672E-7	2.015970446E-10	-1.887109580E-9	1.985202107E-11	-5.342675191E-10
5.170000000E-3	2.673616500E+0	4.636890000E-1	4.670510000E-1	3.099821242E-6	6.566510251E-7	8.860600031E-10	-1.173757314E-9	1.378538728E-9	-3.864955231E-11	2.715539722E-7	4.850881297E-8	-2.662097653E-9	-4.367081141E-10	5.814687065E-10	2.192767495E-11	-7.871494745E-7	1.218350434E-7	5.521639049E-11	-1.862779930E-9	-2.188009773E-10	2.393136383E-11
7.660000000E-3	3.273212400E+0	4.637660000E-1	4.667120000E-1	3.100156164E-6	6.570157893E-7	1.294441332E-9	-9.459238948E-10	1.479012912E-9	-3.989779895E-10	2.713757112E-7	4.846608093E-8	-2.663765653E-9	-4.017212951E-10	8.140191299E-10	4.826786540E-11	-7.874126027E-7	1.215836676E-7	1.160423632E-10	-1.629304802E-9	-1.859484788E-10	4.132298392E-10
8.970000000E-3	3.675111000E+0	4.639860000E-1	4.669450000E-1	3.100354661E-6	6.571872291E-7	1.617927570E-9	-6.388478080E-10	1.737928468E-9	-4.384188845E-10	2.709390117E-7	4.845441382E-8	-2.410059041E-9	-6.450467382E-10	8.848999866E-10	7.623637138E-11	-7.877103485E-7	1.213729490E-7	2.951180689E-10	-1.353751333E-9	1.097793453E-10	7.012792014E-10
1.080000000E-2	4.073829900E+0	4.639310000E-1	4.668370000E-1	3.100768254E-6	6.572734605E-7	1.777303527E-9	-4.057684189E-10	1.919484349E-9	-4.266626774E-10	2.701807489E-7	4.828732969E-8	-1.922878745E-9	-1.065538768E-9	6.635422767E-10	2.581504732E-10	-7.880346971E-7	1.213628735E-7	5.196699737E-10	-9.872327400E-10	4.718381796E-10	8.920439387E-10
1.191000000E-2	4.474188300E+0	4.638490000E-1	4.666140000E-1	3.101590210E-6	6.573187647E-7	1.749137835E-9	-8.788311745E-11	1.868902144E-9	-1.882317496E-10	2.698640458E-7	4.813196242E-8	-1.491745061E-9	-1.322593368E-9	3.855887831E-10	5.559073202E-10	-7.881347983E-7	1.215770737E-7	6.692435495E-10	-8.086225578E-10	7.151097492E-10	8.606156898E-10
