Friday_SCM1_July2025.048.txt Mon, Aug 4, 2025 8:54:41 AM Conan The Scientist
Magnet: None
Trigger spacing of 0.100000 on column #0
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

This data's for you!
***** Start of Sequence History ***
Wait for 5.0 s, Elapsed time : 5 s
Start Trigger 0 at 0.1
Set Field 0 T at 0.2 T/min
Wait for Field Stable, Target Field 0.0000 T, Current Field 0.0018 T
Wait for 5.0 s, Elapsed time : 5 s
***** End of Sequence History ***
Field_048	Timestamp_048	Tmc_048	Tcoil_048	B1x1_048	B1y1_048	B1x2_048	B1y2_048	B1x3_048	B1y3_048	T1x1_048	T1y1_048	T1x2_048	T1y2_048	T1x3_048	T1y3_048	T3x1_048	T3y1_048	T3x2_048	T3y2_048	T3x3_048	T3y3_048
1.800033000E+1	3.774043999E-1	4.524150000E-1	5.990810000E-1	-9.230213891E-7	8.452443581E-7	2.784554587E-9	2.023746282E-9	2.136186117E-9	2.252579234E-9	4.989847184E-7	5.131290237E-8	-1.452035381E-9	-1.594385623E-9	-6.635096472E-9	-7.034726135E-9	-2.857297545E-7	1.684051654E-7	2.077400030E-9	-3.638858381E-10	4.358930106E-9	3.094691392E-9
1.800040000E+1	6.737581999E-1	4.521920000E-1	6.011750000E-1	-9.193554433E-7	8.470089483E-7	2.888833395E-9	1.800929961E-9	1.812483275E-9	2.201117288E-9	4.990977232E-7	5.184538310E-8	-1.442977848E-9	-1.945940964E-9	-9.369084175E-9	-5.474176668E-9	-2.863936288E-7	1.683721393E-7	1.270709649E-9	-4.417697597E-10	4.263583708E-9	1.496639923E-9
1.799922000E+1	1.313779400E+0	4.519730000E-1	6.003310000E-1	-9.135884511E-7	8.521186032E-7	3.014600569E-9	1.358421930E-9	1.368773539E-9	2.219737949E-9	4.993953553E-7	5.229549061E-8	-1.294383822E-9	-1.676938255E-9	-1.088396306E-8	-4.619514105E-9	-2.862971087E-7	1.687731128E-7	6.369963446E-10	-4.317786406E-10	3.880305854E-9	3.450296715E-10
1.799797000E+1	1.713737100E+0	4.517440000E-1	5.999720000E-1	-9.077903087E-7	8.554335409E-7	2.848649316E-9	9.422974623E-10	1.201986510E-9	2.307349867E-9	4.998522059E-7	5.219242993E-8	-1.187813736E-9	-1.183345644E-9	-1.132158101E-8	-4.168368317E-9	-2.865251076E-7	1.693901481E-7	2.392089582E-10	-4.521574504E-10	2.635111462E-9	-4.436015166E-10
1.799660000E+1	2.114763100E+0	4.518220000E-1	6.003350000E-1	-9.025073950E-7	8.561220852E-7	2.712557956E-9	7.506990585E-10	1.316491360E-9	2.177508618E-9	5.000194960E-7	5.152328342E-8	-1.192464683E-9	-4.165983114E-10	-1.027014296E-8	-3.698247708E-9	-2.868378033E-7	1.696869845E-7	-1.632477486E-10	-6.220353122E-10	1.024718643E-9	-5.677632808E-10
1.799496000E+1	2.514386900E+0	4.514380000E-1	5.984090000E-1	-8.976078334E-7	8.549292829E-7	2.666942001E-9	9.513496657E-10	1.657647575E-9	2.091639750E-9	4.998216809E-7	5.098520362E-8	-1.016923323E-9	-1.855795656E-10	-7.236710786E-9	-4.036718959E-9	-2.871274205E-7	1.697637941E-7	-4.567959899E-10	-7.799305646E-10	6.704223982E-11	-1.971334485E-10
1.799300000E+1	3.013892500E+0	4.509680000E-1	5.996220000E-1	-8.948514960E-7	8.542329510E-7	2.657137399E-9	1.221801771E-9	2.342540828E-9	1.947614958E-9	4.989699960E-7	5.017055571E-8	-6.034744371E-10	-4.568101800E-11	-2.572709379E-9	-4.993450542E-9	-2.871080369E-7	1.694515817E-7	-3.846371277E-10	-7.450129402E-10	-3.819554950E-10	-3.421870565E-10
1.799110000E+1	3.514953100E+0	4.509480000E-1	6.000370000E-1	-8.958576814E-7	8.542289152E-7	2.709298563E-9	1.304808039E-9	2.804305899E-9	1.611579314E-9	4.981149004E-7	4.946788934E-8	-4.806175458E-10	-1.934100380E-10	1.967897789E-10	-5.986807494E-9	-2.885806793E-7	1.682015949E-7	1.283844281E-10	-1.948938233E-11	2.402056609E-10	-1.643052916E-9
1.798809000E+1	4.314280100E+0	4.509090000E-1	6.004500000E-1	-8.957886735E-7	8.493626638E-7	2.768973495E-9	1.294195084E-9	2.790478959E-9	1.348017475E-9	4.974996273E-7	4.929218633E-8	-1.068451022E-10	-3.033891541E-11	1.900102575E-10	-4.795574160E-9	-2.883245145E-7	1.669272649E-7	4.149786903E-10	6.654429785E-10	1.008916173E-9	-2.226343332E-9
1.798606000E+1	4.813699900E+0	4.511900000E-1	6.015290000E-1	-9.012978808E-7	8.413380783E-7	2.695969004E-9	1.270299754E-9	2.645459407E-9	1.457425514E-9	4.972771421E-7	4.886594951E-8	4.298038592E-10	3.314426511E-11	1.947782040E-11	-3.018509220E-9	-2.880628642E-7	1.663626108E-7	5.356664001E-10	1.057620991E-9	2.139034949E-9	-2.447071879E-9
