B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file,M_muB_per_Yb_fixed_ctr_SUPERSEDED
2.82055e-05,-0.00200938,9.96167e-05,0.4755,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,-0.00139514
0.0249901,0.0141251,0.000699844,0.4951,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.00955552
0.0499597,0.0303057,0.00150124,0.4832,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0205276
0.0749729,0.0468197,0.00231941,0.4791,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0317292
0.0999797,0.0630111,0.00312134,0.4549,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0425709
0.124953,0.0786085,0.00389385,0.4652,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0531237
0.149975,0.0941919,0.0046659,0.4622,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0636132
0.174955,0.109043,0.00540164,0.4602,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0735926
0.199968,0.123549,0.00612026,0.4590,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.083312
0.224979,0.137791,0.00682571,0.4450,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.0929141
0.249968,0.151704,0.0075148,0.4524,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.102223
0.274961,0.165233,0.00818491,0.4463,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.111254
0.299961,0.178371,0.00883564,0.4479,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.120061
0.324969,0.191265,0.00947437,0.4341,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.128712
0.349958,0.203876,0.0100991,0.4313,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.137158
0.374962,0.216154,0.0107073,0.4355,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.145383
0.399968,0.228074,0.0112978,0.4417,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.153395
0.424964,0.239819,0.0118797,0.4461,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.161243
0.449957,0.251263,0.0124466,0.4305,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.168925
0.474958,0.26267,0.0130117,0.4399,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.176565
0.499964,0.273691,0.0135577,0.4382,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.183931
0.524958,0.284593,0.0140977,0.4418,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.191241
0.549949,0.295219,0.0146242,0.4455,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.198362
0.574951,0.305609,0.0151389,0.4493,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.205325
0.599976,0.315961,0.0156518,0.4451,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.212255
0.624967,0.326214,0.0161598,0.4476,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.219112
0.649958,0.336211,0.0166551,0.4452,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.225793
0.674981,0.346115,0.0171458,0.4473,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.2325
0.699971,0.355839,0.0176275,0.4484,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.238941
0.724961,0.365475,0.018105,0.4488,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.245476
0.749965,0.374995,0.0185766,0.4483,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.251818
0.774968,0.384581,0.0190515,0.4297,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.258205
0.799961,0.393951,0.0195159,0.4450,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.264496
0.824965,0.403057,0.0199671,0.4270,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.270545
0.849955,0.41236,0.0204281,0.4248,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.276883
0.874958,0.421421,0.0208772,0.4258,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.282932
0.899966,0.430425,0.0213231,0.4418,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.288971
0.924961,0.439165,0.0217563,0.4256,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.294803
0.949959,0.448032,0.0221957,0.4376,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.300765
0.974979,0.456628,0.0226215,0.4391,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.306247
0.999953,0.465257,0.0230494,0.4251,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.312174
1.02496,0.474094,0.0234873,0.4225,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.318165
1.04995,0.482596,0.0239087,0.4235,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.323953
1.07497,0.490935,0.024322,0.4392,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.3294
1.09998,0.499212,0.0247322,0.4264,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.33493
1.12495,0.506056,0.025072,0.4740,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.339206
1.14996,0.515915,0.025562,0.4445,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.346378
1.17495,0.524445,0.0259848,0.4376,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.352186
1.19998,0.532721,0.0263953,0.4355,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.357759
1.22498,0.541034,0.0268074,0.4341,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.363411
1.24995,0.548839,0.0271928,0.4291,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.369067
1.27495,0.556831,0.0275876,0.4279,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.374118
1.29997,0.565012,0.0279927,0.4336,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.379301
1.32497,0.572901,0.028384,0.4359,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.384856
1.34999,0.580957,0.0287833,0.4361,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.390129
1.37497,0.588974,0.0291805,0.4372,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.395587
1.39997,0.596888,0.0295727,0.4484,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.40088
1.42498,0.604735,0.0299612,0.4312,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.406107
1.44996,0.61283,0.0303624,0.4388,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.411491
1.47497,0.620743,0.0307544,0.4280,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.416593
1.49996,0.628592,0.0311435,0.4271,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.421931
1.52496,0.636456,0.0315331,0.4456,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.427155
1.54997,0.644274,0.0319207,0.4446,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.432575
1.57496,0.651969,0.0323018,0.4277,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.437599
1.59996,0.659844,0.032692,0.4456,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,0.442963
