B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
-3.88138e-06,0.000983784,3.47078e-06,2.4977,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.000582992,0.000995191,1.82598e-05,2.5001,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0046576,0.00246241,0.000112134,2.5005,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0114197,0.00509256,0.000125461,2.5024,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.018412,0.00775287,0.000118283,2.5039,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0257475,0.010392,0.000120536,2.5032,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0320415,0.0130445,0.000119918,2.5008,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.039724,0.0156928,0.000120955,2.4995,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0467175,0.0183458,0.000121584,2.4987,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0544131,0.0210024,0.000121541,2.4982,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0603839,0.023662,0.000122217,2.4980,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.068445,0.0263265,0.000121101,2.4974,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0743751,0.0289796,0.000121602,2.4975,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0820686,0.0316253,0.000120913,2.4984,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.088017,0.0342773,0.000120594,2.4991,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.0953694,0.0369285,0.000120752,2.4995,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.101946,0.0395712,0.000121152,2.4998,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.109787,0.0421183,0.000121167,2.4999,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.116383,0.0447521,0.000119351,2.5001,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.123585,0.0471196,0.00011504,2.5004,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.13075,0.0502466,8.76732e-05,2.5009,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.158217,0.0575459,0.000122516,2.4999,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.175223,0.0655563,0.000363154,2.4984,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.178852,0.067936,0.000762124,2.4982,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.185332,0.0709326,0.000128191,2.4997,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
0.192343,0.0736923,0.000116762,2.5009,Moment (emu),4.81,YZGO_BparaC_4.81MG_2.5K_06242026.DAT
