B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
3.88138e-05,-0.000289948,2.52661e-06,2.4978,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
6.82599e-05,-0.00030373,2.16143e-06,2.5007,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.00283136,8.02253e-05,5.07379e-05,2.5012,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.00907082,0.00165605,8.11596e-05,2.5031,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0150025,0.00342545,8.10344e-05,2.5056,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0219835,0.00521731,7.98454e-05,2.5054,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0293057,0.00696195,8.02994e-05,2.5037,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0362759,0.00873583,8.1064e-05,2.5016,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0432654,0.0105009,8.22132e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0513575,0.0122867,8.01397e-05,2.4991,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0576284,0.0140508,8.0036e-05,2.4970,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0642776,0.0158253,8.10638e-05,2.4962,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.071946,0.0175718,8.12625e-05,2.4955,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0778791,0.0193199,7.93984e-05,2.4955,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0859265,0.0211,8.13499e-05,2.4962,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0932859,0.0227885,8.02489e-05,2.4971,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.0999341,0.0245319,8.2987e-05,2.4986,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.106212,0.0263678,7.88777e-05,2.4994,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.113546,0.0281261,8.307e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.120543,0.0299033,8.39046e-05,2.5009,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.128942,0.031688,7.92684e-05,2.5014,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.134544,0.0334494,8.12211e-05,2.5017,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.140845,0.03521,7.9264e-05,2.5018,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.147823,0.0369778,7.92182e-05,2.5018,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.15515,0.0387249,7.97118e-05,2.5016,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.162833,0.040494,7.77791e-05,2.5012,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.17018,0.0422613,8.14425e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.176815,0.0440017,7.90258e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.184142,0.0457682,8.41528e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.190445,0.0475301,8.24488e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.196742,0.0492935,8.26623e-05,2.4997,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.204085,0.0510654,8.01583e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.21281,0.052841,8.05702e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.21805,0.0545651,8.02625e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.224717,0.0563225,7.87612e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.232788,0.058125,8.02065e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.239435,0.0598669,8.05371e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.247464,0.0616212,8.11727e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.252702,0.0633932,7.96776e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.259685,0.0651143,8.23437e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.266677,0.0668618,8.50076e-05,2.4997,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.273314,0.0686534,7.85974e-05,2.4997,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.280646,0.0703909,8.10826e-05,2.4997,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.28834,0.0721618,8.25495e-05,2.4998,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.295305,0.0738797,8.34882e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.302962,0.0756442,8.2743e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.309257,0.0773973,8.44981e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.315187,0.0790697,7.84674e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.323199,0.0808747,8.22975e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.329137,0.082553,6.99071e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
