[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3968764552.84836,10/04/2025,6:35 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1360,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM110,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI091,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,,SAMPLE_HOLDER
INFO,50.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3968764569.98151,1.55596315860748,0.282055497169495,,,6,,,,39.6859999681115,,,10,,1.55394625663757,1.55759501457214,0.282055497169495,0.282055497169495,,,3.01992416381836,,1,0,0,0,0.00030517578125,35.6793746948242,6,1,1,1.55703091621399,0,2885687328,1.55574460406052,,,-0.000209602248139278,1.47601078369944E-5,-0.00030188330782197,1.4966111440724E-5,0.288843631744385,0.947469294071198,36.7090682983398,6.05880069732666,30,4,200,0.000492137740366161,-0.0244143884629011,0.121301531791687,1,0.47554874420166,,,,,,,,,,,,,,,
,3968764607.24821,1.5566897392273,249.901168823242,,,6,,,,39.6859999681115,,,10,,1.5550833940506,1.55628216266632,249.901168823242,249.901168823242,,,3.01018905639648,,1,0,0,0,0.00030517578125,34.7018585205078,6,1,1,1.55781722068787,0,2885687680,1.55541740523444,,,0.00143559275227668,0.000103663513927926,0.00212211548404898,0.000105142538623096,0.272028297185898,0.960479021072388,36.6415634155273,0,30,4,200,0.000436280970461667,-0.978362083435059,0.159110352396965,1,0.495141685009003,,,,,,,,,,,,,,,
,3968764639.36329,1.55630022287369,499.597229003906,,,6,,,,39.6859999681115,,,10,,1.55480599403381,1.55559241771698,499.597229003906,499.597229003906,,,3.0061981678009,,1,0,0,0,0.013885498046875,35.190616607666,6,1,1,1.55747222900391,0,2885687712,1.5550936460495,,,0.00308399839251057,0.000222436385363302,0.00455303245676131,0.0002255419209089,0.272777110338211,0.965628147125244,36.6441040039063,0,30,4,200,-0.00455016456544399,-2.16574573516846,0.45423212647438,1,0.483152061700821,,,,,,,,,,,,,,,
,3968764672.47825,1.55629622936249,749.729187011719,,,6,,,,39.6859999681115,,,10,,1.55490577220917,1.55612146854401,749.729187011719,749.729187011719,,,3.00378346443176,,1,0,0,0,0.0003814697265625,35.190616607666,6,1,1,1.55740964412689,0,2885687840,1.55526371796926,,,0.00476690007835832,0.000343738176387059,0.00703405607421177,0.000348461271999062,0.272926151752472,0.96417111158371,36.64453125,0,30,4,200,-0.00788925215601921,-3.29174327850342,0.618717551231384,1,0.479090481996536,,,,,,,,,,,,,,,
,3968764704.19826,1.55699336528778,999.796997070312,,,6,,,,39.6859999681115,,,10,,1.5556652545929,1.55690443515778,999.796997070312,999.796997070312,,,3.00691080093384,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55781245231628,0,2885687456,1.55605823463864,,,0.00639572564164439,0.00046245393622596,0.00946659990339866,0.000468941044699511,0.271161496639252,0.965786278247833,36.6367683410645,0.228037536144257,30,4,200,-0.0112407049164176,-4.39718341827393,0.894939959049225,1,0.45492148399353,,,,,,,,,,,,,,,
,3968764740.87784,1.55744934082031,1249.53149414062,,,6,,,,39.6859999681115,,,100,,1.55584299564362,1.55878531932831,1249.53149414062,1249.53149414062,,,3.00617718696594,,1,0,0,0,0.00030517578125,34.7018585205078,6,1,1,1.55847895145416,0,2885687552,1.55688407686022,,,0.0079811438128438,0.00057671963685683,0.0118099000415541,0.000585001064685532,0.271575212478638,0.96672785282135,36.6386680603027,0,30,4,200,-0.00120950024574995,-4.8428692817688,4.90452814102173,1,0.46517351269722,,,,,,,,,,,,,,,
,3968764778.31331,1.55739468336105,1499.75317382813,,,6,,,,39.6859999681115,,,100,,1.55586230754852,1.55727088451386,1499.75317382813,1499.75317382813,,,3.00077247619629,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55841147899628,0,2885687456,1.55631688833237,,,0.00955705930126255,0.000691123059405278,0.0141511162668014,0.000700990659339053,0.271083980798721,0.96597421169281,36.6361503601074,0.0876256823539734,30,4,200,-0.00282500078901649,-0.668255150318146,0.133797317743301,1,0.462162435054779,,,,,,,,,,,,,,,
,3968764811.4227,1.55792540311813,1749.5517578125,,,6,,,,39.6859999681115,,,100,,1.5564067363739,1.55718541145325,1749.5517578125,1749.5517578125,,,3.00257778167725,,1,0,0,0,0.0003814697265625,36.1681327819824,6,1,1,1.55911910533905,0,2885687872,1.55673385990991,,,0.0110563398759186,0.000800105475861995,0.0163822830571412,0.000811525793562598,0.270633280277252,0.965548753738403,36.6332511901855,0.274405151605606,30,4,200,-0.00327924569137394,-0.761577010154724,0.146832063794136,1,0.460193306207657,,,,,,,,,,,,,,,
,3968764844.30149,1.55824649333954,1999.68383789062,,,6,,,,39.6859999681115,,,100,,1.55659687519073,1.55735874176025,1999.68383789062,1999.68383789062,,,3.0055205821991,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55929815769196,0,2885687936,1.55703291628096,,,0.0125165424587883,0.000906549388016024,0.0185616362758195,0.000919489522731358,0.270085155963898,0.965360462665558,36.6307182312012,0.0301631391048431,30,4,200,-0.00344001478515565,-0.871911942958832,0.173519864678383,1,0.458963990211487,,,,,,,,,,,,,,,
,3968764877.40021,1.55849021673203,2249.7900390625,,,6,,,,39.6859999681115,,,100,,1.55673956871033,1.55865550041199,2249.7900390625,2249.7900390625,,,3.0054759979248,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55971384048462,0,2885687744,1.5574411034584,,,0.0139591399785328,0.00101105743778494,0.020701251172648,0.0010254744911527,0.270070403814316,0.965515553951263,36.6296882629395,,30,4,200,-0.00363703537732363,-0.964481353759766,0.193752825260162,1,0.444963157176971,,,,,,,,,,,,,,,
,3968764910.27758,1.55875414609909,2499.67846679687,,,6,,,,39.6859999681115,,,100,,1.557049036026,1.55809140205383,2499.67846679687,2499.67846679687,,,3.00429034233093,,1,0,0,0,0.00030517578125,34.7018585205078,6,1,1,1.55977058410645,0,2885687680,1.55749507745107,,,0.0153577276720179,0.00111306440817014,0.0227915347550924,0.00112900074153499,0.269663900136948,0.966032922267914,36.6275024414063,6.0520658493042,30,4,200,-0.00394920632243156,-1.05968451499939,0.208932116627693,1,0.452350348234177,,,,,,,,,,,,,,,
,3968764943.22017,1.55884516239166,2749.60522460938,,,6,,,,39.6859999681115,,,100,,1.55719912052155,1.55853259563446,2749.60522460938,2749.60522460938,,,3.00584053993225,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55969393253326,0,2885687264,1.55764661894904,,,0.0167145301843773,0.00121230953456763,0.0248241788694581,0.00122967638105996,0.269184738397598,0.966349720954895,36.6249771118164,0.0223484393209219,30,4,200,-0.00404337234795094,-1.15767228603363,0.229997336864471,1,0.446325451135635,,,,,,,,,,,,,,,
,3968764976.1985,1.55902963876724,2999.60888671875,,,6,,,,39.6859999681115,,,100,,1.5574437379837,1.55855739116669,2999.60888671875,2999.60888671875,,,3.00609016418457,,1,0,0,0,0.0205230712890625,35.190616607666,6,1,1,1.56025636196136,0,2885687520,1.55773562855191,,,0.0180375831360233,0.0013086035499149,0.0267978909535189,0.00132744030128832,0.269022852182388,0.966461837291718,36.6241645812988,0,30,4,200,-0.00423054117709398,-1.24680984020233,0.245603755116463,1,0.44788447022438,,,,,,,,,,,,,,,
,3968765008.23712,1.55894100666046,3249.689453125,,,6,,,,39.6859999681115,,,100,,1.55761706829071,1.55872893333435,3249.689453125,3249.689453125,,,3.00616812705994,,1,0,0,0,0.01495361328125,35.190616607666,6,1,1,1.56032502651215,0,2885687872,1.55805680486891,,,0.0193372813800714,0.00140329066652583,0.0287351046324103,0.00142340173683293,0.26884326338768,0.966439187526703,36.6230506896973,1,30,4,200,-0.00442391261458397,-1.33198881149292,0.263778537511826,1,0.434126943349838,,,,,,,,,,,,,,,
,3968765041.18667,1.55916196107864,3499.57788085937,,,6,,,,39.6859999681115,,,100,,1.55774486064911,1.55898714065552,3499.57788085937,3499.57788085937,,,3.00558662414551,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56006729602814,0,2885687520,1.55812340312534,,,0.020606157326224,0.00149578270170669,0.0306297741113767,0.00151726204020572,0.268668293952942,0.966285586357117,36.6222229003906,0,30,4,200,-0.00453837821260095,-1.4267258644104,0.281618416309357,1,0.43134668469429,,,,,,,,,,,,,,,
,3968765074.50848,1.55946356058121,3749.6201171875,,,6,,,,39.6859999681115,,,100,,1.55789387226105,1.5588926076889,3749.6201171875,3749.6201171875,,,3.00423002243042,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56047213077545,0,2885687648,1.55820837285784,,,0.0218418951384345,0.00158574249736756,0.0324742918886255,0.00160863698342159,0.268564581871033,0.966181576251984,36.6217422485352,0,30,4,200,-0.00465990137308836,-1.50981724262238,0.298043996095657,1,0.435526788234711,,,,,,,,,,,,,,,
,3968765107.0732,1.55943757295609,3999.67504882812,,,6,,,,39.6859999681115,,,100,,1.55798268318176,1.55882978439331,3999.67504882812,3999.67504882812,,,3.00356268882751,,1,0,0,0,0.0189208984375,34.7018585205078,6,1,1,1.5605765581131,0,2885687936,1.55828864044613,,,0.0230455625166088,0.00167317817331972,0.0342651540851402,0.00169735249079504,0.268546313047409,0.96611750125885,36.6216621398926,0,30,4,200,-0.00492284540086985,-1.59008145332336,0.314023703336716,1,0.441729187965393,,,,,,,,,,,,,,,
,3968765139.25718,1.55949854850769,4249.640625,,,6,,,,39.6859999681115,,,100,,1.55827355384827,1.55877482891083,4249.640625,4249.640625,,,3.00138902664185,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56048035621643,0,2885687520,1.55845922893948,,,0.0242246798568129,0.00175932894025618,0.0360296370410404,0.00178477074772684,0.268350005149841,0.965896785259247,36.6207542419434,3.63214039802551,30,4,200,-0.00508391577750444,-1.67679309844971,0.333705216646194,1,0.446098357439041,,,,,,,,,,,,,,,
,3968765172.23381,1.5598658323288,4499.56689453125,,,6,,,,39.6859999681115,,,100,,1.5585423707962,1.55957555770874,4499.56689453125,4499.56689453125,,,3.0036928653717,,1,0,0,0,0.0209808349609375,35.190616607666,6,1,1,1.56118702888489,0,2885687584,1.55890595912933,,,0.0253788046449994,0.00184348111203965,0.0377490049226759,0.00186994452895798,0.268235296010971,0.965857028961182,36.6200332641602,3.63119864463806,30,4,200,-0.00511721987277269,-1.75794458389282,0.346978515386581,1,0.430520355701447,,,,,,,,,,,,,,,
,3968765205.27343,1.56025296449661,4749.583984375,,,6,,,,39.6859999681115,,,100,,1.55861294269562,1.56018352508545,4749.583984375,4749.583984375,,,3.00517082214355,,1,0,0,0,0.00030517578125,34.7018585205078,6,1,1,1.56137406826019,0,2885687392,1.55906483862135,,,0.0265266742184927,0.00192696211542542,0.0394628256936241,0.00195484197351765,0.268201738595963,0.965831935405731,36.6199226379395,0.0230440925806761,30,4,200,-0.00517699541524053,-1.83046281337738,0.36818328499794,1,0.439905613660812,,,,,,,,,,,,,,,
,3968765238.10283,1.56040114164352,4999.63916015625,,,6,,,,39.6859999681115,,,100,,1.55887150764465,1.56006395816803,4999.63916015625,4999.63916015625,,,3.00214123725891,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56122076511383,0,2885686976,1.5593412982093,,,0.0276331996449203,0.00200792352833466,0.0411185929977088,0.002036863861086,0.268018394708633,0.965820372104645,36.6189079284668,0,30,4,200,-0.00523070665076375,-1.90722572803497,0.382262766361237,1,0.438233226537704,,,,,,,,,,,,,,,
,3968765271.25534,1.56052923202515,5249.57861328125,,,6,,,,39.6859999681115,,,100,,1.55908095836639,1.56071066856384,5249.57861328125,5249.57861328125,,,3.00222182273865,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56165373325348,0,2885687328,1.55951526429918,,,0.028731513974245,0.00208783809912873,0.042756472738352,0.00211800239431385,0.267985850572586,0.96576714515686,36.6188812255859,0.0843285620212555,30,4,200,-0.00520249223336577,-1.98504793643951,0.395267188549042,1,0.441760659217834,,,,,,,,,,,,,,,
,3968765304.09406,1.56092083454132,5499.49267578125,,,6,,,,39.6859999681115,,,100,,1.55915915966034,1.56103348731995,5499.49267578125,5499.49267578125,,,3.00541305541992,,1,0,0,0,0.00030517578125,36.6568908691406,6,1,1,1.56208848953247,0,2885687680,1.55982743501663,,,0.0298013098033926,0.00216594398783567,0.044352797603856,0.00219709266748709,0.267878413200378,0.965578675270081,36.6182136535645,0,30,4,200,-0.00525068864226341,-2.05999660491943,0.41939052939415,1,0.445498675107956,,,,,,,,,,,,,,,
,3968765337.24491,1.56030148267746,5749.50927734375,,,6,,,,39.6859999681115,,,100,,1.55897486209869,1.5601372718811,5749.50927734375,5749.50927734375,,,3.00088953971863,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.561732172966,0,2885687680,1.55935733848148,,,0.0308473851192654,0.00224216276001381,0.0459137180154837,0.00227442917015936,0.267824739217758,0.965413928031921,36.6179313659668,0,30,4,200,-0.00536644877865911,-2.12575173377991,0.429263442754745,1,0.449320107698441,,,,,,,,,,,,,,,
