[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3991458662.70676,06/24/2026,10:30 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1372,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM914,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,880,PREAMP_SERIAL_NUMBER
INFO,1010,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 36.32 mm touchdown = 8.220000192523 mm,3991458676.884,2.49768137931824,-0.0388138443231583,5.82722597054927E-5,2.05584179606624E-7,1,0.999253354069792,40.0298881530762,2.00110634390724,12.8499995917082,0.000587146807181495,9.52025198535877E-5,0.25,-1.02654163564329E-6,5.78701477050034E-5,-7.38853102881371E-7,2.49768137931824,2.49768137931824,-0.0388138443231583,-0.0388138443231583,47.2377195597165,18.2444322859955,3.66635727882385,0,0,0,40,2.47972536087036,1,4,1,2.041015625,39.1006851196289,,,,,,,,,,,,,,,,
,3991458685.446,2.50013983249664,5.82991778105497,5.8947950844978E-5,1.0815795415934E-6,1,0.999253354069792,40.0298881530762,2.00083158014099,12.8499995917082,0.000591106190064409,0.000111668784103473,0.25,4.92494689351958E-7,5.85338111743435E-5,7.72830593724493E-7,2.50018954277039,2.50018954277039,-0.0388138443231583,11.6986494064331,47.2197421037742,18.2479209907111,3.66777014732361,0,0,0,40,2.48503160476685,1,6,1,2.02423095703125,39.1006851196289,,,,,,,,,,,,,,,,
,3991458686.3875,2.50052917003632,46.5760040283203,0.000145855280867197,6.6420091232198E-6,1,0.999253354069792,40.0298881530762,2.00083312334105,12.8499995917082,0.00146125651583108,0.000283645259879415,0.25,1.94950630742172E-6,0.000144827184070871,2.63819489269476E-6,2.5000901222229,2.5000901222229,17.1151123046875,76.0368957519531,47.4401613461973,18.2482730531991,3.66780638694763,0,0,0,40,2.48832082748413,1,6,1,2.01751708984375,38.6119270324707,,,,,,,,,,,,,,,,
,3991458687.384,2.50243103504181,114.197227478027,0.000301646628656066,7.43141157389151E-6,1,0.999253354069792,40.0298881530762,2.00072468023983,12.8600001335144,0.00302661805935862,0.000560461441911263,0.25,1.42984339355579E-6,0.00029953350074708,2.87299015715509E-6,2.50096821784973,2.50096821784973,82.8456115722656,145.548843383789,47.290088670505,18.2483282484985,3.67045283317566,0,0,0,40,2.48795080184937,1,6,1,2.03460693359375,39.5894432067871,,,,,,,,,,,,,,,,
,3991458688.397,2.50386559963226,184.120048522949,0.000459224167845089,7.00624625239576E-6,1,0.999253354069792,40.0298881530762,2.00082766481004,12.8600001335144,0.00460758086877863,0.000855229930523644,0.25,2.36922633667808E-6,0.00045600725888453,4.56613365165035E-6,2.50389385223389,2.50389385223389,152.596282958984,215.643814086914,47.3940452635627,18.2503716446291,3.67000079154968,0,0,0,40,2.48460650444031,1,6,1,2.01629638671875,38.6119270324707,,,,,,,,,,,,,,,,
,3991458689.4715,2.50317394733429,257.475166320801,0.00061554590107658,7.13967397417234E-6,1,0.999253354069792,40.0298881530762,2.00082766481004,12.8600001335144,0.00617566548790985,0.00114840938905205,0.25,3.37828203383106E-6,0.000611234527523335,6.32346341972123E-6,2.50383734703064,2.50383734703064,236.503219604492,278.447113037109,47.3541822090819,18.2503716446291,3.66849565505981,0,0,0,40,2.48335790634155,1,6,1,2.03536987304687,40.5669593811035,,,,,,,,,,,,,,,,
,3991458690.385,2.50076031684875,320.414779663086,0.000772663886773523,7.10306484919576E-6,1,0.999253354069792,40.0298881530762,2.00072206066047,12.8600001335144,0.00775169908276923,0.00144111061475489,0.25,4.20249615566566E-6,0.000767253994152084,7.90180479016855E-6,2.50124621391296,2.50124621391296,285.577972412109,355.251586914063,47.5636586522358,18.2493217425144,3.66810941696167,0,0,0,40,2.48250246047974,1,6,1,2.0318603515625,38.6119270324707,,,,,,,,,,,,,,,,
,3991458691.51,2.49949419498444,397.239837646484,0.000929527056297265,7.16450374463079E-6,1,0.999253354069792,40.0298881530762,2.00072206066047,12.8600001335144,0.00932488741306388,0.00173678298407609,0.25,5.3610101018589E-6,0.000923020117077404,9.81243368342452E-6,2.50009775161743,2.50009775161743,376.213775634766,418.265899658203,47.3971717776396,18.2493217425144,3.66766786575317,0,0,0,40,2.48201394081116,1,6,1,2.0159912109375,40.5669593811035,,,,,,,,,,,,,,,,
,3991458692.444,2.49871361255646,467.175369262695,0.00108667567603003,7.20173188761815E-6,1,0.999253354069792,40.0298881530762,2.00073348654721,12.8600001335144,0.0109013219624888,0.00203124756468238,0.25,6.34567767142512E-6,0.00107907128429201,1.15526873721341E-5,2.49889063835144,2.49889063835144,425.155181884766,509.195556640625,47.6066482207935,18.2497907907671,3.66696858406067,0,0,0,40,2.48147964477539,1,6,1,2.017822265625,39.5894432067871,,,,,,,,,,,,,,,,
,3991458693.5415,2.49823999404907,544.130615234375,0.00124403159659048,7.19921826898888E-6,1,0.999253354069792,40.0298881530762,2.00073348654721,12.8499995917082,0.0124800274327243,0.00232482763203362,0.25,7.20399790363769E-6,0.00123533025745101,1.31700556547339E-5,2.49818134307861,2.49818134307861,523.137817382812,565.123413085937,47.4331266895242,18.2497907907671,3.66683626174927,0,0,0,40,2.48132395744324,1,6,1,2.01812744140625,40.5669593811035,,,,,,,,,,,,,,,,
