[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3991476112.6924,06/24/2026,3:21 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1372,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM914,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,880,PREAMP_SERIAL_NUMBER
INFO,1010,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 34.68 mm touchdown = 11.1999996006489 mm,3991476126.908,2.49775338172913,0.388138443231583,-2.74933446892475E-5,2.39577682000255E-7,1,0.999253354069792,40.0298881530762,2.00340260703064,17.4700003117323,-0.000273785984637237,-6.45781907093521E-5,0.25,-1.46616242134104E-6,-2.72942354141983E-5,-1.58827147164929E-6,2.49775338172913,2.49775338172913,0.388138443231583,0.388138443231583,47.1837871918896,18.3146296470362,4.69270420074463,0,0,0,40,2.48984956741333,1,4,1,2.03079223632813,37.6344108581543,,,,,,,,,,,,,,,,
,3991476135.554,2.50069570541382,0.682598952203989,-2.88002241493563E-5,2.04950719004959E-7,1,0.999253354069792,40.0298881530762,2.00250377109314,17.4700003117323,-0.000286994625594404,-6.58656268310712E-5,0.25,-1.3613856959106E-6,-2.85924903291312E-5,-1.49051797245546E-6,2.50028538703918,2.50028538703918,0.0194069221615791,1.3457909822464,47.7442148401781,18.3458965457381,4.69450378417969,0,0,0,40,2.49466395378113,1,6,1,2.02041625976562,37.6344108581543,,,,,,,,,,,,,,,,
,3991476136.5955,2.50121259689331,28.3135929107666,7.60710030952039E-6,4.81105598296284E-6,1,0.999253354069792,40.0298881530762,2.00242763617325,17.4700003117323,7.34834172578678E-5,3.02589178255143E-5,0.25,1.63936713814877E-6,7.5460731692962E-6,1.66454124362132E-6,2.50110602378845,2.50110602378845,7.42302322387695,49.2041625976562,47.8122165213512,18.3367457541637,4.69464015960693,0,0,0,40,2.49734997749329,1,6,1,2.03140258789062,38.6119270324707,,,,,,,,,,,,,,,,
,3991476137.496,2.50313854217529,90.7082424163818,0.000157029483512781,7.69569087562028E-6,1,0.999253354069792,40.0298881530762,2.0021192947252,17.4700003117323,0.00157149824902656,0.000320350997685061,0.25,3.57035957229146E-6,0.000155915722530146,4.30176025940791E-6,2.50131916999817,2.50131916999817,62.8598670959473,118.556617736816,48.0967293023512,18.3566313619198,4.69671964645386,0,0,0,40,2.50122857093811,1,6,1,2.02545166015625,40.0782012939453,,,,,,,,,,,,,,,,
,3991476138.4045,2.50560259819031,150.024852752686,0.000324806789008073,7.68382632154108E-6,1,0.999253354069792,40.0298881530762,2.00215775230528,17.4700003117323,0.00325376168802294,0.000645226002868797,0.25,5.6513401192589E-6,0.00032251196756355,7.17701596147058E-6,2.50495791435242,2.50495791435242,118.556617736816,181.493087768555,47.5613137666781,18.361799706047,4.69783973693848,0,0,0,40,2.50086975097656,1,6,1,2.02896118164062,40.0782012939453,,,,,,,,,,,,,,,,
,3991476139.397,2.50537776947021,219.835441589355,0.000494714233160636,7.5710829941327E-6,1,0.999253354069792,40.0298881530762,2.00194297119183,17.4700003117323,0.00495700873744629,0.000973298369706153,0.25,7.67568880101857E-6,0.000491224611702293,1.00073351882537E-5,2.5062472820282,2.5062472820282,188.379547119141,251.29133605957,47.7872044087358,18.3601427587353,4.6974925994873,0,0,0,40,2.49713158607483,1,6,1,2.02545166015625,39.1006851196289,,,,,,,,,,,,,,,,
,3991476140.388,2.5036758184433,293.056777954102,0.000660143739387004,7.6141240318149E-6,1,0.999253354069792,40.0298881530762,2.00191764774998,17.4700003117323,0.00661282095164334,0.0013082930056228,0.25,1.11899594454782E-5,0.00065548433891698,1.42967439178155E-5,2.50450825691223,2.50450825691223,258.275451660156,327.838104248047,48.0216929645051,18.3616091357061,4.69575071334839,0,0,0,40,2.49223470687866,1,6,1,2.0477294921875,40.5669593811035,,,,,,,,,,,,,,,,
,3991476141.4325,2.50158715248108,362.759216308594,0.000828346621708721,7.68663052679248E-6,1,0.999253354069792,40.0298881530762,2.00194495523837,17.4700003117323,0.00829710979314065,0.00164593458128763,0.25,1.44631818456867E-5,0.000822500113068959,1.83612101740067E-5,2.50284337997437,2.50284337997437,327.838104248047,397.680328369141,47.8614591180628,18.363411358625,4.69414234161377,0,0,0,40,2.4917311668396,1,6,1,2.02667236328125,41.055721282959,,,,,,,,,,,,,,,,
,3991476142.4405,2.49994039535522,432.654037475586,0.000995709905921494,7.79559464952063E-6,1,0.999253354069792,40.0298881530762,2.00212891185025,17.4700003117323,0.00997508122055573,0.00197484991454775,0.25,1.70025646531556E-5,0.000988686660178789,2.16940788845487E-5,2.50033092498779,2.50033092498779,404.644561767578,460.663513183594,47.6238440482166,18.3675643000565,4.69244289398193,0,0,0,40,2.49056482315063,1,6,1,2.02102661132813,41.055721282959,,,,,,,,,,,,,,,,
,3991476143.5655,2.49905109405518,513.574584960937,0.00116504169373334,7.59898080991681E-6,1,0.999253354069792,40.0298881530762,2.0020424798788,17.4700003117323,0.0116700309409966,0.00231608628392719,0.25,2.04346597399491E-5,0.00115682520218739,2.59247918671838E-5,2.49954986572266,2.49954986572266,489.028747558594,538.120422363281,47.4511041454666,18.3638059253683,4.69124460220337,0,0,0,40,2.48927593231201,1,6,1,2.03079223632813,41.5444793701172,,,,,,,,,,,,,,,,
