# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.330313e-01 5.289919e-04 2.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
6.884923e-02 2.104726e-04 7.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
2.846722e-03 4.279949e-05 1.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.814650e-03 3.413563e-05 1.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.725259e-03 3.322733e-05 2.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.296112e-03 2.876708e-05 2.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.230760e-03 2.801535e-05 3.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.162793e-03 2.721155e-05 3.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.015472e-03 2.535520e-05 4.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.746972e-04 2.349511e-05 4.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
9.336954e-04 2.423760e-05 5.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.222244e-04 2.268267e-05 5.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
9.369425e-04 2.414360e-05 6.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.315562e-04 2.269953e-05 6.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
9.485941e-04 2.415683e-05 7.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.001239e-03 2.469384e-05 7.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.013804e-03 2.473439e-05 8.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.009826e-03 2.453532e-05 8.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
9.099436e-04 2.315755e-05 9.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.906434e-04 2.279967e-05 9.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.770542e-04 2.246654e-05 1.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.632052e-04 2.217005e-05 1.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.803261e-04 2.094516e-05 1.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.420464e-04 2.165521e-05 1.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.693201e-04 2.191189e-05 1.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.960349e-04 2.212615e-05 1.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.731031e-04 2.174633e-05 1.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.131223e-04 2.210766e-05 1.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.697314e-04 2.268123e-05 1.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.954162e-04 2.165361e-05 1.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.020245e-03 2.297496e-05 1.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.135123e-03 2.409185e-05 1.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.279221e-03 2.540241e-05 1.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.276450e-03 2.518898e-05 1.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.491731e-03 2.702011e-05 1.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.499038e-03 2.689779e-05 1.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.638617e-03 2.793041e-05 1.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.709722e-03 2.832315e-05 1.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.765938e-03 2.858009e-05 1.925000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.732140e-03 2.809204e-05 1.975000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.745892e-03 2.798580e-05 2.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.700535e-03 2.739283e-05 2.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.605372e-03 2.639974e-05 2.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.602231e-03 2.615087e-05 2.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.484172e-03 2.498077e-05 2.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.548696e-03 2.529070e-05 2.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.525249e-03 2.485489e-05 2.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.401346e-03 2.356020e-05 2.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.312647e-03 2.249259e-05 2.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.360127e-03 2.251996e-05 2.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.264133e-03 2.131997e-05 2.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.272554e-03 2.098410e-05 2.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.236400e-03 2.024009e-05 2.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.214146e-03 1.957414e-05 2.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.203203e-03 1.895010e-05 2.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.336343e-03 1.931031e-05 2.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.322910e-03 1.849737e-05 2.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.385640e-03 1.832994e-05 2.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
