# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.735746e-01 6.117649e-04 2.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
8.588275e-02 2.598220e-04 7.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
3.448905e-03 5.192357e-05 1.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.079598e-03 4.017104e-05 1.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.846885e-03 3.782578e-05 2.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.451248e-03 3.347062e-05 2.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.456994e-03 3.353190e-05 3.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.244793e-03 3.096547e-05 3.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.298727e-03 3.153597e-05 4.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.395031e-03 3.259287e-05 4.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.275839e-03 3.101681e-05 5.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.374940e-03 3.212347e-05 5.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.416708e-03 3.253590e-05 6.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.456344e-03 3.296291e-05 6.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.535094e-03 3.375681e-05 7.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.837234e-03 3.680377e-05 7.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.135844e-03 3.949868e-05 8.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.339881e-03 4.120957e-05 8.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.441330e-03 4.199234e-05 9.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.672842e-03 4.387038e-05 9.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.764964e-03 4.445783e-05 1.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.699988e-03 4.370788e-05 1.075000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.528210e-03 4.209032e-05 1.125000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.498120e-03 4.170514e-05 1.175000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.337358e-03 4.020401e-05 1.225000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.125901e-03 3.813337e-05 1.275000e+00 3.300000e-01 3.300000e-01 0.000000e+00
2.007750e-03 3.682885e-05 1.325000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.873089e-03 3.539829e-05 1.375000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.766297e-03 3.422156e-05 1.425000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.738856e-03 3.371523e-05 1.475000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.621635e-03 3.232968e-05 1.525000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.554092e-03 3.148774e-05 1.575000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.465162e-03 3.039285e-05 1.625000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.459336e-03 3.011692e-05 1.675000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.315594e-03 2.843932e-05 1.725000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.249382e-03 2.752747e-05 1.775000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.143359e-03 2.612101e-05 1.825000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.129439e-03 2.577612e-05 1.875000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.009116e-03 2.413662e-05 1.925000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.001124e-03 2.383664e-05 1.975000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.003459e-04 2.239727e-05 2.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.176792e-04 2.114096e-05 2.075000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.579775e-04 2.014342e-05 2.125000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.463589e-04 1.977885e-05 2.175000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.310159e-04 1.797811e-05 2.225000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.644699e-04 1.680727e-05 2.275000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.549318e-04 1.646499e-05 2.325000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.068196e-04 1.553800e-05 2.375000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.104806e-04 1.539206e-05 2.425000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.807712e-04 1.473952e-05 2.475000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.118211e-04 1.500238e-05 2.525000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.280396e-04 1.502023e-05 2.575000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.621879e-04 1.526782e-05 2.625000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.748152e-04 1.519089e-05 2.675000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.963767e-04 1.639676e-05 2.725000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.254950e-04 1.635541e-05 2.775000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.568512e-04 1.727745e-05 2.825000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.146543e-04 1.726297e-05 2.875000e+00 3.300000e-01 3.300000e-01 0.000000e+00
