# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.702083e-01 6.106326e-04 2.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
9.152498e-02 2.686946e-04 7.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
8.078365e-03 7.962963e-05 1.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
5.870141e-03 6.762062e-05 1.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
5.504959e-03 6.542422e-05 2.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
5.043639e-03 6.252035e-05 2.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
4.576125e-03 5.953590e-05 3.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
4.305122e-03 5.769486e-05 3.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
4.086314e-03 5.604548e-05 4.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
4.236511e-03 5.691867e-05 4.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
3.674098e-03 5.274627e-05 5.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
3.492250e-03 5.131242e-05 5.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
3.380634e-03 5.037330e-05 6.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
3.276116e-03 4.954739e-05 6.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.957860e-03 4.695626e-05 7.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.599614e-03 4.386653e-05 7.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.673663e-03 4.426710e-05 8.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.485942e-03 4.253377e-05 8.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.495768e-03 4.250329e-05 9.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
2.041767e-03 3.836733e-05 9.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.934589e-03 3.720380e-05 1.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.778310e-03 3.548131e-05 1.075000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.581683e-03 3.330061e-05 1.125000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.351121e-03 3.067579e-05 1.175000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.217520e-03 2.902166e-05 1.225000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.075683e-03 2.713069e-05 1.275000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.002925e-03 2.603481e-05 1.325000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.891156e-04 2.439843e-05 1.375000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.488706e-04 2.372682e-05 1.425000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.250325e-04 2.021515e-05 1.475000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.324166e-04 2.173064e-05 1.525000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.328333e-04 2.009265e-05 1.575000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.460414e-04 2.018899e-05 1.625000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.944185e-04 1.922507e-05 1.675000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.050277e-04 1.928778e-05 1.725000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.685008e-04 1.686190e-05 1.775000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.923275e-04 1.715125e-05 1.825000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.865728e-04 1.858649e-05 1.875000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.814251e-04 1.669064e-05 1.925000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.483518e-04 1.597212e-05 1.975000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.624743e-04 1.607235e-05 2.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.339101e-04 1.541858e-05 2.075000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.401075e-04 1.536948e-05 2.125000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.628920e-04 1.560441e-05 2.175000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.497486e-04 1.519590e-05 2.225000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.680674e-04 1.533237e-05 2.275000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.056130e-04 1.409643e-05 2.325000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.850452e-04 1.521764e-05 2.375000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.246934e-04 1.406346e-05 2.425000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.007039e-04 1.506997e-05 2.475000e+00 3.300000e-01 3.300000e-01 0.000000e+00
4.955290e-04 1.478103e-05 2.525000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.774884e-04 1.572966e-05 2.575000e+00 3.300000e-01 3.300000e-01 0.000000e+00
6.170502e-04 1.599711e-05 2.625000e+00 3.300000e-01 3.300000e-01 0.000000e+00
5.767737e-04 1.522146e-05 2.675000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.411074e-04 1.693233e-05 2.725000e+00 3.300000e-01 3.300000e-01 0.000000e+00
7.808123e-04 1.699174e-05 2.775000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.754158e-04 1.746825e-05 2.825000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.973309e-04 1.801998e-05 2.875000e+00 3.300000e-01 3.300000e-01 0.000000e+00
