# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.419263e-01 5.344908e-04 2.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
7.563986e-02 2.206588e-04 7.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
7.232276e-03 6.823526e-05 1.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
6.210587e-03 6.316339e-05 1.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
5.500234e-03 5.934522e-05 2.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
5.183069e-03 5.754011e-05 2.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
4.840470e-03 5.556804e-05 3.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
4.541163e-03 5.378035e-05 3.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.979332e-03 5.019881e-05 4.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.814654e-03 4.906754e-05 4.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.410450e-03 4.632479e-05 5.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.378325e-03 4.598185e-05 5.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.335606e-03 4.556107e-05 6.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.896045e-03 4.236971e-05 6.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.823548e-03 4.167643e-05 7.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.717385e-03 4.068068e-05 7.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.451323e-03 3.846204e-05 8.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.322136e-03 3.721273e-05 8.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.098574e-03 3.517234e-05 9.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.083729e-03 3.487460e-05 9.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.781776e-03 3.202245e-05 1.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.549955e-03 2.970826e-05 1.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.445894e-03 2.851041e-05 1.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.302181e-03 2.693094e-05 1.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.111731e-03 2.478496e-05 1.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.071109e-03 2.419402e-05 1.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.586672e-04 2.278684e-05 1.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.380144e-04 2.117672e-05 1.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.420258e-04 1.984579e-05 1.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.764104e-04 2.016836e-05 1.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.659262e-04 1.856988e-05 1.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.981974e-04 1.748862e-05 1.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.676656e-04 1.693219e-05 1.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.120412e-04 1.597028e-05 1.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.344150e-04 1.620199e-05 1.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.544091e-04 1.483713e-05 1.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.111568e-04 1.562671e-05 1.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.623014e-04 1.475281e-05 1.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.762333e-04 1.486798e-05 1.925000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.533229e-04 1.439323e-05 1.975000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.163229e-04 1.369622e-05 2.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.113845e-04 1.350459e-05 2.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.152688e-04 1.345919e-05 2.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.592596e-04 1.404024e-05 2.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.267420e-04 1.342807e-05 2.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.217724e-04 1.323249e-05 2.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.252526e-04 1.316159e-05 2.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.592725e-04 1.352011e-05 2.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.137143e-04 1.410794e-05 2.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.866960e-04 1.350941e-05 2.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.080316e-04 1.355894e-05 2.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.271034e-04 1.353834e-05 2.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.795221e-04 1.388573e-05 2.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.227156e-04 1.405941e-05 2.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.423873e-04 1.491457e-05 2.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.936967e-04 1.491048e-05 2.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.098514e-04 1.535898e-05 2.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.053283e-03 1.600509e-05 2.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
