# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 80x1x1x1
3.140614e-01 6.830819e-04 2.500000e-02 0.000000e+00 0.000000e+00 5.000000e-01
1.685321e-01 4.993511e-04 7.500000e-02 0.000000e+00 0.000000e+00 5.000000e-01
4.284134e-02 2.512529e-04 1.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.695315e-02 1.577057e-04 1.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.288528e-02 1.373578e-04 2.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
9.896229e-03 1.202574e-04 2.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
8.076673e-03 1.084534e-04 3.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
7.479820e-03 1.041682e-04 3.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
6.815849e-03 9.946184e-05 4.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
6.471901e-03 9.690921e-05 4.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
6.436384e-03 9.648562e-05 5.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
5.806202e-03 9.153007e-05 5.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
5.724835e-03 9.083621e-05 6.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
5.461674e-03 8.855358e-05 6.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
5.128716e-03 8.562156e-05 7.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
4.428492e-03 7.935919e-05 7.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
4.585862e-03 8.066516e-05 8.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
3.551137e-03 7.082483e-05 8.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
3.488768e-03 6.999985e-05 9.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
3.269282e-03 6.764205e-05 9.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
2.900915e-03 6.366814e-05 1.025000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.522645e-03 5.922953e-05 1.075000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.387804e-03 5.747501e-05 1.125000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.816377e-03 4.995640e-05 1.175000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.694796e-03 4.809029e-05 1.225000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.649064e-03 4.725142e-05 1.275000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.613172e-03 4.652960e-05 1.325000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.247807e-03 4.069907e-05 1.375000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.127919e-03 3.850662e-05 1.425000e+00 0.000000e+00 0.000000e+00 5.000000e-01
9.885934e-04 3.590742e-05 1.475000e+00 0.000000e+00 0.000000e+00 5.000000e-01
9.405439e-04 3.485897e-05 1.525000e+00 0.000000e+00 0.000000e+00 5.000000e-01
8.094943e-04 3.220003e-05 1.575000e+00 0.000000e+00 0.000000e+00 5.000000e-01
6.309981e-04 2.827576e-05 1.625000e+00 0.000000e+00 0.000000e+00 5.000000e-01
7.507336e-04 3.069987e-05 1.675000e+00 0.000000e+00 0.000000e+00 5.000000e-01
6.768597e-04 2.902020e-05 1.725000e+00 0.000000e+00 0.000000e+00 5.000000e-01
