# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 66x1x1x1
3.254298e+00 2.312130e-03 2.500000e-02 1.000000e+00 0.000000e+00 0.000000e+00
1.663771e+00 1.653547e-03 7.500000e-02 1.000000e+00 0.000000e+00 0.000000e+00
3.372045e-01 7.450953e-04 1.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
7.135425e-02 3.430417e-04 1.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
2.056148e-02 1.845287e-04 2.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
5.319426e-03 9.415292e-05 2.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
2.335682e-03 6.264795e-05 3.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.945801e-03 5.742857e-05 3.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.938318e-03 5.755977e-05 4.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.635291e-03 5.316797e-05 4.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.288603e-03 4.749859e-05 5.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.349910e-03 4.890214e-05 5.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.234399e-03 4.706110e-05 6.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.133628e-03 4.538151e-05 6.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.135576e-03 4.575374e-05 7.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.034179e-03 4.401766e-05 7.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.301566e-03 4.976671e-05 8.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.233848e-03 4.892533e-05 8.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
8.929958e-04 4.209629e-05 9.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.339433e-03 5.213747e-05 9.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.300313e-03 5.197106e-05 1.025000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.131042e-03 4.903697e-05 1.075000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.395132e-03 5.506156e-05 1.125000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.187956e-03 5.131200e-05 1.175000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.221509e-03 5.256550e-05 1.225000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.383859e-03 5.659032e-05 1.275000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.499731e-03 5.956205e-05 1.325000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.550062e-03 6.146408e-05 1.375000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.591026e-03 6.318787e-05 1.425000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.625184e-03 6.474902e-05 1.475000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.673396e-03 6.656430e-05 1.525000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.669157e-03 6.736185e-05 1.575000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.749985e-03 6.994365e-05 1.625000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.930481e-03 7.458120e-05 1.675000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.092301e-03 7.896903e-05 1.725000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.126729e-03 8.096345e-05 1.775000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.533897e-03 8.992491e-05 1.825000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.505146e-03 9.111155e-05 1.875000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.343186e-03 8.998987e-05 1.925000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.192942e-03 8.893587e-05 1.975000e+00 1.000000e+00 0.000000e+00 0.000000e+00
2.116947e-03 8.929832e-05 2.025000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.900355e-03 8.655917e-05 2.075000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.601748e-03 8.152710e-05 2.125000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.404410e-03 7.850922e-05 2.175000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.200848e-03 7.505331e-05 2.225000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.031749e-03 7.153930e-05 2.275000e+00 1.000000e+00 0.000000e+00 0.000000e+00
9.288764e-04 7.001699e-05 2.325000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.007442e-04 6.292908e-05 2.375000e+00 1.000000e+00 0.000000e+00 0.000000e+00
9.175090e-04 7.491469e-05 2.425000e+00 1.000000e+00 0.000000e+00 0.000000e+00
8.827871e-04 7.626158e-05 2.475000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.967105e-04 7.528246e-05 2.525000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.309277e-04 7.538991e-05 2.575000e+00 1.000000e+00 0.000000e+00 0.000000e+00
6.720496e-04 7.609516e-05 2.625000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.346780e-04 8.318634e-05 2.675000e+00 1.000000e+00 0.000000e+00 0.000000e+00
5.231885e-04 7.399062e-05 2.725000e+00 1.000000e+00 0.000000e+00 0.000000e+00
6.212761e-04 8.615611e-05 2.775000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.516699e-04 1.004468e-04 2.825000e+00 1.000000e+00 0.000000e+00 0.000000e+00
6.151049e-04 9.725722e-05 2.875000e+00 1.000000e+00 0.000000e+00 0.000000e+00
4.751636e-04 9.318794e-05 2.925000e+00 1.000000e+00 0.000000e+00 0.000000e+00
6.839991e-04 1.209163e-04 2.975000e+00 1.000000e+00 0.000000e+00 0.000000e+00
4.724663e-04 1.113626e-04 3.025000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.195114e-04 1.534013e-04 3.075000e+00 1.000000e+00 0.000000e+00 0.000000e+00
3.394085e-04 1.199993e-04 3.125000e+00 1.000000e+00 0.000000e+00 0.000000e+00
5.842744e-04 1.847648e-04 3.175000e+00 1.000000e+00 0.000000e+00 0.000000e+00
3.430909e-04 1.715457e-04 3.225000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.107042e-03 3.914061e-04 3.275000e+00 1.000000e+00 0.000000e+00 0.000000e+00
