# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 80x1x1x1
3.349856e-01 5.873189e-04 2.500000e-02 3.300000e-01 0.000000e+00 3.300000e-01
1.898642e-01 4.425611e-04 7.500000e-02 3.300000e-01 0.000000e+00 3.300000e-01
5.723245e-02 2.433950e-04 1.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
2.432855e-02 1.588915e-04 1.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.066764e-02 1.051114e-04 2.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
4.328505e-03 6.694995e-05 2.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.600266e-03 4.067310e-05 3.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.315646e-03 3.688892e-05 3.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.067431e-03 3.322771e-05 4.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
9.584371e-04 3.139469e-05 4.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.040491e-03 3.270759e-05 5.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.031729e-03 3.249647e-05 5.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.221054e-03 3.530774e-05 6.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.223873e-03 3.527147e-05 6.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.560053e-03 3.985757e-05 7.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.797442e-03 4.279631e-05 7.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.957704e-03 4.458556e-05 8.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
2.443092e-03 4.966299e-05 8.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
2.261494e-03 4.769778e-05 9.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
2.526572e-03 5.029071e-05 9.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
2.562655e-03 5.049147e-05 1.025000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.357391e-03 4.828135e-05 1.075000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.500065e-03 4.964523e-05 1.125000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.470126e-03 4.920619e-05 1.175000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.266880e-03 4.714499e-05 1.225000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.025191e-03 4.453400e-05 1.275000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.182196e-03 4.610741e-05 1.325000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.862423e-03 4.245968e-05 1.375000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.003301e-03 4.388320e-05 1.425000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.636450e-03 3.950437e-05 1.475000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.752656e-03 4.072651e-05 1.525000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.574320e-03 3.845539e-05 1.575000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.499655e-03 3.744470e-05 1.625000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.346851e-03 3.544354e-05 1.675000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.478731e-03 3.696838e-05 1.725000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.449419e-03 3.641813e-05 1.775000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.521444e-03 3.711956e-05 1.825000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.450517e-03 3.603850e-05 1.875000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.616598e-03 3.785218e-05 1.925000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.821826e-03 4.002337e-05 1.975000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.089727e-03 4.272781e-05 2.025000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.121043e-03 4.279932e-05 2.075000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.954418e-03 4.085932e-05 2.125000e+00 3.300000e-01 0.000000e+00 3.300000e-01
1.355659e-03 3.384933e-05 2.175000e+00 3.300000e-01 0.000000e+00 3.300000e-01
8.381244e-04 2.650393e-05 2.225000e+00 3.300000e-01 0.000000e+00 3.300000e-01
6.138696e-04 2.262762e-05 2.275000e+00 3.300000e-01 0.000000e+00 3.300000e-01
5.440926e-04 2.124335e-05 2.325000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.406242e-04 1.903216e-05 2.375000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.074866e-04 1.822344e-05 2.425000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.881275e-04 1.771561e-05 2.475000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.861790e-04 1.762667e-05 2.525000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.608988e-04 1.697536e-05 2.575000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.478706e-04 1.658419e-05 2.625000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.658437e-04 1.441750e-05 2.675000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.910326e-04 1.741810e-05 2.725000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.224356e-04 1.573335e-05 2.775000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.639987e-04 1.661433e-05 2.825000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.769417e-04 1.679046e-05 2.875000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.425205e-04 1.590124e-05 2.925000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.376367e-04 1.567452e-05 2.975000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.092903e-04 1.488087e-05 3.025000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.947292e-04 1.668053e-05 3.075000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.159008e-04 1.479357e-05 3.125000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.564821e-04 1.557318e-05 3.175000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.314824e-04 1.488418e-05 3.225000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.666289e-04 1.549310e-05 3.275000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.002951e-04 1.388135e-05 3.325000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.413209e-04 1.463425e-05 3.375000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.601300e-04 1.485172e-05 3.425000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.539918e-04 1.454924e-05 3.475000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.679212e-04 1.463545e-05 3.525000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.938601e-04 1.492959e-05 3.575000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.061939e-04 1.493239e-05 3.625000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.412545e-04 1.529817e-05 3.675000e+00 3.300000e-01 0.000000e+00 3.300000e-01
3.782287e-04 1.390442e-05 3.725000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.327783e-04 1.455641e-05 3.775000e+00 3.300000e-01 0.000000e+00 3.300000e-01
4.724158e-04 1.488024e-05 3.825000e+00 3.300000e-01 0.000000e+00 3.300000e-01
5.275778e-04 1.538519e-05 3.875000e+00 3.300000e-01 0.000000e+00 3.300000e-01
5.013524e-04 1.469564e-05 3.925000e+00 3.300000e-01 0.000000e+00 3.300000e-01
5.082188e-04 1.448004e-05 3.975000e+00 3.300000e-01 0.000000e+00 3.300000e-01
