# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
4.711598e-01 4.333349e-03 -3.280000e-01 2.500000e-02 5.000000e-01 0.000000e+00
7.917873e-02 1.781212e-03 -3.280000e-01 7.500000e-02 5.000000e-01 0.000000e+00
2.746578e-03 3.282795e-04 -3.280000e-01 1.250000e-01 5.000000e-01 0.000000e+00
1.364668e-03 2.340394e-04 -3.280000e-01 1.750000e-01 5.000000e-01 0.000000e+00
2.101201e-03 2.913848e-04 -3.280000e-01 2.250000e-01 5.000000e-01 0.000000e+00
1.517162e-03 2.461169e-04 -3.280000e-01 2.750000e-01 5.000000e-01 0.000000e+00
1.534660e-03 2.489553e-04 -3.280000e-01 3.250000e-01 5.000000e-01 0.000000e+00
1.490709e-03 2.418259e-04 -3.280000e-01 3.750000e-01 5.000000e-01 0.000000e+00
1.391906e-03 2.319851e-04 -3.280000e-01 4.250000e-01 5.000000e-01 0.000000e+00
1.084866e-03 2.050211e-04 -3.280000e-01 4.750000e-01 5.000000e-01 0.000000e+00
4.611674e-04 1.331276e-04 -3.280000e-01 5.250000e-01 5.000000e-01 0.000000e+00
1.084575e-03 2.049662e-04 -3.280000e-01 5.750000e-01 5.000000e-01 0.000000e+00
1.762774e-03 2.599074e-04 -3.280000e-01 6.250000e-01 5.000000e-01 0.000000e+00
1.893720e-03 2.678133e-04 -3.280000e-01 6.750000e-01 5.000000e-01 0.000000e+00
2.051865e-03 2.792244e-04 -3.280000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.893543e-03 3.276304e-04 -3.280000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.723997e-03 3.166593e-04 -3.280000e-01 8.250000e-01 5.000000e-01 0.000000e+00
3.384071e-03 3.528148e-04 -3.280000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.926982e-03 3.272479e-04 -3.280000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.173362e-03 2.805813e-04 -3.280000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.805807e-03 3.176966e-04 -3.280000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.731243e-03 3.132966e-04 -3.280000e-01 1.075000e+00 5.000000e-01 0.000000e+00
3.456513e-03 3.491623e-04 -3.280000e-01 1.125000e+00 5.000000e-01 0.000000e+00
2.642448e-03 3.031113e-04 -3.280000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.148073e-03 2.728072e-04 -3.280000e-01 1.225000e+00 5.000000e-01 0.000000e+00
2.185230e-03 2.731554e-04 -3.280000e-01 1.275000e+00 5.000000e-01 0.000000e+00
2.377886e-03 2.842134e-04 -3.280000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.736338e-03 2.407883e-04 -3.280000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.726386e-03 2.394080e-04 -3.280000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.707681e-03 2.368145e-04 -3.280000e-01 1.475000e+00 5.000000e-01 0.000000e+00
1.228873e-03 1.993509e-04 -3.280000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.474107e-03 2.173473e-04 -3.280000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.075631e-03 1.844707e-04 -3.280000e-01 1.625000e+00 5.000000e-01 0.000000e+00
2.423072e-03 2.743616e-04 -3.280000e-01 1.675000e+00 5.000000e-01 0.000000e+00
