# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
4.678764e-01 4.334056e-03 -3.280000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.818770e-02 1.898379e-03 -3.280000e-01 7.500000e-02 5.000000e-01 0.000000e+00
7.586099e-03 5.532746e-04 -3.280000e-01 1.250000e-01 5.000000e-01 0.000000e+00
5.720030e-03 4.834320e-04 -3.280000e-01 1.750000e-01 5.000000e-01 0.000000e+00
5.197718e-03 4.594190e-04 -3.280000e-01 2.250000e-01 5.000000e-01 0.000000e+00
5.373650e-03 4.642138e-04 -3.280000e-01 2.750000e-01 5.000000e-01 0.000000e+00
5.196657e-03 4.593252e-04 -3.280000e-01 3.250000e-01 5.000000e-01 0.000000e+00
5.286924e-03 4.567219e-04 -3.280000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.424944e-03 4.144351e-04 -3.280000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.197831e-03 4.039377e-04 -3.280000e-01 4.750000e-01 5.000000e-01 0.000000e+00
4.091469e-03 3.973998e-04 -3.280000e-01 5.250000e-01 5.000000e-01 0.000000e+00
4.265508e-03 4.067015e-04 -3.280000e-01 5.750000e-01 5.000000e-01 0.000000e+00
2.920650e-03 3.350227e-04 -3.280000e-01 6.250000e-01 5.000000e-01 0.000000e+00
3.411885e-03 3.596456e-04 -3.280000e-01 6.750000e-01 5.000000e-01 0.000000e+00
3.342699e-03 3.563341e-04 -3.280000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.891444e-03 3.273929e-04 -3.280000e-01 7.750000e-01 5.000000e-01 0.000000e+00
3.020560e-03 3.335666e-04 -3.280000e-01 8.250000e-01 5.000000e-01 0.000000e+00
3.459286e-03 3.567996e-04 -3.280000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.341217e-03 2.926534e-04 -3.280000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.027554e-03 2.709447e-04 -3.280000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.161758e-03 2.790829e-04 -3.280000e-01 1.025000e+00 5.000000e-01 0.000000e+00
1.725525e-03 2.490593e-04 -3.280000e-01 1.075000e+00 5.000000e-01 0.000000e+00
1.620756e-03 2.389691e-04 -3.280000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.736182e-03 2.455346e-04 -3.280000e-01 1.175000e+00 5.000000e-01 0.000000e+00
1.525696e-03 2.300087e-04 -3.280000e-01 1.225000e+00 5.000000e-01 0.000000e+00
1.162005e-03 1.992833e-04 -3.280000e-01 1.275000e+00 5.000000e-01 0.000000e+00
9.532232e-04 1.801436e-04 -3.280000e-01 1.325000e+00 5.000000e-01 0.000000e+00
8.670032e-04 1.700343e-04 -3.280000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.328918e-03 2.101214e-04 -3.280000e-01 1.425000e+00 5.000000e-01 0.000000e+00
8.549072e-04 1.676618e-04 -3.280000e-01 1.475000e+00 5.000000e-01 0.000000e+00
9.692292e-04 1.769576e-04 -3.280000e-01 1.525000e+00 5.000000e-01 0.000000e+00
5.114338e-04 1.278589e-04 -3.280000e-01 1.575000e+00 5.000000e-01 0.000000e+00
4.452089e-04 1.189875e-04 -3.280000e-01 1.625000e+00 5.000000e-01 0.000000e+00
4.361143e-04 1.165577e-04 -3.280000e-01 1.675000e+00 5.000000e-01 0.000000e+00
6.784466e-04 1.446466e-04 -3.280000e-01 1.725000e+00 5.000000e-01 0.000000e+00
2.431489e-04 8.596701e-05 -3.280000e-01 1.775000e+00 5.000000e-01 0.000000e+00
4.208343e-04 1.124747e-04 -3.280000e-01 1.825000e+00 5.000000e-01 0.000000e+00
2.922932e-04 9.243174e-05 -3.280000e-01 1.875000e+00 5.000000e-01 0.000000e+00
3.491991e-04 1.008065e-04 -3.280000e-01 1.925000e+00 5.000000e-01 0.000000e+00
6.852656e-04 1.398809e-04 -3.280000e-01 1.975000e+00 5.000000e-01 0.000000e+00
3.912638e-04 1.045706e-04 -3.280000e-01 2.025000e+00 5.000000e-01 0.000000e+00
3.323826e-04 9.595157e-05 -3.280000e-01 2.075000e+00 5.000000e-01 0.000000e+00
4.286386e-04 1.071608e-04 -3.280000e-01 2.125000e+00 5.000000e-01 0.000000e+00
2.666090e-04 8.431058e-05 -3.280000e-01 2.175000e+00 5.000000e-01 0.000000e+00
4.154149e-04 1.038558e-04 -3.280000e-01 2.225000e+00 5.000000e-01 0.000000e+00
5.075106e-04 1.134855e-04 -3.280000e-01 2.275000e+00 5.000000e-01 0.000000e+00
4.970328e-04 1.111418e-04 -3.280000e-01 2.325000e+00 5.000000e-01 0.000000e+00
4.850551e-04 1.084651e-04 -3.280000e-01 2.375000e+00 5.000000e-01 0.000000e+00
5.195125e-04 1.107639e-04 -3.280000e-01 2.425000e+00 5.000000e-01 0.000000e+00
3.694558e-04 9.236642e-05 -3.280000e-01 2.475000e+00 5.000000e-01 0.000000e+00
7.145208e-04 1.263149e-04 -3.280000e-01 2.525000e+00 5.000000e-01 0.000000e+00
5.217450e-04 1.065057e-04 -3.280000e-01 2.575000e+00 5.000000e-01 0.000000e+00
2.515995e-04 7.263445e-05 -3.280000e-01 2.625000e+00 5.000000e-01 0.000000e+00
6.847325e-04 1.174378e-04 -3.280000e-01 2.675000e+00 5.000000e-01 0.000000e+00
4.629212e-04 9.449884e-05 -3.280000e-01 2.725000e+00 5.000000e-01 0.000000e+00
7.035422e-04 1.141366e-04 -3.280000e-01 2.775000e+00 5.000000e-01 0.000000e+00
8.853038e-04 1.252140e-04 -3.280000e-01 2.825000e+00 5.000000e-01 0.000000e+00
7.372877e-04 1.111684e-04 -3.280000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.805171e-01 4.389804e-03 -3.180000e-01 2.500000e-02 5.000000e-01 0.000000e+00
9.036588e-02 1.909331e-03 -3.180000e-01 7.500000e-02 5.000000e-01 0.000000e+00
7.709351e-03 5.592965e-04 -3.180000e-01 1.250000e-01 5.000000e-01 0.000000e+00
5.969084e-03 4.906568e-04 -3.180000e-01 1.750000e-01 5.000000e-01 0.000000e+00
5.176238e-03 4.575203e-04 -3.180000e-01 2.250000e-01 5.000000e-01 0.000000e+00
5.484613e-03 4.668825e-04 -3.180000e-01 2.750000e-01 5.000000e-01 0.000000e+00
4.720841e-03 4.345898e-04 -3.180000e-01 3.250000e-01 5.000000e-01 0.000000e+00
4.132655e-03 4.052414e-04 -3.180000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.573650e-03 4.210398e-04 -3.180000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.636726e-03 4.232744e-04 -3.180000e-01 4.750000e-01 5.000000e-01 0.000000e+00
2.840231e-03 3.301713e-04 -3.180000e-01 5.250000e-01 5.000000e-01 0.000000e+00
3.205532e-03 3.497534e-04 -3.180000e-01 5.750000e-01 5.000000e-01 0.000000e+00
3.599996e-03 3.713125e-04 -3.180000e-01 6.250000e-01 5.000000e-01 0.000000e+00
3.409572e-03 3.594018e-04 -3.180000e-01 6.750000e-01 5.000000e-01 0.000000e+00
3.832394e-03 3.794655e-04 -3.180000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.543166e-03 3.084052e-04 -3.180000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.859759e-03 3.238051e-04 -3.180000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.099347e-03 2.756586e-04 -3.180000e-01 8.750000e-01 5.000000e-01 0.000000e+00
1.665002e-03 2.454924e-04 -3.180000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.399967e-03 2.954174e-04 -3.180000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.300400e-03 2.875515e-04 -3.180000e-01 1.025000e+00 5.000000e-01 0.000000e+00
