# Intensity Error [-0.5K,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 67x80x1x1
3.280601e-01 3.450401e-03 -3.230000e-01 2.500000e-02 0.000000e+00 5.000000e-01
2.164831e-01 2.816941e-03 -3.230000e-01 7.500000e-02 0.000000e+00 5.000000e-01
7.936292e-02 1.718797e-03 -3.230000e-01 1.250000e-01 0.000000e+00 5.000000e-01
4.743751e-02 1.319748e-03 -3.230000e-01 1.750000e-01 0.000000e+00 5.000000e-01
2.083293e-02 8.948522e-04 -3.230000e-01 2.250000e-01 0.000000e+00 5.000000e-01
1.088021e-02 6.479078e-04 -3.230000e-01 2.750000e-01 0.000000e+00 5.000000e-01
7.152013e-03 5.272541e-04 -3.230000e-01 3.250000e-01 0.000000e+00 5.000000e-01
6.871120e-03 5.208990e-04 -3.230000e-01 3.750000e-01 0.000000e+00 5.000000e-01
8.720448e-03 5.852788e-04 -3.230000e-01 4.250000e-01 0.000000e+00 5.000000e-01
6.770808e-03 5.223799e-04 -3.230000e-01 4.750000e-01 0.000000e+00 5.000000e-01
8.752222e-03 5.927762e-04 -3.230000e-01 5.250000e-01 0.000000e+00 5.000000e-01
5.789846e-03 4.858739e-04 -3.230000e-01 5.750000e-01 0.000000e+00 5.000000e-01
6.557161e-03 5.216605e-04 -3.230000e-01 6.250000e-01 0.000000e+00 5.000000e-01
4.927657e-03 4.536284e-04 -3.230000e-01 6.750000e-01 0.000000e+00 5.000000e-01
6.002242e-03 5.001876e-04 -3.230000e-01 7.250000e-01 0.000000e+00 5.000000e-01
3.778176e-03 3.982556e-04 -3.230000e-01 7.750000e-01 0.000000e+00 5.000000e-01
4.908579e-03 4.518720e-04 -3.230000e-01 8.250000e-01 0.000000e+00 5.000000e-01
5.179101e-03 4.650978e-04 -3.230000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.906104e-03 4.555212e-04 -3.230000e-01 9.250000e-01 0.000000e+00 5.000000e-01
3.103248e-03 3.607459e-04 -3.230000e-01 9.750000e-01 0.000000e+00 5.000000e-01
4.042607e-03 4.125977e-04 -3.230000e-01 1.025000e+00 0.000000e+00 5.000000e-01
3.427774e-03 3.785349e-04 -3.230000e-01 1.075000e+00 0.000000e+00 5.000000e-01
2.727323e-03 3.357107e-04 -3.230000e-01 1.125000e+00 0.000000e+00 5.000000e-01
2.362008e-03 3.101473e-04 -3.230000e-01 1.175000e+00 0.000000e+00 5.000000e-01
2.539701e-03 3.225428e-04 -3.230000e-01 1.225000e+00 0.000000e+00 5.000000e-01
1.378439e-03 2.364010e-04 -3.230000e-01 1.275000e+00 0.000000e+00 5.000000e-01
1.119072e-03 2.114851e-04 -3.230000e-01 1.325000e+00 0.000000e+00 5.000000e-01
1.666601e-03 2.571628e-04 -3.230000e-01 1.375000e+00 0.000000e+00 5.000000e-01
1.576702e-03 2.492993e-04 -3.230000e-01 1.425000e+00 0.000000e+00 5.000000e-01
9.482798e-04 1.935671e-04 -3.230000e-01 1.475000e+00 0.000000e+00 5.000000e-01
9.497713e-04 1.938718e-04 -3.230000e-01 1.525000e+00 0.000000e+00 5.000000e-01
1.100250e-03 2.079281e-04 -3.230000e-01 1.575000e+00 0.000000e+00 5.000000e-01
9.325140e-04 1.903490e-04 -3.230000e-01 1.625000e+00 0.000000e+00 5.000000e-01
6.923038e-04 1.631778e-04 -3.230000e-01 1.675000e+00 0.000000e+00 5.000000e-01
7.660884e-04 1.713032e-04 -3.230000e-01 1.725000e+00 0.000000e+00 5.000000e-01
6.037453e-04 1.509370e-04 -3.230000e-01 1.775000e+00 0.000000e+00 5.000000e-01
8.958857e-04 1.828723e-04 -3.230000e-01 1.825000e+00 0.000000e+00 5.000000e-01
1.412373e-03 2.291176e-04 -3.230000e-01 1.875000e+00 0.000000e+00 5.000000e-01
6.678493e-04 1.574141e-04 -3.230000e-01 1.925000e+00 0.000000e+00 5.000000e-01
1.405067e-03 2.279327e-04 -3.230000e-01 1.975000e+00 0.000000e+00 5.000000e-01
1.760043e-03 2.540414e-04 -3.230000e-01 2.025000e+00 0.000000e+00 5.000000e-01
2.025169e-03 2.706253e-04 -3.230000e-01 2.075000e+00 0.000000e+00 5.000000e-01
1.076996e-03 1.966323e-04 -3.230000e-01 2.125000e+00 0.000000e+00 5.000000e-01
4.220252e-04 1.218285e-04 -3.230000e-01 2.175000e+00 0.000000e+00 5.000000e-01
