# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
3.291549e-01 2.574040e-03 -3.230000e-01 2.500000e-02 0.000000e+00 5.000000e-01
1.956209e-01 1.994680e-03 -3.230000e-01 7.500000e-02 0.000000e+00 5.000000e-01
6.796787e-02 1.186410e-03 -3.230000e-01 1.250000e-01 0.000000e+00 5.000000e-01
3.298378e-02 8.225417e-04 -3.230000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.315038e-02 5.315731e-04 -3.230000e-01 2.250000e-01 0.000000e+00 5.000000e-01
3.410415e-03 2.713184e-04 -3.230000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.527058e-03 1.825185e-04 -3.230000e-01 3.250000e-01 0.000000e+00 5.000000e-01
6.651475e-04 1.214389e-04 -3.230000e-01 3.750000e-01 0.000000e+00 5.000000e-01
4.869222e-04 1.038122e-04 -3.230000e-01 4.250000e-01 0.000000e+00 5.000000e-01
5.471722e-04 1.116912e-04 -3.230000e-01 4.750000e-01 0.000000e+00 5.000000e-01
5.032620e-04 1.072959e-04 -3.230000e-01 5.250000e-01 0.000000e+00 5.000000e-01
5.177301e-04 1.103806e-04 -3.230000e-01 5.750000e-01 0.000000e+00 5.000000e-01
9.763817e-04 1.543798e-04 -3.230000e-01 6.250000e-01 0.000000e+00 5.000000e-01
3.022127e-04 8.724139e-05 -3.230000e-01 6.750000e-01 0.000000e+00 5.000000e-01
5.188834e-04 1.160261e-04 -3.230000e-01 7.250000e-01 0.000000e+00 5.000000e-01
3.215701e-04 9.282938e-05 -3.230000e-01 7.750000e-01 0.000000e+00 5.000000e-01
4.852604e-04 1.143771e-04 -3.230000e-01 8.250000e-01 0.000000e+00 5.000000e-01
4.926205e-04 1.161118e-04 -3.230000e-01 8.750000e-01 0.000000e+00 5.000000e-01
2.787147e-04 8.813736e-05 -3.230000e-01 9.250000e-01 0.000000e+00 5.000000e-01
7.779414e-04 1.470174e-04 -3.230000e-01 9.750000e-01 0.000000e+00 5.000000e-01
3.916299e-04 1.046676e-04 -3.230000e-01 1.025000e+00 0.000000e+00 5.000000e-01
