Ei_meV,T_K,B_T,n_runs,first_run,last_run,start_time,end_time,total_proton_charge_C,median_charge_per_run_C,omega_min_deg,omega_max_deg,n_unique_omega
3.32,0.07,0.0,490,664977,665466,2025-10-18 18:23:16,2025-10-24 10:24:30,49.31,0.1,-190.0,54.5,490
3.32,0.07,9.0,491,665467,666102,2025-10-24 11:37:41,2025-10-25 04:53:47,49.14,0.1,-190.0,54.5,490
3.32,0.07,14.0,490,665957,666447,2025-10-25 01:21:13,2025-10-25 12:18:08,49.03,0.1,-190.0,54.5,490
3.32,20.0,0.0,490,664476,664965,2025-10-17 22:12:32,2025-10-18 08:34:17,49.01,0.1,-190.0,54.5,490
4.65,0.07,0.0,491,667971,668461,2025-10-27 01:24:26,2025-10-27 08:09:13,30.31,0.03,-190.0,54.5,490
4.65,0.07,9.0,490,667481,667970,2025-10-26 11:22:51,2025-10-27 00:11:15,49.0,0.1,-190.0,54.5,490
4.65,0.07,14.0,543,666448,667480,2025-10-25 12:42:18,2025-10-26 10:52:28,54.12,0.1,-190.0,54.5,490
4.65,12.0,0.0,1,664966,664966,2025-10-18 10:40:19,2025-10-18 16:07:43,1.0,1.0,0.0,0.0,1
4.75,12.0,0.0,1,664967,664967,2025-10-18 16:08:20,2025-10-18 16:20:19,1.0,1.0,0.0,0.0,1
4.85,12.0,0.0,1,664968,664968,2025-10-18 16:20:56,2025-10-18 16:32:55,1.0,1.0,0.0,0.0,1
4.9,12.0,0.0,1,664969,664969,2025-10-18 16:33:47,2025-10-18 16:45:47,1.0,1.0,0.0,0.0,1
5.0,12.0,0.0,1,664970,664970,2025-10-18 16:46:24,2025-10-18 16:58:24,1.0,1.0,0.0,0.0,1
9.0,12.0,0.0,1,664971,664971,2025-10-18 17:00:01,2025-10-18 17:12:01,1.0,1.0,0.0,0.0,1
9.25,12.0,0.0,1,664972,664972,2025-10-18 17:12:39,2025-10-18 17:24:39,1.0,1.0,0.0,0.0,1
9.5,12.0,0.0,1,664973,664973,2025-10-18 17:25:27,2025-10-18 17:37:27,1.0,1.0,0.0,0.0,1
12.0,12.0,0.0,1,664974,664974,2025-10-18 17:38:15,2025-10-18 17:50:15,1.0,1.0,0.0,0.0,1
12.0,,0.0,491,663980,664470,2025-10-17 18:11:27,2025-10-17 21:31:30,10.56,0.02,-190.0,54.5,490
13.0,0.07,14.0,490,666970,667459,2025-10-26 00:03:52,2025-10-26 10:22:34,49.01,0.1,-190.0,54.5,490
13.0,12.0,0.0,1,664975,664975,2025-10-18 17:51:05,2025-10-18 18:06:00,1.01,1.01,0.0,0.0,1
25.0,12.0,0.0,1,664976,664976,2025-10-18 18:06:54,2025-10-18 18:18:54,1.0,1.0,0.0,0.0,1
,,,5,664471,664475,2025-10-17 21:35:03,2025-10-17 21:59:42,0.96,0.03,,,0
